name,kind,side,role,ad,local_ad_index,row,col,local_center_x_mm,local_center_y_mm,local_min_x_mm,local_min_y_mm,local_max_x_mm,local_max_y_mm,global_center_x_mm,global_center_y_mm,global_min_x_mm,global_min_y_mm,global_max_x_mm,global_max_y_mm,source_label,source_neighbors,notes
L_P1_R1C1,tactile_ad_cell,left,P1,AD7,0,1,1,-11.666667,63.333333,-14.000000,61.666667,-9.333333,65.000000,-59.666667,63.333333,-62.000000,61.666667,-57.333333,65.000000,P1 R1C1,,"Single tactile AD cell; row 1 is top, col 1 is left in display coordinates."
L_P1_R1C2,tactile_ad_cell,left,P1,AD7,0,1,2,-7.000000,63.333333,-9.333333,61.666667,-4.666667,65.000000,-55.000000,63.333333,-57.333333,61.666667,-52.666667,65.000000,P1 R1C2,,"Single tactile AD cell; row 1 is top, col 1 is left in display coordinates."
L_P1_R1C3,tactile_ad_cell,left,P1,AD7,0,1,3,-2.333333,63.333333,-4.666667,61.666667,0.000000,65.000000,-50.333333,63.333333,-52.666667,61.666667,-48.000000,65.000000,P1 R1C3,,"Single tactile AD cell; row 1 is top, col 1 is left in display coordinates."
L_P1_R1C4,tactile_ad_cell,left,P1,AD7,0,1,4,2.333333,63.333333,0.000000,61.666667,4.666667,65.000000,-45.666667,63.333333,-48.000000,61.666667,-43.333333,65.000000,P1 R1C4,,"Single tactile AD cell; row 1 is top, col 1 is left in display coordinates."
L_P1_R1C5,tactile_ad_cell,left,P1,AD7,0,1,5,7.000000,63.333333,4.666667,61.666667,9.333333,65.000000,-41.000000,63.333333,-43.333333,61.666667,-38.666667,65.000000,P1 R1C5,,"Single tactile AD cell; row 1 is top, col 1 is left in display coordinates."
L_P1_R1C6,tactile_ad_cell,left,P1,AD7,0,1,6,11.666667,63.333333,9.333333,61.666667,14.000000,65.000000,-36.333333,63.333333,-38.666667,61.666667,-34.000000,65.000000,P1 R1C6,,"Single tactile AD cell; row 1 is top, col 1 is left in display coordinates."
L_P1_R2C1,tactile_ad_cell,left,P1,AD7,0,2,1,-11.666667,60.000000,-14.000000,58.333333,-9.333333,61.666667,-59.666667,60.000000,-62.000000,58.333333,-57.333333,61.666667,P1 R2C1,,"Single tactile AD cell; row 1 is top, col 1 is left in display coordinates."
L_P1_R2C2,tactile_ad_cell,left,P1,AD7,0,2,2,-7.000000,60.000000,-9.333333,58.333333,-4.666667,61.666667,-55.000000,60.000000,-57.333333,58.333333,-52.666667,61.666667,P1 R2C2,,"Single tactile AD cell; row 1 is top, col 1 is left in display coordinates."
L_P1_R2C3,tactile_ad_cell,left,P1,AD7,0,2,3,-2.333333,60.000000,-4.666667,58.333333,0.000000,61.666667,-50.333333,60.000000,-52.666667,58.333333,-48.000000,61.666667,P1 R2C3,,"Single tactile AD cell; row 1 is top, col 1 is left in display coordinates."
L_P1_R2C4,tactile_ad_cell,left,P1,AD7,0,2,4,2.333333,60.000000,0.000000,58.333333,4.666667,61.666667,-45.666667,60.000000,-48.000000,58.333333,-43.333333,61.666667,P1 R2C4,,"Single tactile AD cell; row 1 is top, col 1 is left in display coordinates."
