rank,trial_id,split,class,cluster,cluster_majority_class,cluster_mismatch,outlier_score,selected_frame_index,stability_score,pc1,pc2
1,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235043.csv,train,50ml,0,50ml,0,19.243132,18,23.862726,23.069065,-8.611691
2,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235042.csv,train,50ml,0,50ml,0,18.927099,6,23.255312,22.539722,-8.463880
3,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235041.csv,train,50ml,0,50ml,0,18.726570,20,22.953110,22.415424,-8.405329
4,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235039.csv,train,50ml,0,50ml,0,18.546412,22,21.955473,22.227928,-8.211520
5,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235038.csv,train,50ml,0,50ml,0,18.224253,2,22.837921,21.955465,-8.179518
6,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235036.csv,train,50ml,0,50ml,0,18.118734,17,23.187574,21.734587,-8.178854
7,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235035.csv,test,50ml,0,50ml,0,17.461029,21,23.367588,21.239769,-7.913661
8,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235034.csv,train,50ml,0,50ml,0,17.054741,13,23.219603,20.937063,-7.889643
9,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235032.csv,train,50ml,0,50ml,0,16.700603,15,23.206646,20.660566,-7.733374
10,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235031.csv,train,50ml,0,50ml,0,16.242273,18,22.370899,20.301661,-7.560731
11,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235029.csv,train,50ml,0,50ml,0,14.685918,10,20.935556,18.377316,-6.922733
12,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235019.csv,train,50ml,0,50ml,0,8.245448,6,23.783302,15.119274,-0.776680
13,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232238.csv,test,15ml,0,50ml,1,8.187017,5,22.515137,29.505716,-7.468021
14,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235016.csv,val,50ml,0,50ml,0,8.134145,5,23.727619,14.977226,-0.811296
15,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232240.csv,train,15ml,0,50ml,1,8.113782,21,23.588932,29.445621,-7.573384
16,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232239.csv,train,15ml,0,50ml,1,8.113121,19,23.192987,29.581142,-7.581829
17,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232243.csv,train,15ml,0,50ml,1,8.088277,2,22.037436,29.563030,-7.597970
18,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232236.csv,train,15ml,0,50ml,1,8.074634,1,23.485893,29.411764,-7.594055
19,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232241.csv,val,15ml,0,50ml,1,8.055475,8,23.579100,29.479771,-7.486919
20,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232229.csv,val,15ml,0,50ml,1,8.000223,21,22.853138,29.149828,-7.562568
21,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232228.csv,train,15ml,0,50ml,1,7.971979,20,21.498117,29.081516,-7.521523
22,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232232.csv,train,15ml,0,50ml,1,7.966152,10,22.519987,29.195112,-7.455668
23,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232233.csv,train,15ml,0,50ml,1,7.958923,5,23.638945,29.227150,-7.441304
24,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232231.csv,train,15ml,0,50ml,1,7.954835,8,22.735182,29.217703,-7.538034
25,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232226.csv,train,15ml,0,50ml,1,7.918008,9,23.299965,29.067869,-7.515349
26,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235014.csv,train,50ml,0,50ml,0,7.895108,5,22.711235,14.947350,-0.683462
27,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235012.csv,train,50ml,0,50ml,0,7.877010,21,23.472229,14.838993,-0.745597
28,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235008.csv,train,50ml,0,50ml,0,7.835016,15,21.816914,14.658007,-0.601153
29,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235007.csv,test,50ml,0,50ml,0,7.774791,23,23.214092,14.530088,-0.733447
30,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235010.csv,train,50ml,0,50ml,0,7.767393,6,22.332741,14.719085,-0.705365
31,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232222.csv,test,15ml,0,50ml,1,7.686840,0,22.346777,28.652508,-7.389952
32,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232219.csv,test,15ml,0,50ml,1,7.655676,16,22.122509,28.517883,-7.394946
33,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232218.csv,val,15ml,0,50ml,1,7.572699,13,22.225542,28.393097,-7.369041
34,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235002.csv,train,50ml,0,50ml,0,7.341917,1,23.649900,14.318374,-0.591683
35,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234957.csv,train,50ml,0,50ml,0,7.164477,0,22.715799,14.005453,-0.702575
36,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_235000.csv,train,50ml,0,50ml,0,7.141673,0,21.708511,14.172045,-0.650086
37,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234959.csv,train,50ml,0,50ml,0,7.058639,0,23.243038,14.054372,-0.565707
38,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234953.csv,train,50ml,0,50ml,0,6.833609,19,22.306816,13.527656,-0.492680
39,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234955.csv,train,50ml,0,50ml,0,6.714174,10,23.551895,13.789994,-0.625644
40,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234952.csv,test,50ml,0,50ml,0,6.336245,15,22.416918,13.286128,-0.565791
41,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\200ml\VET6_8chips_raw_stream_20260525_235812.csv,test,200ml,0,50ml,1,5.465560,3,21.388750,13.820937,0.640067
42,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\200ml\VET6_8chips_raw_stream_20260525_235810.csv,test,200ml,0,50ml,1,4.752492,2,20.561283,14.102480,0.845847
43,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\200ml\VET6_8chips_raw_stream_20260525_235809.csv,train,200ml,0,50ml,1,4.102925,11,20.640717,13.561419,0.778248
44,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\200ml\VET6_8chips_raw_stream_20260525_235813.csv,train,200ml,0,50ml,1,3.928697,12,22.570560,14.050252,0.744781
45,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_232124.csv,train,15ml,0,50ml,1,3.648415,11,23.200773,11.448866,1.912207
46,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234551.csv,train,50ml,2,50ml,0,3.402478,2,24.405958,-4.360138,-6.732575
47,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234558.csv,train,50ml,2,50ml,0,3.286578,6,23.853220,-4.306468,-6.813607
48,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234557.csv,test,50ml,2,50ml,0,3.276951,8,23.223259,-4.336973,-6.664380
49,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\100ml\VET6_8chips_raw_stream_20260525_230634.csv,test,100ml,2,50ml,1,3.221132,20,22.674812,-3.751754,-5.719904
50,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234554.csv,train,50ml,2,50ml,0,3.139921,16,21.517838,-4.326035,-6.790742
51,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234601.csv,train,50ml,2,50ml,0,3.124651,11,24.037561,-4.321782,-6.741846
52,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\50ml\VET6_8chips_raw_stream_20260525_234545.csv,train,50ml,2,50ml,0,3.118300,16,24.108820,-4.212791,-6.735404
