component,explained_variance_ratio
PC1,0.34417048
PC2,0.17240885

component,feature_index,loading
PC1,0,0.27306476
PC1,1,0.36271483
PC1,2,0.37555754
PC1,3,0.18944536
PC1,4,-0.12322067
PC1,5,-0.10399213
PC1,6,-0.07538772
PC1,7,-0.17144118
PC1,8,0.23758729
PC1,9,0.37430790
PC1,10,0.36927563
PC1,11,0.36383414
PC1,12,-0.00423983
PC1,13,0.12751535
PC1,14,-0.13526344
PC1,15,-0.23664162
PC2,0,-0.27540663
PC2,1,0.08809173
PC2,2,0.01412538
PC2,3,0.14102007
PC2,4,0.22861037
PC2,5,0.29049838
PC2,6,-0.41157892
PC2,7,-0.35800254
PC2,8,-0.32427043
PC2,9,-0.01780627
PC2,10,-0.02714448
PC2,11,-0.07913653
PC2,12,-0.29633212
PC2,13,-0.17715316
PC2,14,-0.37849408
PC2,15,-0.29524279
