dataset,class,group,trial_id,selected_frame_index,stability_score,pc1,pc2
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231826.csv,12,22.957520,-3.341935,-5.832381
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231828.csv,12,22.721842,-3.325031,-5.735759
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231829.csv,12,23.650194,-3.381647,-5.762105
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231831.csv,12,23.788124,-3.323270,-5.766696
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231832.csv,18,19.912132,-3.330368,-5.821550
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231833.csv,10,23.462006,-3.388590,-5.806767
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231834.csv,1,24.316360,-3.351179,-5.776991
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231836.csv,19,23.250292,-3.345109,-5.845292
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231837.csv,12,23.873430,-3.426614,-5.862159
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231838.csv,18,24.439125,-3.405538,-5.872015
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231839.csv,4,24.042707,-3.495547,-5.891271
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231841.csv,1,23.153891,-3.371925,-5.902675
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231842.csv,0,23.255709,-3.432882,-5.934031
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231843.csv,19,22.120289,-3.447302,-5.922116
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231845.csv,19,23.728132,-3.442700,-5.914230
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231851.csv,4,23.739916,-4.200075,-7.635480
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231852.csv,2,23.802780,-4.307761,-7.714294
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231854.csv,9,23.508778,-4.390170,-7.699191
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231855.csv,15,23.387049,-4.106061,-7.846944
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231856.csv,7,23.991674,-4.098373,-7.853227
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231858.csv,12,23.307930,-4.108606,-7.848747
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231900.csv,12,22.301422,-4.103036,-8.020429
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231901.csv,17,23.865021,-4.122757,-8.026481
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231902.csv,9,23.796188,-4.061256,-7.952558
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231904.csv,8,22.721191,-4.063295,-7.873404
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231905.csv,18,23.805288,-4.070989,-7.937943
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231906.csv,5,23.986105,-4.209681,-7.986923
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231908.csv,10,22.880526,-4.077647,-7.973598
tactile,15ml,tactile_15ml,C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\idw4\15ml\VET6_8chips_raw_stream_20260525_231909.csv,16,23.175922,-4.144667,-8.034449
