SourceFile,True,Pred,TrueIndex,PredIndex
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\base\100ml\VET6_8chips_raw_stream_20260527_220046.csv,100ml,200ml,2,3
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\base\100ml\VET6_8chips_raw_stream_20260527_220055.csv,100ml,200ml,2,3
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\base\100ml\VET6_8chips_raw_stream_20260527_220057.csv,100ml,200ml,2,3
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\base\100ml\VET6_8chips_raw_stream_20260528_210211.csv,100ml,200ml,2,3
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\base\200ml\VET6_8chips_raw_stream_20260527_221437.csv,200ml,50ml,3,1
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\base\200ml\VET6_8chips_raw_stream_20260527_221446.csv,200ml,50ml,3,1
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\base\200ml\VET6_8chips_raw_stream_20260527_221607.csv,200ml,100ml,3,2
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\base\50ml\VET6_8chips_raw_stream_20260528_211345.csv,50ml,200ml,1,3
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\base\50ml\VET6_8chips_raw_stream_20260528_211348.csv,50ml,200ml,1,3
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\base\50ml\VET6_8chips_raw_stream_20260528_211353.csv,50ml,200ml,1,3
C:\Users\FangYuxuan\Saved Games\Upper_VET6USB\Workspace\C_model_training\tactile\data\base\50ml\VET6_8chips_raw_stream_20260528_211354.csv,50ml,100ml,1,2
