SourceFile,True,Pred,TrueIndex,PredIndex
ContainerModel100ml_Tamb24p6C_Tliquid60C_LevelclassHigh_VET6_8chips_raw_stream_20260528_221616.bin,High,Low,2,0
ContainerModel100ml_Tamb24p6C_Tliquid60C_LevelclassHigh_VET6_8chips_raw_stream_20260528_221621.bin,High,Low,2,0
ContainerModel100ml_Tamb24p6C_Tliquid60C_LevelclassHigh_VET6_8chips_raw_stream_20260528_221624.bin,High,Low,2,0
ContainerModel100ml_Tamb24p6C_Tliquid64p1C_LevelclassMid_VET6_8chips_raw_stream_20260528_221237.bin,Mid,Low,1,0
ContainerModel100ml_Tamb24p6C_Tliquid64p1C_LevelclassMid_VET6_8chips_raw_stream_20260528_221238.bin,Mid,Low,1,0
ContainerModel100ml_Tamb24p6C_Tliquid64p1C_LevelclassMid_VET6_8chips_raw_stream_20260528_221317.bin,Mid,Low,1,0
ContainerModel100ml_Tamb24p6C_Tliquid64p1C_LevelclassMid_VET6_8chips_raw_stream_20260528_221324.bin,Mid,Low,1,0
ContainerModel100ml_Tamb24p6C_Tliquid69p8C_LevelclassMid_VET6_8chips_raw_stream_20260528_223105.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid69p8C_LevelclassMid_VET6_8chips_raw_stream_20260528_223112.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_222256.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_222258.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_222259.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_222300.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_233203.bin,High,Low,2,0
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_233752.bin,High,Low,2,0
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_233754.bin,High,Low,2,0
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233031.bin,Mid,Low,1,0
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233032.bin,Mid,Low,1,0
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233034.bin,Mid,Low,1,0
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233035.bin,Mid,Low,1,0
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233037.bin,Mid,Low,1,0
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233039.bin,Mid,Low,1,0
ContainerModel15ml_Tamb24p6C_Tliquid54p2C_LevelclassHigh_VET6_8chips_raw_stream_20260529_000016.bin,High,Low,2,0
ContainerModel15ml_Tamb24p6C_Tliquid54p2C_LevelclassHigh_VET6_8chips_raw_stream_20260529_000017.bin,High,Low,2,0
ContainerModel15ml_Tamb24p6C_Tliquid54p2C_LevelclassHigh_VET6_8chips_raw_stream_20260529_000026.bin,High,Low,2,0
ContainerModel15ml_Tamb24p6C_Tliquid54p2C_LevelclassMid_VET6_8chips_raw_stream_20260529_000243.bin,Mid,Low,1,0
ContainerModel15ml_Tamb24p6C_Tliquid54p2C_LevelclassMid_VET6_8chips_raw_stream_20260529_000246.bin,Mid,Low,1,0
ContainerModel15ml_Tamb24p6C_Tliquid54p2C_LevelclassMid_VET6_8chips_raw_stream_20260529_000256.bin,Mid,Low,1,0
ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232532.bin,High,Mid,2,1
ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232539.bin,High,Mid,2,1
ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232540.bin,High,Mid,2,1
