SourceFile,True,Pred,TrueIndex,PredIndex
ContainerModel100ml_Tamb24p6C_Tliquid60C_LevelclassHigh_VET6_8chips_raw_stream_20260528_221616.bin,High,Mid,2,1
ContainerModel100ml_Tamb24p6C_Tliquid60C_LevelclassHigh_VET6_8chips_raw_stream_20260528_221621.bin,High,Mid,2,1
ContainerModel100ml_Tamb24p6C_Tliquid60C_LevelclassHigh_VET6_8chips_raw_stream_20260528_221624.bin,High,Mid,2,1
ContainerModel100ml_Tamb24p6C_Tliquid64p6C_LevelclassLOW_VET6_8chips_raw_stream_20260528_221112.bin,Low,Mid,0,1
ContainerModel100ml_Tamb24p6C_Tliquid68p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_220602.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid68p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_220605.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid68p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_220608.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid68p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_220609.bin,Mid,High,1,2
ContainerModel100ml_Tamb24p6C_Tliquid69p8C_LevelclassHigh_VET6_8chips_raw_stream_20260528_223230.bin,High,Mid,2,1
ContainerModel100ml_Tamb24p6C_Tliquid69p8C_LevelclassHigh_VET6_8chips_raw_stream_20260528_223234.bin,High,Mid,2,1
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_222402.bin,High,Mid,2,1
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_222403.bin,High,Mid,2,1
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_222405.bin,High,Mid,2,1
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_222409.bin,High,Mid,2,1
ContainerModel100ml_Tamb24p6C_Tliquid71p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_222410.bin,High,Mid,2,1
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233031.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233032.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233034.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233035.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233037.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid50p3C_LevelclassMid_VET6_8chips_raw_stream_20260528_233039.bin,Mid,High,1,2
ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232532.bin,High,Mid,2,1
ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232539.bin,High,Mid,2,1
ContainerModel15ml_Tamb24p6C_Tliquid62p3C_LevelclassHigh_VET6_8chips_raw_stream_20260528_232540.bin,High,Mid,2,1
