epoch=001 train_loss=1.3646 train_acc=0.278 val_loss=1.3199 val_acc=0.419
epoch=002 train_loss=1.2706 train_acc=0.515 val_loss=1.2366 val_acc=0.619
epoch=003 train_loss=1.1782 train_acc=0.680 val_loss=1.1535 val_acc=0.657
epoch=004 train_loss=1.0864 train_acc=0.700 val_loss=1.0647 val_acc=0.676
epoch=005 train_loss=0.9888 train_acc=0.675 val_loss=0.9714 val_acc=0.686
epoch=006 train_loss=0.8809 train_acc=0.680 val_loss=0.8737 val_acc=0.762
epoch=007 train_loss=0.7907 train_acc=0.714 val_loss=0.7752 val_acc=0.790
epoch=008 train_loss=0.6883 train_acc=0.763 val_loss=0.6877 val_acc=0.829
epoch=009 train_loss=0.6045 train_acc=0.797 val_loss=0.6181 val_acc=0.848
epoch=010 train_loss=0.5106 train_acc=0.860 val_loss=0.5636 val_acc=0.895
epoch=011 train_loss=0.4261 train_acc=0.909 val_loss=0.5235 val_acc=0.905
epoch=012 train_loss=0.3441 train_acc=0.943 val_loss=0.4952 val_acc=0.905
epoch=013 train_loss=0.2782 train_acc=0.957 val_loss=0.4774 val_acc=0.914
epoch=014 train_loss=0.2246 train_acc=0.966 val_loss=0.4683 val_acc=0.924
epoch=015 train_loss=0.1666 train_acc=0.978 val_loss=0.4707 val_acc=0.933
epoch=016 train_loss=0.1308 train_acc=0.982 val_loss=0.4842 val_acc=0.943
epoch=017 train_loss=0.0995 train_acc=0.992 val_loss=0.5044 val_acc=0.943
epoch=018 train_loss=0.0716 train_acc=0.996 val_loss=0.5269 val_acc=0.952
epoch=019 train_loss=0.0562 train_acc=0.994 val_loss=0.5530 val_acc=0.952
epoch=020 train_loss=0.0463 train_acc=0.998 val_loss=0.5830 val_acc=0.962
epoch=021 train_loss=0.0328 train_acc=0.998 val_loss=0.6126 val_acc=0.962
epoch=022 train_loss=0.0233 train_acc=1.000 val_loss=0.6416 val_acc=0.962
epoch=023 train_loss=0.0207 train_acc=1.000 val_loss=0.6697 val_acc=0.962
epoch=024 train_loss=0.0167 train_acc=1.000 val_loss=0.6966 val_acc=0.962
epoch=025 train_loss=0.0120 train_acc=1.000 val_loss=0.7210 val_acc=0.962
epoch=026 train_loss=0.0113 train_acc=1.000 val_loss=0.7441 val_acc=0.962
epoch=027 train_loss=0.0094 train_acc=1.000 val_loss=0.7659 val_acc=0.962
epoch=028 train_loss=0.0091 train_acc=1.000 val_loss=0.7880 val_acc=0.962
epoch=029 train_loss=0.0082 train_acc=1.000 val_loss=0.8085 val_acc=0.962
epoch=030 train_loss=0.0067 train_acc=1.000 val_loss=0.8270 val_acc=0.971
epoch=031 train_loss=0.0052 train_acc=1.000 val_loss=0.8434 val_acc=0.971
epoch=032 train_loss=0.0069 train_acc=1.000 val_loss=0.8582 val_acc=0.971
epoch=033 train_loss=0.0042 train_acc=1.000 val_loss=0.8713 val_acc=0.971
epoch=034 train_loss=0.0046 train_acc=1.000 val_loss=0.8823 val_acc=0.971
epoch=035 train_loss=0.0043 train_acc=1.000 val_loss=0.8914 val_acc=0.971
epoch=036 train_loss=0.0037 train_acc=1.000 val_loss=0.8996 val_acc=0.971
epoch=037 train_loss=0.0036 train_acc=1.000 val_loss=0.9074 val_acc=0.971
epoch=038 train_loss=0.0042 train_acc=1.000 val_loss=0.9142 val_acc=0.971
epoch=039 train_loss=0.0029 train_acc=1.000 val_loss=0.9202 val_acc=0.971
epoch=040 train_loss=0.0031 train_acc=1.000 val_loss=0.9266 val_acc=0.971
epoch=041 train_loss=0.0026 train_acc=1.000 val_loss=0.9328 val_acc=0.971
epoch=042 train_loss=0.0024 train_acc=1.000 val_loss=0.9378 val_acc=0.971
epoch=043 train_loss=0.0029 train_acc=1.000 val_loss=0.9422 val_acc=0.971
epoch=044 train_loss=0.0025 train_acc=1.000 val_loss=0.9466 val_acc=0.971
epoch=045 train_loss=0.0022 train_acc=1.000 val_loss=0.9508 val_acc=0.971
epoch=046 train_loss=0.0022 train_acc=1.000 val_loss=0.9556 val_acc=0.971
