epoch=001 train_loss=1.3863 train_acc=0.270 val_loss=1.3466 val_acc=0.429
epoch=002 train_loss=1.3059 train_acc=0.507 val_loss=1.2730 val_acc=0.524
epoch=003 train_loss=1.2340 train_acc=0.639 val_loss=1.2004 val_acc=0.610
epoch=004 train_loss=1.1627 train_acc=0.710 val_loss=1.1241 val_acc=0.714
epoch=005 train_loss=1.0730 train_acc=0.751 val_loss=1.0411 val_acc=0.752
epoch=006 train_loss=1.0001 train_acc=0.765 val_loss=0.9522 val_acc=0.781
epoch=007 train_loss=0.9135 train_acc=0.769 val_loss=0.8604 val_acc=0.781
epoch=008 train_loss=0.8264 train_acc=0.775 val_loss=0.7655 val_acc=0.800
epoch=009 train_loss=0.7329 train_acc=0.809 val_loss=0.6727 val_acc=0.810
epoch=010 train_loss=0.6404 train_acc=0.836 val_loss=0.5839 val_acc=0.905
epoch=011 train_loss=0.5683 train_acc=0.864 val_loss=0.4996 val_acc=0.924
epoch=012 train_loss=0.4876 train_acc=0.907 val_loss=0.4202 val_acc=0.943
epoch=013 train_loss=0.4193 train_acc=0.921 val_loss=0.3470 val_acc=0.952
epoch=014 train_loss=0.3393 train_acc=0.935 val_loss=0.2822 val_acc=0.962
epoch=015 train_loss=0.2770 train_acc=0.953 val_loss=0.2250 val_acc=0.971
epoch=016 train_loss=0.2326 train_acc=0.961 val_loss=0.1765 val_acc=0.971
epoch=017 train_loss=0.1844 train_acc=0.978 val_loss=0.1376 val_acc=0.990
epoch=018 train_loss=0.1444 train_acc=0.988 val_loss=0.1072 val_acc=1.000
epoch=019 train_loss=0.1121 train_acc=0.996 val_loss=0.0838 val_acc=1.000
epoch=020 train_loss=0.0892 train_acc=0.996 val_loss=0.0645 val_acc=1.000
epoch=021 train_loss=0.0697 train_acc=0.998 val_loss=0.0492 val_acc=1.000
epoch=022 train_loss=0.0578 train_acc=0.996 val_loss=0.0382 val_acc=1.000
epoch=023 train_loss=0.0460 train_acc=0.998 val_loss=0.0296 val_acc=1.000
epoch=024 train_loss=0.0357 train_acc=1.000 val_loss=0.0233 val_acc=1.000
epoch=025 train_loss=0.0267 train_acc=1.000 val_loss=0.0188 val_acc=1.000
epoch=026 train_loss=0.0261 train_acc=1.000 val_loss=0.0155 val_acc=1.000
epoch=027 train_loss=0.0184 train_acc=1.000 val_loss=0.0129 val_acc=1.000
epoch=028 train_loss=0.0147 train_acc=1.000 val_loss=0.0111 val_acc=1.000
epoch=029 train_loss=0.0146 train_acc=1.000 val_loss=0.0096 val_acc=1.000
epoch=030 train_loss=0.0135 train_acc=0.998 val_loss=0.0084 val_acc=1.000
epoch=031 train_loss=0.0121 train_acc=1.000 val_loss=0.0075 val_acc=1.000
epoch=032 train_loss=0.0100 train_acc=1.000 val_loss=0.0069 val_acc=1.000
epoch=033 train_loss=0.0083 train_acc=1.000 val_loss=0.0062 val_acc=1.000
epoch=034 train_loss=0.0086 train_acc=1.000 val_loss=0.0055 val_acc=1.000
epoch=035 train_loss=0.0070 train_acc=1.000 val_loss=0.0048 val_acc=1.000
epoch=036 train_loss=0.0055 train_acc=1.000 val_loss=0.0043 val_acc=1.000
epoch=037 train_loss=0.0045 train_acc=1.000 val_loss=0.0039 val_acc=1.000
epoch=038 train_loss=0.0050 train_acc=1.000 val_loss=0.0036 val_acc=1.000
epoch=039 train_loss=0.0044 train_acc=1.000 val_loss=0.0033 val_acc=1.000
epoch=040 train_loss=0.0041 train_acc=1.000 val_loss=0.0031 val_acc=1.000
epoch=041 train_loss=0.0046 train_acc=1.000 val_loss=0.0030 val_acc=1.000
epoch=042 train_loss=0.0036 train_acc=1.000 val_loss=0.0028 val_acc=1.000
epoch=043 train_loss=0.0046 train_acc=1.000 val_loss=0.0026 val_acc=1.000
epoch=044 train_loss=0.0036 train_acc=1.000 val_loss=0.0025 val_acc=1.000
epoch=045 train_loss=0.0033 train_acc=1.000 val_loss=0.0024 val_acc=1.000
epoch=046 train_loss=0.0029 train_acc=1.000 val_loss=0.0023 val_acc=1.000
epoch=047 train_loss=0.0037 train_acc=1.000 val_loss=0.0022 val_acc=1.000
epoch=048 train_loss=0.0027 train_acc=1.000 val_loss=0.0021 val_acc=1.000
epoch=049 train_loss=0.0031 train_acc=1.000 val_loss=0.0020 val_acc=1.000
epoch=050 train_loss=0.0025 train_acc=1.000 val_loss=0.0020 val_acc=1.000
epoch=051 train_loss=0.0037 train_acc=1.000 val_loss=0.0019 val_acc=1.000
epoch=052 train_loss=0.0024 train_acc=1.000 val_loss=0.0018 val_acc=1.000
epoch=053 train_loss=0.0025 train_acc=1.000 val_loss=0.0017 val_acc=1.000
epoch=054 train_loss=0.0024 train_acc=1.000 val_loss=0.0017 val_acc=1.000
epoch=055 train_loss=0.0027 train_acc=1.000 val_loss=0.0016 val_acc=1.000
epoch=056 train_loss=0.0022 train_acc=1.000 val_loss=0.0016 val_acc=1.000
epoch=057 train_loss=0.0022 train_acc=1.000 val_loss=0.0015 val_acc=1.000
epoch=058 train_loss=0.0020 train_acc=1.000 val_loss=0.0015 val_acc=1.000
epoch=059 train_loss=0.0021 train_acc=1.000 val_loss=0.0014 val_acc=1.000
epoch=060 train_loss=0.0022 train_acc=1.000 val_loss=0.0014 val_acc=1.000
epoch=061 train_loss=0.0020 train_acc=1.000 val_loss=0.0014 val_acc=1.000
epoch=062 train_loss=0.0025 train_acc=1.000 val_loss=0.0013 val_acc=1.000
epoch=063 train_loss=0.0022 train_acc=1.000 val_loss=0.0013 val_acc=1.000
epoch=064 train_loss=0.0018 train_acc=1.000 val_loss=0.0012 val_acc=1.000
epoch=065 train_loss=0.0016 train_acc=1.000 val_loss=0.0012 val_acc=1.000
epoch=066 train_loss=0.0020 train_acc=1.000 val_loss=0.0012 val_acc=1.000
epoch=067 train_loss=0.0016 train_acc=1.000 val_loss=0.0011 val_acc=1.000
epoch=068 train_loss=0.0014 train_acc=1.000 val_loss=0.0011 val_acc=1.000
epoch=069 train_loss=0.0014 train_acc=1.000 val_loss=0.0011 val_acc=1.000
epoch=070 train_loss=0.0014 train_acc=1.000 val_loss=0.0010 val_acc=1.000
epoch=071 train_loss=0.0012 train_acc=1.000 val_loss=0.0010 val_acc=1.000
epoch=072 train_loss=0.0014 train_acc=1.000 val_loss=0.0010 val_acc=1.000
epoch=073 train_loss=0.0017 train_acc=1.000 val_loss=0.0010 val_acc=1.000
epoch=074 train_loss=0.0015 train_acc=1.000 val_loss=0.0009 val_acc=1.000
epoch=075 train_loss=0.0012 train_acc=1.000 val_loss=0.0009 val_acc=1.000
epoch=076 train_loss=0.0011 train_acc=1.000 val_loss=0.0009 val_acc=1.000
epoch=077 train_loss=0.0017 train_acc=1.000 val_loss=0.0009 val_acc=1.000
epoch=078 train_loss=0.0013 train_acc=1.000 val_loss=0.0009 val_acc=1.000
epoch=079 train_loss=0.0010 train_acc=1.000 val_loss=0.0009 val_acc=1.000
epoch=080 train_loss=0.0011 train_acc=1.000 val_loss=0.0008 val_acc=1.000
