Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
0,-9,6,-1,-1,-3,1,-11,7,-2,-2,-3,2,-10,6,0,1,-3,0,-9,6,0,-2,-6,-1,-10,8,0,-2,-4,-1,-10,7,3,-1,-4,-2,-2
1,-7,5,-1,-2,-4,0,-10,7,-2,-2,-4,0,-10,6,1,-3,-4,1,-7,6,0,0,-3,1,-10,7,1,-2,-6,1,-10,7,2,0,-6,0,-2
2,-9,6,0,1,-3,-2,-12,6,0,-2,-6,1,-7,6,3,-2,-4,1,-8,6,1,-2,-6,1,-9,6,2,-2,-6,1,-8,6,1,-1,-6,-2,-4
3,-7,7,-2,-1,-7,0,-11,6,-2,-1,-4,-1,-7,8,1,-1,-4,1,-7,8,2,0,-6,-2,-9,6,1,-2,-2,0,-9,6,1,1,-3,0,-2
4,-9,8,1,-2,-6,-1,-10,9,-2,-2,-4,-1,-10,8,2,1,-6,2,-9,5,-1,0,-4,1,-7,6,1,0,-2,1,-9,6,2,-1,-5,0,0
5,-8,7,2,-1,-4,1,-10,6,-3,-2,-5,-2,-11,7,-1,-2,-4,-1,-8,6,0,-2,-5,-2,-9,7,1,1,-4,-3,-7,7,0,-1,-4,1,-2
6,-6,6,3,1,-5,-3,-13,6,-2,-2,-2,0,-10,7,0,0,-2,0,-9,8,2,-2,-6,-1,-10,7,1,-1,-4,-2,-9,6,2,-2,-5,1,0
7,-8,6,0,0,-4,0,-13,6,-3,-1,-3,1,-10,6,2,1,-3,0,-10,10,1,-3,-6,-2,-8,9,0,-1,-2,0,-8,9,1,1,-5,1,-1
8,-7,6,1,0,-6,-1,-13,6,-3,-2,-3,2,-10,9,2,0,-4,0,-11,7,0,0,-5,1,-8,6,0,0,-6,1,-10,8,1,0,-4,-1,0
9,-8,6,4,-1,-4,-2,-14,7,-3,0,-4,-1,-9,9,1,0,-3,-1,-10,9,0,-1,-3,-1,-10,7,1,0,-3,-1,-9,6,0,-3,-6,-1,-1
10,-9,8,0,0,-6,1,-13,9,-4,1,-4,-1,-10,8,1,-2,-3,1,-7,9,0,0,-5,2,-5,9,2,-2,-4,0,-8,6,0,0,-3,1,-1
11,-10,6,0,0,-6,2,-13,7,-3,-2,-5,-1,-8,6,0,1,-4,1,-10,6,0,0,-6,2,-10,7,-1,0,-1,-1,-10,9,1,-2,-5,0,0
12,-10,6,3,-2,-4,-2,-13,6,-3,-2,-5,1,-8,9,2,1,-6,1,-10,7,0,-2,-3,-1,-10,6,1,1,-6,1,-10,9,0,-1,-3,-1,-1
13,-10,6,2,0,-5,1,-13,6,-3,-1,-4,-2,-10,7,1,1,-4,-1,-10,6,0,-2,-4,1,-10,9,0,1,-4,0,-8,6,1,-2,-4,0,-2
14,-11,6,2,0,-3,0,-14,8,-2,0,-4,1,-10,6,1,-1,-4,1,-8,6,2,0,-4,0,-8,6,0,-1,-4,-2,-8,7,0,0,-5,-2,-2
15,-10,6,1,-1,-3,-1,-11,8,-2,-1,-5,0,-7,6,2,0,-6,-2,-9,8,1,0,-5,0,-10,7,1,1,-3,1,-7,8,1,-1,-3,0,-1
16,-8,9,0,0,-2,1,-13,7,-3,0,-4,-2,-8,7,-2,-1,-4,0,-8,6,3,-1,-6,-1,-9,7,1,1,-3,0,-10,6,0,-2,-4,0,1
17,-9,8,-1,0,-5,1,-13,7,-2,-2,-6,1,-9,6,0,1,-5,1,-8,5,2,0,-3,-2,-8,6,1,0,-4,1,-9,7,2,0,-6,1,-2
18,-9,7,1,-2,-5,2,-13,6,-4,0,-5,1,-10,5,2,-2,-4,2,-9,6,0,0,-3,-2,-8,8,0,-1,-6,-1,-8,9,0,-3,-4,-2,-2
19,-10,6,2,-2,-5,0,-14,9,-2,-1,-3,0,-8,6,0,0,-3,0,-10,6,1,-3,-2,1,-10,7,3,1,-6,1,-6,6,1,-1,-3,1,-2
20,-9,7,0,-1,-6,3,-13,6,-3,-2,-5,1,-10,6,-1,0,-3,0,-9,8,2,0,-6,1,-9,6,0,-1,-5,1,-9,7,0,-1,-3,1,1
21,-10,6,1,-1,-5,0,-14,6,-3,-2,-5,1,-10,6,0,1,-3,-1,-10,6,2,-1,-3,-2,-11,9,-1,-1,-4,2,-7,7,2,0,-4,1,-2
22,-8,6,2,-2,-4,1,-13,7,-2,-1,-3,-2,-7,7,0,-2,-5,-1,-10,6,0,-1,-5,2,-9,6,3,1,-5,0,-11,7,-1,-2,-3,1,-1
23,-9,5,3,-2,-6,2,-13,6,-3,-2,-2,1,-8,6,2,1,-3,0,-10,7,0,-2,-5,-2,-11,7,-1,0,-3,0,-9,6,2,1,-3,0,-2
24,-8,6,0,-1,-4,-2,-12,7,-3,-2,-4,-1,-10,8,0,1,-5,-2,-9,6,0,-1,-5,-1,-7,8,0,-1,-4,-1,-8,6,0,0,-5,1,-2
25,-9,8,0,-3,-5,0,-11,5,-4,-2,-2,-1,-10,6,1,-1,-4,-2,-9,6,0,-3,-4,1,-9,6,2,0,-4,0,-10,8,0,-2,-3,-2,-2
26,-7,5,0,-2,-3,1,-12,8,-3,-1,-4,-2,-7,8,0,1,-5,1,-8,6,-1,1,-3,1,-10,6,-1,1,-4,0,-9,9,3,1,-5,1,0
27,-7,9,0,1,-3,0,-11,6,-3,-2,-6,0,-10,8,0,-2,-3,0,-9,6,0,0,-4,1,-10,8,0,-2,-4,-1,-8,6,0,-1,-3,-2,-2
28,-7,7,0,1,-4,0,-12,7,-2,1,-6,0,-12,6,-1,0,-3,0,-9,7,1,-1,-3,-1,-8,8,1,-1,-5,-1,-8,7,3,0,-3,-1,-2
29,-10,9,3,1,-3,-4,-13,8,-3,-2,-6,1,-8,6,3,-1,-5,-2,-9,6,1,0,-4,1,-7,6,0,-2,-2,0,-10,8,0,-2,-5,-1,1
30,-9,7,3,-1,-4,-2,-12,8,-2,-2,-3,0,-10,7,1,-2,-3,1,-8,4,0,-3,-5,-1,-9,9,2,0,-4,1,-8,7,0,-2,-3,0,0
31,-10,8,0,0,-5,1,-10,6,-1,-2,-4,0,-8,6,1,1,-3,0,-8,6,1,-2,-3,0,-10,6,0,-2,-5,-2,-9,6,1,1,-6,1,-2
32,-8,6,1,0,-5,1,-10,7,-3,-2,-6,1,-10,8,0,-1,-3,-2,-10,7,3,0,-6,0,-8,8,0,-2,-4,0,-10,6,1,0,-3,1,0
33,-10,6,0,-1,-6,1,-12,9,-2,-2,-4,0,-9,8,1,-1,-4,-2,-9,6,2,-2,-5,1,-9,7,-2,0,-3,1,-8,9,0,-1,-5,1,-1
34,-8,7,0,0,-3,1,-11,6,-3,-2,-5,-1,-7,5,0,-1,-4,-1,-10,6,0,1,-4,1,-8,6,3,-1,-6,0,-9,5,0,-2,-4,1,0
35,-8,6,0,0,-3,1,-12,6,-2,-1,-3,-1,-9,7,-1,-1,-3,2,-9,6,2,-3,-6,2,-10,6,2,-1,-5,0,-8,7,2,-1,-5,3,-1
36,-10,6,1,-1,-3,-1,-11,7,-3,-1,-3,0,-10,7,0,-2,-3,0,-8,6,0,1,-4,1,-9,8,1,-2,-4,-1,-9,4,-1,-1,-4,1,-2
37,-8,6,1,-2,-3,0,-12,7,-3,-1,-6,0,-12,5,2,-1,-5,-1,-8,5,0,-1,-5,1,-8,6,0,-2,-4,-1,-9,6,0,-2,-5,1,-2
38,-8,8,1,-2,-3,1,-12,6,-3,-1,-6,1,-10,6,2,0,-4,-1,-9,8,3,0,-3,-2,-8,7,1,-1,-3,0,-10,6,3,0,-5,-2,-2
39,-8,6,-1,-2,-3,-1,-11,6,-3,-2,-4,-2,-9,8,1,-1,-5,0,-8,7,2,-1,-5,-2,-8,6,2,-1,-4,0,-10,6,-1,-1,-5,-1,-2
40,-10,8,1,-1,-3,-2,-13,7,-5,-1,-3,1,-13,6,1,-4,-4,1,-10,6,0,-1,-6,2,-10,5,1,0,-3,-2,-11,6,0,-1,-3,-1,-2
41,-10,9,0,1,-4,0,-12,6,-1,-2,-3,1,-8,6,0,-2,-5,-1,-10,6,0,-1,-5,1,-10,6,1,-2,-5,1,-7,6,0,-1,-6,2,-2
42,-9,6,0,0,-4,1,-13,9,-3,-1,-5,0,-8,6,2,-1,-4,-1,-7,6,3,0,-3,1,-9,6,0,-2,-5,1,-8,6,0,-2,-5,2,-3
43,-8,6,1,1,-4,0,-11,7,-1,-1,-4,-1,-10,7,0,0,-4,1,-8,6,0,-1,-3,0,-9,7,0,-1,-6,0,-9,8,0,-2,-4,-1,0
44,-9,7,1,-2,-4,-2,-13,8,-3,-2,-3,1,-10,6,3,0,-4,0,-10,7,0,-2,-6,0,-9,8,1,-2,-3,1,-8,8,1,-2,-3,-1,-1
45,-8,7,1,-2,-6,2,-12,6,-3,-1,-3,-1,-10,6,0,0,-6,-2,-10,8,0,-2,-5,-1,-6,7,-2,-2,-6,1,-10,7,1,-2,-4,-2,-1
