Time(ms),TactileRaw(16bit),GroundRef(16bit)
0.00,-1909,3
5.00,-1907,2
10.00,-1909,2
15.00,-1907,3
20.00,-1908,5
25.00,-1912,4
30.00,-1914,4
35.00,-1909,2
40.00,-1914,4
45.00,-1912,4
50.00,-1912,4
55.00,-1915,3
60.00,-1910,2
65.00,-1915,4
70.00,-1917,2
75.00,-1909,3
80.00,-1920,4
85.00,-1913,5
90.00,-1909,2
95.00,-1915,2
100.00,-1922,2
105.00,-1915,3
110.00,-1908,4
115.00,-1912,3
120.00,-1907,4
125.00,-1907,2
130.00,-1911,5
135.00,-1909,2
140.00,-1915,5
145.00,-1916,4
150.00,-1909,2
155.00,-1910,5
160.00,-1916,5
165.00,-1916,2
170.00,-1915,2
175.00,-1918,3
180.00,-1924,6
185.00,-1917,4
190.00,-1913,2
195.00,-1917,3
200.00,-1914,1
205.00,-1922,5
210.00,-1921,2
215.00,-1915,2
220.00,-1919,4
225.00,-1918,2
230.00,-1926,2
235.00,-1918,3
240.00,-1919,3
245.00,-1912,1
250.00,-1923,5
255.00,-1912,3
260.00,-1919,2
265.00,-1919,5
270.00,-1918,4
275.00,-1918,5
280.00,-1916,2
285.00,-1917,5
290.00,-1919,2
295.00,-1915,2
300.00,-1916,5
305.00,-1906,3
310.00,-1906,3
315.00,-1915,4
320.00,-1915,3
325.00,-1919,4
330.00,-1918,2
335.00,-1913,2
340.00,-1914,5
345.00,-1919,3
350.00,-1917,4
355.00,-1917,3
360.00,-1918,4
365.00,-1917,5
370.00,-1928,1
375.00,-1928,3
380.00,-1927,4
385.00,-1927,4
390.00,-1927,5
395.00,-1923,5
400.00,-1919,3
405.00,-1924,1
410.00,-1921,3
415.00,-1927,3
420.00,-1922,4
425.00,-1924,2
430.00,-1915,3
435.00,-1915,2
440.00,-1915,5
445.00,-1911,3
450.00,-1918,5
455.00,-1914,5
460.00,-1912,2
465.00,-1911,3
470.00,-1920,2
475.00,-1918,2
480.00,-1914,4
485.00,-1926,4
490.00,-1921,4
495.00,-1919,2
500.00,-1920,3
505.00,-1911,4
510.00,-1912,5
515.00,-1921,4
520.00,-1912,3
525.00,-1908,2
530.00,-1918,2
535.00,-1916,3
540.00,-1916,5
545.00,-1918,2
550.00,-1930,2
555.00,-1915,2
560.00,-1916,4
565.00,-1918,2
570.00,-1921,3
575.00,-1924,4
580.00,-1915,5
585.00,-1916,2
590.00,-1909,2
595.00,-1913,2
600.00,-1911,3
605.00,-1910,2
610.00,-1914,2
615.00,-1912,2
620.00,-1915,5
625.00,-1914,4
630.00,-1919,3
635.00,-1918,4
640.00,-1921,2
645.00,-1924,4
650.00,-1927,3
655.00,-1918,5
660.00,-1917,1
665.00,-1915,2
670.00,-1918,2
675.00,-1915,4
680.00,-1922,3
685.00,-1919,4
690.00,-1913,4
695.00,-1912,1
700.00,-1909,4
705.00,-1915,2
710.00,-1912,2
715.00,-1912,2
720.00,-1906,3
725.00,-1917,4
730.00,-1915,3
735.00,-1917,2
740.00,-1912,5
745.00,-1909,5
750.00,-1914,3
755.00,-1905,3
760.00,-1913,4
765.00,-1914,0
770.00,-1915,2
775.00,-1909,3
780.00,-1918,4
785.00,-1918,4
790.00,-1909,2
795.00,-1912,2
800.00,-1910,3
805.00,-1909,4
810.00,-1904,3
815.00,-1916,2
820.00,-1907,2
825.00,-1912,2
830.00,-1929,3
835.00,-1923,2
840.00,-1931,3
845.00,-1925,5
850.00,-1930,3
855.00,-1934,2
860.00,-1928,4
865.00,-1930,3
870.00,-1934,3
875.00,-1927,4
880.00,-1924,5
885.00,-1930,4
890.00,-1923,0
895.00,-1929,4
900.00,-1930,4
905.00,-1929,1
910.00,-1937,1
915.00,-1934,2
920.00,-1937,2
925.00,-1933,2
930.00,-1927,2
935.00,-1927,2
940.00,-1920,3
945.00,-1924,4
950.00,-1932,4
955.00,-1927,2
960.00,-1926,2
965.00,-1927,3
970.00,-1928,3
975.00,-1922,2
980.00,-1926,2
985.00,-1922,3
990.00,-1920,4
995.00,-1918,2
1000.00,-1927,3
1005.00,-1925,5
1010.00,-1918,3
1015.00,-1923,2
1020.00,-1920,1
1025.00,-1921,3
1030.00,-1917,3
1035.00,-1928,5
1040.00,-1923,2
1045.00,-1918,3
1050.00,-1927,3
1055.00,-1921,2
1060.00,-1920,3
1065.00,-1921,2
1070.00,-1924,4
1075.00,-1921,2
1080.00,-1922,3
1085.00,-1919,2
1090.00,-1924,3
1095.00,-1917,2
1100.00,-1919,1
1105.00,-1919,0
1110.00,-1923,3
1115.00,-1916,2
1120.00,-1913,3
1125.00,-1914,5
1130.00,-1915,3
1135.00,-1916,4
1140.00,-1916,4
1145.00,-1916,2
1150.00,-1917,4
1155.00,-1923,2
1160.00,-1918,2
1165.00,-1918,2
1170.00,-1920,3
1175.00,-1914,2
1180.00,-1917,3
1185.00,-1917,1
1190.00,-1913,1
1195.00,-1915,3
1200.00,-1923,4
1205.00,-1921,4
1210.00,-1909,3
1215.00,-1913,2
1220.00,-1910,2
1225.00,-1912,2
1230.00,-1914,2
1235.00,-1914,3
1240.00,-1912,1
1245.00,-1923,2
1250.00,-1915,3
1255.00,-1921,3
1260.00,-1917,3
1265.00,-1918,3
1270.00,-1921,4
1275.00,-1920,3
1280.00,-1915,2
1285.00,-1924,2
1290.00,-1921,3
1295.00,-1919,3
1300.00,-1915,1
1305.00,-1925,2
1310.00,-1921,3
1315.00,-1927,2
1320.00,-1930,3
1325.00,-1924,5
1330.00,-1917,3
1335.00,-1927,0
1340.00,-1926,5
1345.00,-1925,3
1350.00,-1930,1
1355.00,-1927,3
1360.00,-1933,5
1365.00,-1933,2
1370.00,-1929,3
1375.00,-1921,3
1380.00,-1933,3
1385.00,-1922,3
1390.00,-1924,2
1395.00,-1927,5
1400.00,-1924,3
1405.00,-1931,3
1410.00,-1924,2
1415.00,-1930,2
1420.00,-1925,3
1425.00,-1922,2
1430.00,-1927,4
1435.00,-1927,2
1440.00,-1930,3
1445.00,-1927,3
1450.00,-1927,4
1455.00,-1927,3
1460.00,-1924,3
1465.00,-1920,2
1470.00,-1928,4
1475.00,-1931,2
1480.00,-1927,3
1485.00,-1924,2
1490.00,-1920,4
1495.00,-1918,3
1500.00,-1920,4
1505.00,-1917,4
1510.00,-1918,2
1515.00,-1920,2
1520.00,-1915,3
1525.00,-1917,4
1530.00,-1915,2
1535.00,-1917,3
1540.00,-1911,3
1545.00,-1919,3
1550.00,-1918,3
1555.00,-1916,4
1560.00,-1921,2
1565.00,-1918,3
1570.00,-1919,4
1575.00,-1924,3
1580.00,-1927,3
1585.00,-1924,2
1590.00,-1926,3
1595.00,-1921,2
1600.00,-1919,3
1605.00,-1915,3
1610.00,-1925,2
1615.00,-1922,2
1620.00,-1915,2
1625.00,-1912,4
1630.00,-1916,2
1635.00,-1916,3
1640.00,-1910,2
1645.00,-1905,1
1650.00,-1913,2
1655.00,-1917,2
1660.00,-1915,4
1665.00,-1917,3
1670.00,-1921,4
1675.00,-1917,4
1680.00,-1926,3
1685.00,-1924,3
1690.00,-1920,2
1695.00,-1923,5
1700.00,-1913,3
1705.00,-1927,3
1710.00,-1917,2
1715.00,-1919,5
1720.00,-1920,2
1725.00,-1923,2
1730.00,-1927,1
1735.00,-1918,4
1740.00,-1921,2
1745.00,-1916,4
1750.00,-1921,4
1755.00,-1921,3
1760.00,-1910,3
1765.00,-1914,2
1770.00,-1917,4
1775.00,-1915,1
1780.00,-1912,4
1785.00,-1913,2
1790.00,-1916,3
1795.00,-1916,2
1800.00,-1917,3
1805.00,-1915,2
1810.00,-1918,3
1815.00,-1920,5
1820.00,-1923,3
1825.00,-1923,4
1830.00,-1919,2
1835.00,-1923,4
1840.00,-1924,2
1845.00,-1923,5
1850.00,-1930,1
1855.00,-1926,3
1860.00,-1930,3
1865.00,-1925,4
1870.00,-1921,4
1875.00,-1923,2
1880.00,-1926,5
1885.00,-1922,3
1890.00,-1927,4
1895.00,-1921,2
1900.00,-1921,3
1905.00,-1933,3
1910.00,-1922,3
1915.00,-1931,2
1920.00,-1939,3
1925.00,-1936,3
1930.00,-1933,2
1935.00,-1939,3
1940.00,-1936,2
1945.00,-1936,2
1950.00,-1935,2
1955.00,-1930,4
1960.00,-1928,5
1965.00,-1930,2
1970.00,-1931,3
1975.00,-1933,2
1980.00,-1928,3
1985.00,-1927,5
1990.00,-1925,2
1995.00,-1933,2
2000.00,-1927,2
2005.00,-1927,2
2010.00,-1931,3
2015.00,-1926,3
2020.00,-1921,3
2025.00,-1928,4
2030.00,-1927,3
2035.00,-1930,3
2040.00,-1922,2
2045.00,-1922,2
2050.00,-1914,2
2055.00,-1915,4
2060.00,-1924,2
2065.00,-1916,5
2070.00,-1915,2
2075.00,-1917,2
2080.00,-1910,2
2085.00,-1918,2
2090.00,-1912,5
2095.00,-1916,2
2100.00,-1907,4
2105.00,-1918,3
2110.00,-1918,2
2115.00,-1923,4
2120.00,-1912,3
2125.00,-1914,3
2130.00,-1915,5
2135.00,-1916,2
2140.00,-1917,4
2145.00,-1917,5
2150.00,-1914,2
2155.00,-1909,2
2160.00,-1922,3
2165.00,-1921,2
2170.00,-1922,2
2175.00,-1912,2
2180.00,-1914,2
2185.00,-1914,4
2190.00,-1912,4
2195.00,-1916,2
2200.00,-1903,2
2205.00,-1913,4
2210.00,-1917,2
2215.00,-1906,3
2220.00,-1915,5
2225.00,-1916,2
2230.00,-1920,4
2235.00,-1913,3
2240.00,-1913,3
2245.00,-1923,5
2250.00,-1915,3
2255.00,-1912,2
2260.00,-1913,4
2265.00,-1920,4
2270.00,-1915,2
2275.00,-1921,3
2280.00,-1924,1
2285.00,-1915,5
2290.00,-1915,3
2295.00,-1921,2
2300.00,-1924,1
2305.00,-1919,2
2310.00,-1920,3
2315.00,-1921,4
2320.00,-1918,2
2325.00,-1927,4
2330.00,-1928,2
2335.00,-1919,4
2340.00,-1921,3
2345.00,-1919,4
2350.00,-1915,3
2355.00,-1921,1
2360.00,-1925,4
2365.00,-1919,2
2370.00,-1921,3
2375.00,-1921,2
2380.00,-1924,5
2385.00,-1915,2
2390.00,-1919,3
2395.00,-1914,4
2400.00,-1929,3
2405.00,-1922,4
2410.00,-1926,2
2415.00,-1924,2
2420.00,-1925,1
2425.00,-1927,3
2430.00,-1935,2
2435.00,-1926,2
2440.00,-1929,2
2445.00,-1936,2
2450.00,-1925,3
2455.00,-1918,2
2460.00,-1915,1
2465.00,-1924,3
2470.00,-1924,4
2475.00,-1915,5
2480.00,-1920,2
2485.00,-1917,2
2490.00,-1920,2
2495.00,-1918,5
2500.00,-1921,4
2505.00,-1919,2
2510.00,-1922,2
2515.00,-1922,3
2520.00,-1915,2
2525.00,-1924,4
2530.00,-1924,3
2535.00,-1916,5
2540.00,-1923,2
2545.00,-1916,5
2550.00,-1929,4
2555.00,-1929,3
2560.00,-1923,2
2565.00,-1927,2
2570.00,-1936,3
2575.00,-1927,2
2580.00,-1927,2
2585.00,-1927,5
2590.00,-1930,4
2595.00,-1927,2
2600.00,-1927,4
2605.00,-1927,2
2610.00,-1925,4
2615.00,-1927,2
2620.00,-1925,4
2625.00,-1926,3
2630.00,-1927,5
2635.00,-1927,2
2640.00,-1927,3
2645.00,-1932,2
2650.00,-1930,4
2655.00,-1932,4
2660.00,-1930,3
2665.00,-1929,3
2670.00,-1930,3
2675.00,-1922,2
2680.00,-1929,2
2685.00,-1918,3
2690.00,-1920,2
2695.00,-1924,6
2700.00,-1925,3
2705.00,-1927,2
2710.00,-1930,4
2715.00,-1925,3
2720.00,-1927,2
2725.00,-1922,5
2730.00,-1927,2
2735.00,-1927,2
2740.00,-1927,4
2745.00,-1927,4
2750.00,-1931,3
2755.00,-1929,3
2760.00,-1920,3
2765.00,-1922,4
2770.00,-1929,2
2775.00,-1928,2
2780.00,-1930,1
2785.00,-1928,3
2790.00,-1926,3
2795.00,-1921,2
2800.00,-1930,3
2805.00,-1929,3
2810.00,-1923,1
2815.00,-1917,2
2820.00,-1924,4
2825.00,-1924,3
2830.00,-1924,3
2835.00,-1921,3
2840.00,-1926,3
2845.00,-1926,3
2850.00,-1924,2
2855.00,-1925,3
2860.00,-1924,4
2865.00,-1930,2
2870.00,-1926,4
2875.00,-1923,3
2880.00,-1922,2
2885.00,-1920,5
2890.00,-1927,2
2895.00,-1925,2
2900.00,-1923,2
2905.00,-1927,1
2910.00,-1923,4
2915.00,-1926,2
2920.00,-1924,2
2925.00,-1920,2
2930.00,-1925,1
2935.00,-1933,2
2940.00,-1934,2
2945.00,-1933,2
2950.00,-1934,2
2955.00,-1933,3
2960.00,-1934,2
2965.00,-1932,5
2970.00,-1930,3
2975.00,-1928,5
2980.00,-1924,1
2985.00,-1925,3
2990.00,-1926,4
2995.00,-1928,2
3000.00,-1925,4
3005.00,-1920,5
3010.00,-1925,2
