Time(ms),TactileRaw(16bit),GroundRef(16bit)
0.00,-5534,2
5.00,-5537,2
10.00,-5536,2
15.00,-5539,3
20.00,-5537,2
25.00,-5529,2
30.00,-5534,4
35.00,-5525,2
40.00,-5535,2
45.00,-5535,3
50.00,-5533,4
55.00,-5523,1
60.00,-5531,3
65.00,-5538,2
70.00,-5532,2
75.00,-5531,3
80.00,-5534,3
85.00,-5528,2
90.00,-5523,4
95.00,-5534,1
100.00,-5531,2
105.00,-5533,2
110.00,-5532,0
115.00,-5531,3
120.00,-5534,4
125.00,-5532,2
130.00,-5523,2
135.00,-5528,2
140.00,-5542,2
145.00,-5531,3
150.00,-5531,2
155.00,-5530,3
160.00,-5531,2
165.00,-5534,2
170.00,-5540,2
175.00,-5531,1
180.00,-5533,2
185.00,-5535,1
190.00,-5534,3
195.00,-5528,2
200.00,-5534,2
205.00,-5535,2
210.00,-5535,3
215.00,-5535,2
220.00,-5533,1
225.00,-5538,2
230.00,-5527,2
235.00,-5530,3
240.00,-5522,0
245.00,-5532,4
250.00,-5528,2
255.00,-5522,1
260.00,-5528,3
265.00,-5532,1
270.00,-5534,2
275.00,-5527,3
280.00,-5534,3
285.00,-5528,2
290.00,-5532,2
295.00,-5534,2
300.00,-5524,0
305.00,-5528,4
310.00,-5527,2
315.00,-5528,4
320.00,-5538,3
325.00,-5534,2
330.00,-5531,0
335.00,-5520,5
340.00,-5530,1
345.00,-5535,3
350.00,-5525,2
355.00,-5535,1
360.00,-5531,5
365.00,-5540,3
370.00,-5537,2
375.00,-5536,2
380.00,-5535,2
385.00,-5530,3
390.00,-5540,3
395.00,-5540,2
400.00,-5533,4
405.00,-5539,3
410.00,-5532,3
415.00,-5532,4
420.00,-5537,1
425.00,-5534,2
430.00,-5535,3
435.00,-5541,3
440.00,-5538,2
445.00,-5539,2
450.00,-5540,3
455.00,-5530,1
460.00,-5536,2
465.00,-5540,4
470.00,-5535,4
475.00,-5536,2
480.00,-5528,2
485.00,-5540,2
490.00,-5543,5
495.00,-5534,3
500.00,-5534,2
505.00,-5544,2
510.00,-5541,2
515.00,-5543,2
520.00,-5531,5
525.00,-5528,2
530.00,-5537,2
535.00,-5540,2
540.00,-5540,0
545.00,-5539,5
550.00,-5526,3
555.00,-5531,2
560.00,-5538,5
565.00,-5531,2
570.00,-5531,4
575.00,-5531,4
580.00,-5540,3
585.00,-5532,3
590.00,-5535,3
595.00,-5537,2
600.00,-5525,4
605.00,-5540,1
610.00,-5528,2
615.00,-5539,3
620.00,-5534,2
625.00,-5538,3
630.00,-5533,3
635.00,-5528,2
640.00,-5534,2
645.00,-5536,2
650.00,-5536,2
655.00,-5529,3
660.00,-5526,2
665.00,-5543,3
670.00,-5534,2
675.00,-5528,3
680.00,-5528,4
685.00,-5530,2
690.00,-5527,2
695.00,-5534,2
700.00,-5527,5
705.00,-5532,2
710.00,-5537,3
715.00,-5531,3
720.00,-5536,2
725.00,-5534,2
730.00,-5529,3
735.00,-5531,4
740.00,-5534,3
745.00,-5531,2
750.00,-5530,3
755.00,-5532,4
760.00,-5539,2
765.00,-5537,3
770.00,-5535,4
775.00,-5539,4
780.00,-5539,2
785.00,-5529,2
790.00,-5549,3
795.00,-5533,2
800.00,-5535,3
805.00,-5533,4
810.00,-5538,3
815.00,-5535,3
820.00,-5535,2
825.00,-5537,4
830.00,-5543,3
835.00,-5542,2
840.00,-5540,2
845.00,-5551,2
850.00,-5550,2
855.00,-5539,3
860.00,-5543,3
865.00,-5545,3
870.00,-5536,1
875.00,-5543,4
880.00,-5535,2
885.00,-5543,2
890.00,-5542,2
895.00,-5534,2
900.00,-5538,5
905.00,-5540,3
910.00,-5537,3
915.00,-5528,2
920.00,-5533,3
925.00,-5525,1
930.00,-5524,1
935.00,-5534,2
940.00,-5528,2
945.00,-5537,1
950.00,-5526,2
955.00,-5532,2
960.00,-5535,2
965.00,-5535,4
970.00,-5536,4
975.00,-5536,2
980.00,-5528,2
985.00,-5532,2
990.00,-5531,2
995.00,-5534,4
1000.00,-5527,2
1005.00,-5530,2
1010.00,-5531,3
1015.00,-5538,3
1020.00,-5534,2
1025.00,-5542,2
1030.00,-5540,4
1035.00,-5537,3
1040.00,-5534,1
1045.00,-5544,4
1050.00,-5533,1
1055.00,-5537,2
1060.00,-5537,3
1065.00,-5533,0
1070.00,-5543,0
1075.00,-5540,0
1080.00,-5540,2
1085.00,-5540,2
1090.00,-5531,5
1095.00,-5537,3
1100.00,-5537,4
1105.00,-5546,1
1110.00,-5535,4
1115.00,-5529,2
1120.00,-5539,4
1125.00,-5527,3
1130.00,-5541,2
1135.00,-5545,2
1140.00,-5551,2
1145.00,-5539,2
1150.00,-5542,2
1155.00,-5540,4
1160.00,-5547,3
1165.00,-5550,2
1170.00,-5541,4
1175.00,-5541,2
1180.00,-5535,2
1185.00,-5552,3
1190.00,-5539,5
1195.00,-5546,2
1200.00,-5543,3
1205.00,-5537,3
1210.00,-5543,1
1215.00,-5540,2
1220.00,-5531,5
1225.00,-5539,2
1230.00,-5540,3
1235.00,-5530,5
1240.00,-5536,5
1245.00,-5539,1
1250.00,-5537,2
1255.00,-5538,3
1260.00,-5540,3
1265.00,-5531,3
1270.00,-5543,5
1275.00,-5534,2
1280.00,-5535,0
1285.00,-5541,5
1290.00,-5535,5
1295.00,-5537,4
1300.00,-5541,2
1305.00,-5534,2
1310.00,-5541,3
1315.00,-5532,2
1320.00,-5538,3
1325.00,-5534,4
1330.00,-5537,2
1335.00,-5533,2
1340.00,-5529,2
1345.00,-5534,2
1350.00,-5539,4
1355.00,-5537,1
1360.00,-5540,3
1365.00,-5538,2
1370.00,-5535,2
1375.00,-5540,3
1380.00,-5537,1
1385.00,-5528,3
1390.00,-5534,2
1395.00,-5534,3
1400.00,-5543,0
1405.00,-5537,0
1410.00,-5532,3
1415.00,-5533,1
1420.00,-5534,2
1425.00,-5541,2
1430.00,-5534,3
1435.00,-5528,3
1440.00,-5530,1
1445.00,-5529,2
1450.00,-5539,5
1455.00,-5543,4
1460.00,-5536,1
1465.00,-5533,1
1470.00,-5534,1
1475.00,-5532,1
1480.00,-5537,1
1485.00,-5530,2
1490.00,-5533,5
1495.00,-5537,1
1500.00,-5533,3
1505.00,-5534,3
1510.00,-5531,3
1515.00,-5531,2
1520.00,-5531,1
1525.00,-5528,5
1530.00,-5537,3
1535.00,-5529,2
1540.00,-5525,2
1545.00,-5538,2
1550.00,-5532,4
1555.00,-5534,3
1560.00,-5534,3
1565.00,-5544,2
1570.00,-5539,2
1575.00,-5532,0
1580.00,-5534,2
1585.00,-5528,2
1590.00,-5529,2
1595.00,-5538,2
1600.00,-5536,2
1605.00,-5537,3
1610.00,-5538,2
1615.00,-5537,4
1620.00,-5532,2
1625.00,-5534,3
1630.00,-5538,2
1635.00,-5530,1
1640.00,-5538,4
1645.00,-5533,2
1650.00,-5537,4
1655.00,-5539,3
1660.00,-5542,2
1665.00,-5534,2
1670.00,-5547,2
1675.00,-5540,2
1680.00,-5539,5
1685.00,-5537,4
1690.00,-5541,2
1695.00,-5536,3
1700.00,-5534,3
1705.00,-5534,5
1710.00,-5541,0
1715.00,-5535,2
1720.00,-5539,2
1725.00,-5537,5
1730.00,-5531,2
1735.00,-5534,5
1740.00,-5534,4
1745.00,-5535,2
1750.00,-5543,2
1755.00,-5533,3
1760.00,-5532,2
1765.00,-5531,3
1770.00,-5541,3
1775.00,-5534,4
1780.00,-5538,4
1785.00,-5528,2
1790.00,-5532,4
1795.00,-5534,3
1800.00,-5531,1
1805.00,-5529,3
1810.00,-5539,2
1815.00,-5533,1
1820.00,-5528,2
1825.00,-5522,2
1830.00,-5531,3
1835.00,-5529,2
1840.00,-5527,2
1845.00,-5535,3
1850.00,-5543,2
1855.00,-5539,1
1860.00,-5535,2
1865.00,-5530,5
1870.00,-5531,1
1875.00,-5529,2
1880.00,-5528,1
1885.00,-5539,4
1890.00,-5538,5
1895.00,-5529,2
1900.00,-5534,4
1905.00,-5538,3
1910.00,-5540,2
1915.00,-5542,2
1920.00,-5543,2
1925.00,-5545,2
1930.00,-5538,1
1935.00,-5533,4
1940.00,-5531,5
1945.00,-5535,3
1950.00,-5530,2
1955.00,-5536,3
1960.00,-5542,2
1965.00,-5539,5
1970.00,-5537,2
1975.00,-5531,2
1980.00,-5535,3
1985.00,-5532,2
1990.00,-5535,0
1995.00,-5539,2
2000.00,-5543,2
2005.00,-5539,2
2010.00,-5535,2
2015.00,-5541,2
2020.00,-5539,4
2025.00,-5540,3
2030.00,-5529,2
2035.00,-5525,1
2040.00,-5528,3
2045.00,-5528,2
2050.00,-5533,0
2055.00,-5533,2
2060.00,-5522,2
2065.00,-5528,4
2070.00,-5533,2
2075.00,-5538,3
2080.00,-5528,2
2085.00,-5522,2
2090.00,-5533,1
2095.00,-5539,4
2100.00,-5536,4
2105.00,-5537,2
2110.00,-5536,3
2115.00,-5544,2
2120.00,-5533,3
2125.00,-5539,3
2130.00,-5549,2
2135.00,-5553,2
2140.00,-5547,3
2145.00,-5546,4
2150.00,-5545,2
2155.00,-5546,3
2160.00,-5548,4
2165.00,-5550,1
2170.00,-5554,4
2175.00,-5544,4
2180.00,-5543,4
2185.00,-5543,3
2190.00,-5543,4
2195.00,-5540,3
2200.00,-5546,0
2205.00,-5538,2
2210.00,-5544,3
2215.00,-5540,2
2220.00,-5527,3
2225.00,-5531,2
2230.00,-5542,5
2235.00,-5533,2
2240.00,-5534,4
2245.00,-5539,2
2250.00,-5540,2
2255.00,-5537,4
2260.00,-5546,2
2265.00,-5546,2
2270.00,-5538,3
2275.00,-5537,3
2280.00,-5540,2
2285.00,-5531,2
2290.00,-5539,3
2295.00,-5535,3
2300.00,-5530,2
2305.00,-5534,3
2310.00,-5539,5
2315.00,-5542,1
2320.00,-5544,2
2325.00,-5537,1
2330.00,-5544,4
2335.00,-5539,2
2340.00,-5539,1
2345.00,-5549,3
2350.00,-5535,3
2355.00,-5538,3
2360.00,-5534,5
2365.00,-5541,1
2370.00,-5534,2
2375.00,-5534,2
2380.00,-5544,4
2385.00,-5539,4
2390.00,-5531,2
2395.00,-5534,2
2400.00,-5536,3
2405.00,-5528,2
2410.00,-5529,2
2415.00,-5540,3
2420.00,-5539,1
2425.00,-5537,5
2430.00,-5539,3
2435.00,-5540,2
2440.00,-5543,3
2445.00,-5537,2
2450.00,-5531,4
2455.00,-5537,2
2460.00,-5533,2
2465.00,-5540,4
2470.00,-5540,5
2475.00,-5533,4
2480.00,-5542,3
2485.00,-5535,2
2490.00,-5543,2
2495.00,-5536,2
2500.00,-5542,3
2505.00,-5534,3
2510.00,-5533,2
2515.00,-5544,2
2520.00,-5538,3
2525.00,-5543,0
2530.00,-5544,3
2535.00,-5544,2
2540.00,-5538,2
2545.00,-5533,3
2550.00,-5537,2
2555.00,-5539,3
2560.00,-5531,4
2565.00,-5534,2
2570.00,-5534,2
2575.00,-5528,3
2580.00,-5531,2
2585.00,-5525,3
