Time(ms),TactileRaw(16bit),GroundRef(16bit)
0.00,-4243,4
5.00,-4245,2
10.00,-4247,1
15.00,-4244,2
20.00,-4240,5
25.00,-4261,4
30.00,-4257,5
35.00,-4249,3
40.00,-4254,4
45.00,-4251,3
50.00,-4251,2
55.00,-4247,3
60.00,-4247,3
65.00,-4252,2
70.00,-4249,2
75.00,-4247,3
80.00,-4257,2
85.00,-4257,3
90.00,-4257,2
95.00,-4260,1
100.00,-4249,3
105.00,-4260,3
110.00,-4253,2
115.00,-4252,3
120.00,-4261,2
125.00,-4256,2
130.00,-4266,2
135.00,-4264,1
140.00,-4259,3
145.00,-4252,2
150.00,-4259,4
155.00,-4254,3
160.00,-4247,5
165.00,-4245,0
170.00,-4253,3
175.00,-4262,2
180.00,-4258,4
185.00,-4255,2
190.00,-4246,3
195.00,-4253,3
200.00,-4257,5
205.00,-4258,5
210.00,-4256,3
215.00,-4258,4
220.00,-4247,2
225.00,-4244,3
230.00,-4249,2
235.00,-4251,3
240.00,-4256,5
245.00,-4250,3
250.00,-4247,2
255.00,-4247,2
260.00,-4255,3
265.00,-4248,3
270.00,-4247,1
275.00,-4241,3
280.00,-4238,3
285.00,-4249,2
290.00,-4245,4
295.00,-4243,4
300.00,-4242,2
305.00,-4247,4
310.00,-4249,3
315.00,-4252,3
320.00,-4251,5
325.00,-4245,3
330.00,-4248,4
335.00,-4259,4
340.00,-4247,4
345.00,-4260,2
350.00,-4253,4
355.00,-4248,2
360.00,-4253,5
365.00,-4246,2
370.00,-4243,4
375.00,-4253,3
380.00,-4251,4
385.00,-4251,4
390.00,-4250,2
395.00,-4253,2
400.00,-4248,1
405.00,-4253,2
410.00,-4254,5
415.00,-4254,3
420.00,-4252,5
425.00,-4259,2
430.00,-4258,2
435.00,-4260,5
440.00,-4251,2
445.00,-4248,3
450.00,-4240,2
455.00,-4242,5
460.00,-4258,6
465.00,-4255,4
470.00,-4256,4
475.00,-4255,3
480.00,-4246,2
485.00,-4248,2
490.00,-4253,1
495.00,-4251,3
500.00,-4240,6
505.00,-4249,4
510.00,-4246,2
515.00,-4247,4
520.00,-4260,5
525.00,-4246,3
530.00,-4251,1
535.00,-4251,5
540.00,-4252,4
545.00,-4257,3
550.00,-4246,3
555.00,-4246,2
560.00,-4254,2
565.00,-4251,3
570.00,-4255,1
575.00,-4242,3
580.00,-4253,2
585.00,-4248,4
590.00,-4247,4
595.00,-4249,3
600.00,-4254,5
605.00,-4255,4
610.00,-4257,0
615.00,-4250,3
620.00,-4261,5
625.00,-4251,3
630.00,-4253,3
635.00,-4256,3
640.00,-4254,4
645.00,-4262,3
650.00,-4263,3
655.00,-4260,3
660.00,-4250,3
665.00,-4255,2
670.00,-4242,3
675.00,-4258,2
680.00,-4250,3
685.00,-4251,3
690.00,-4246,1
695.00,-4250,4
700.00,-4253,4
705.00,-4245,2
710.00,-4251,3
715.00,-4252,1
720.00,-4256,3
725.00,-4258,4
730.00,-4257,4
735.00,-4250,1
740.00,-4248,3
745.00,-4257,3
750.00,-4248,4
755.00,-4254,5
760.00,-4253,-1
765.00,-4252,5
770.00,-4261,4
775.00,-4247,2
780.00,-4252,2
785.00,-4246,4
790.00,-4252,4
795.00,-4250,2
800.00,-4248,2
805.00,-4246,5
810.00,-4249,4
815.00,-4248,4
820.00,-4244,1
825.00,-4257,4
830.00,-4249,3
835.00,-4253,2
840.00,-4253,2
845.00,-4251,4
850.00,-4246,2
855.00,-4255,2
860.00,-4237,3
865.00,-4244,2
870.00,-4244,2
875.00,-4249,2
880.00,-4246,2
885.00,-4243,3
890.00,-4249,2
895.00,-4244,3
900.00,-4246,3
905.00,-4249,3
910.00,-4249,2
915.00,-4249,2
920.00,-4251,6
925.00,-4256,2
930.00,-4249,2
935.00,-4250,3
940.00,-4243,2
945.00,-4251,3
950.00,-4247,4
955.00,-4257,2
960.00,-4250,5
965.00,-4259,2
970.00,-4254,2
975.00,-4254,0
980.00,-4238,2
985.00,-4243,2
990.00,-4254,5
995.00,-4261,1
1000.00,-4250,5
1005.00,-4259,4
1010.00,-4250,4
1015.00,-4248,5
1020.00,-4248,3
1025.00,-4246,2
1030.00,-4253,3
1035.00,-4258,4
1040.00,-4248,3
1045.00,-4259,2
1050.00,-4249,3
1055.00,-4249,2
1060.00,-4260,3
1065.00,-4261,3
1070.00,-4261,5
1075.00,-4260,4
1080.00,-4251,1
1085.00,-4252,2
1090.00,-4252,2
1095.00,-4253,2
1100.00,-4263,4
1105.00,-4254,4
1110.00,-4260,5
1115.00,-4263,4
1120.00,-4254,3
1125.00,-4255,5
