Cycle,Folder,Force_N,Force_mN,Mean_LSB,Std_LSB,Zero_Mean_LSB,Delta_S_LSB,Abs_Delta_S_LSB
cycle1,0,0.0,0.0,-5.205860805860806,1.1693649157230532,-5.205860805860806,0.0,0.0
cycle1,1,0.05,50.0,-71.19436813186813,1.731057285462896,-5.205860805860806,-65.98850732600732,65.98850732600732
cycle1,2,0.1,100.0,-116.7865416436845,2.0041887174289457,-5.205860805860806,-111.58068083782369,111.58068083782369
cycle1,3,0.2,200.0,-226.75500303214068,315.3998935521143,-5.205860805860806,-221.54914222627988,221.54914222627988
cycle1,4,0.5,500.0,-574.805735930736,4.106939417637964,-5.205860805860806,-569.5998751248752,569.5998751248752
cycle2,0,0.0,0.0,-5.202930402930403,1.1698773898673247,-5.202930402930403,0.0,0.0
cycle2,1,0.05,50.0,-72.32967032967034,1.777244139034013,-5.202930402930403,-67.12673992673993,67.12673992673993
cycle2,2,0.1,100.0,-118.80198565912852,2.0096226639471038,-5.202930402930403,-113.59905525619811,113.59905525619811
cycle2,3,0.2,200.0,-229.75924802910856,315.4000093707745,-5.202930402930403,-224.55631762617816,224.55631762617816
cycle2,4,0.5,500.0,-583.5708874458875,4.125449803671639,-5.202930402930403,-578.3679570429571,578.3679570429571
cycle3,0,0.0,0.0,-5.198534798534799,1.172509236749025,-5.198534798534799,0.0,0.0
cycle3,1,0.05,50.0,-72.19093406593407,1.7328284348582081,-5.198534798534799,-66.99239926739928,66.99239926739928
cycle3,2,0.1,100.0,-117.27688913403199,2.046237279963855,-5.198534798534799,-112.0783543354972,112.0783543354972
cycle3,3,0.2,200.0,-227.6064281382656,315.39647722668605,-5.198534798534799,-222.4078933397308,222.4078933397308
cycle3,4,0.5,500.0,-579.9713203463203,4.1111703563782775,-5.198534798534799,-574.7727855477856,574.7727855477856
cycle4,0,0.0,0.0,-5.195604395604396,1.1773689622605343,-5.195604395604396,0.0,0.0
cycle4,1,0.05,50.0,-71.26785714285714,1.7503138087389776,-5.195604395604396,-66.07225274725275,66.07225274725275
cycle4,2,0.1,100.0,-116.7876447876448,2.0029287666250077,-5.195604395604396,-111.5920403920404,111.5920403920404
cycle4,3,0.2,200.0,-227.9399636143117,315.4047975548719,-5.195604395604396,-222.7443592187073,222.7443592187073
cycle4,4,0.5,500.0,-580.3582251082252,4.144183664476438,-5.195604395604396,-575.1626207126208,575.1626207126208
cycle5,0,0.0,0.0,-5.175091575091575,1.179974996489753,-5.175091575091575,0.0,0.0
cycle5,1,0.05,50.0,-70.37431318681318,1.7740007231577253,-5.175091575091575,-65.19922161172161,65.19922161172161
cycle5,2,0.1,100.0,-114.92167677881963,2.0419007753231093,-5.175091575091575,-109.74658520372806,109.74658520372806
cycle5,3,0.2,200.0,-226.44572468162522,315.39264459139457,-5.175091575091575,-221.27063310653364,221.27063310653364
cycle5,4,0.5,500.0,-576.788961038961,4.109340371876009,-5.175091575091575,-571.6138694638695,571.6138694638695
cycle6,0,0.0,0.0,-5.098168498168498,1.2105491293051482,-5.098168498168498,0.0,0.0
cycle6,1,0.05,50.0,-72.34134615384616,1.7698022413721688,-5.098168498168498,-67.24317765567767,67.24317765567767
cycle6,2,0.1,100.0,-117.78985107556537,2.0061898227089183,-5.098168498168498,-112.69168257739688,112.69168257739688
