Time(ms),TactileRaw(16bit),GroundRef(16bit)
0.00,-583,5
5.00,-581,5
10.00,-582,5
15.00,-583,5
20.00,-581,3
25.00,-582,5
30.00,-580,5
35.00,-581,3
40.00,-577,3
45.00,-580,5
50.00,-579,2
55.00,-579,3
60.00,-577,5
65.00,-583,3
70.00,-578,5
75.00,-576,3
80.00,-580,4
85.00,-572,3
90.00,-578,4
95.00,-577,6
100.00,-577,2
105.00,-577,5
110.00,-578,2
115.00,-576,5
120.00,-577,5
125.00,-575,4
130.00,-575,3
135.00,-574,4
140.00,-582,2
145.00,-577,1
150.00,-576,5
155.00,-575,2
160.00,-571,4
165.00,-575,4
170.00,-576,4
175.00,-577,3
180.00,-577,5
185.00,-578,5
190.00,-574,2
195.00,-574,4
200.00,-579,4
205.00,-574,4
210.00,-575,3
215.00,-572,3
220.00,-577,3
225.00,-577,4
230.00,-574,2
235.00,-577,3
240.00,-577,5
245.00,-575,2
250.00,-576,1
255.00,-577,5
260.00,-574,4
265.00,-571,4
270.00,-580,4
275.00,-578,3
280.00,-576,3
285.00,-576,4
290.00,-574,2
295.00,-576,4
300.00,-577,3
305.00,-578,3
310.00,-577,2
315.00,-577,5
320.00,-578,4
325.00,-574,5
330.00,-576,2
335.00,-576,6
340.00,-578,2
345.00,-575,3
350.00,-574,3
355.00,-576,3
360.00,-574,5
365.00,-574,3
370.00,-571,2
375.00,-569,2
380.00,-571,5
385.00,-573,2
390.00,-573,5
395.00,-571,5
400.00,-575,5
405.00,-574,2
410.00,-574,4
415.00,-574,5
420.00,-580,3
425.00,-576,5
430.00,-577,2
435.00,-576,2
440.00,-579,4
445.00,-578,5
450.00,-571,5
455.00,-565,5
460.00,-565,5
465.00,-571,4
470.00,-572,4
475.00,-570,5
480.00,-570,5
485.00,-571,5
490.00,-569,4
495.00,-571,1
500.00,-570,5
505.00,-571,2
510.00,-568,4
515.00,-567,1
520.00,-571,5
525.00,-573,4
530.00,-571,3
535.00,-569,3
540.00,-571,3
545.00,-572,4
550.00,-577,5
555.00,-575,2
560.00,-574,1
565.00,-578,3
570.00,-571,2
575.00,-567,2
580.00,-574,5
585.00,-571,4
590.00,-575,2
595.00,-579,5
600.00,-575,3
605.00,-580,3
610.00,-573,3
615.00,-578,4
620.00,-576,6
625.00,-577,2
630.00,-577,5
635.00,-578,2
640.00,-577,4
645.00,-577,5
650.00,-576,3
655.00,-579,4
660.00,-575,4
665.00,-582,5
670.00,-580,4
675.00,-577,3
680.00,-577,5
685.00,-577,2
690.00,-574,3
695.00,-578,3
700.00,-573,5
705.00,-573,3
710.00,-574,2
715.00,-576,4
720.00,-579,2
725.00,-576,4
730.00,-576,4
735.00,-576,4
740.00,-579,2
745.00,-579,5
750.00,-577,3
755.00,-577,0
760.00,-580,5
765.00,-577,1
770.00,-576,2
775.00,-575,3
780.00,-580,4
785.00,-576,4
790.00,-578,2
795.00,-574,2
800.00,-576,5
805.00,-583,5
810.00,-578,1
815.00,-576,5
820.00,-578,4
825.00,-574,5
830.00,-578,3
835.00,-579,6
840.00,-579,5
845.00,-580,2
850.00,-577,5
855.00,-580,5
860.00,-581,3
865.00,-584,1
870.00,-578,5
875.00,-578,3
880.00,-577,3
885.00,-582,5
890.00,-578,2
895.00,-577,5
900.00,-579,4
905.00,-579,3
910.00,-582,3
915.00,-580,5
920.00,-578,3
925.00,-577,3
930.00,-579,5
935.00,-581,4
940.00,-577,3
945.00,-574,2
950.00,-581,3
955.00,-577,4
960.00,-579,5
965.00,-580,4
970.00,-575,5
975.00,-579,5
980.00,-582,3
985.00,-578,3
990.00,-581,3
995.00,-578,2
1000.00,-580,4
1005.00,-581,5
1010.00,-580,4
1015.00,-576,5
1020.00,-579,5
1025.00,-578,5
1030.00,-583,4
1035.00,-584,3
1040.00,-587,5
1045.00,-581,5
1050.00,-586,1
1055.00,-587,4
1060.00,-586,5
1065.00,-586,2
1070.00,-584,5
1075.00,-583,4
1080.00,-583,4
1085.00,-583,2
1090.00,-585,5
1095.00,-586,5
1100.00,-577,4
1105.00,-579,2
1110.00,-580,4
1115.00,-575,3
1120.00,-578,5
1125.00,-578,5
1130.00,-582,2
1135.00,-582,4
1140.00,-578,3
1145.00,-572,4
1150.00,-570,5
1155.00,-571,3
1160.00,-574,4
1165.00,-577,2
1170.00,-577,6
1175.00,-578,3
1180.00,-580,4
1185.00,-575,5
1190.00,-583,3
1195.00,-580,3
1200.00,-583,3
1205.00,-583,4
1210.00,-576,2
1215.00,-584,3
1220.00,-585,3
1225.00,-579,3
1230.00,-583,4
1235.00,-589,4
1240.00,-586,4
1245.00,-583,2
1250.00,-583,4
1255.00,-579,4
1260.00,-582,3
1265.00,-579,3
1270.00,-581,6
1275.00,-578,4
1280.00,-583,6
1285.00,-584,4
1290.00,-584,6
1295.00,-581,2
1300.00,-580,4
1305.00,-580,6
1310.00,-584,5
1315.00,-590,4
1320.00,-586,4
1325.00,-589,3
1330.00,-587,5
1335.00,-590,5
1340.00,-586,5
1345.00,-588,4
1350.00,-583,4
1355.00,-586,3
1360.00,-585,5
1365.00,-586,3
1370.00,-585,5
