Index,Raw16,Visual_mV
0,4830,739.74609375
1,4814,737.3046875
2,4798,734.86328125
3,4830,739.74609375
4,4814,737.3046875
5,4814,737.3046875
6,4814,737.3046875
7,4814,737.3046875
8,4814,737.3046875
9,4846,742.1875
10,4798,734.86328125
11,4798,734.86328125
12,4830,739.74609375
13,4814,737.3046875
14,4814,737.3046875
15,4814,737.3046875
16,4814,737.3046875
17,4814,737.3046875
18,4830,739.74609375
19,4814,737.3046875
20,4798,734.86328125
21,4830,739.74609375
22,4814,737.3046875
23,4814,737.3046875
24,4846,742.1875
25,4814,737.3046875
26,4830,739.74609375
27,4846,742.1875
28,4814,737.3046875
29,4814,737.3046875
30,4830,739.74609375
31,4814,737.3046875
32,4830,739.74609375
33,4846,742.1875
34,4798,734.86328125
35,4814,737.3046875
36,4846,742.1875
37,4814,737.3046875
38,4814,737.3046875
39,4846,742.1875
40,4814,737.3046875
41,4814,737.3046875
42,4830,739.74609375
43,4814,737.3046875
44,4830,739.74609375
45,4846,742.1875
46,4830,739.74609375
47,4830,739.74609375
48,4846,742.1875
49,4814,737.3046875
50,4830,739.74609375
51,4846,742.1875
52,4814,737.3046875
53,4814,737.3046875
54,4830,739.74609375
55,4814,737.3046875
56,4830,739.74609375
57,4846,742.1875
58,4814,737.3046875
59,4830,739.74609375
60,4830,739.74609375
61,4814,737.3046875
62,4830,739.74609375
63,4846,742.1875
64,4798,734.86328125
65,4814,737.3046875
66,4830,739.74609375
67,4798,734.86328125
68,4814,737.3046875
69,4830,739.74609375
70,4798,734.86328125
71,4814,737.3046875
72,4830,739.74609375
73,4798,734.86328125
74,4830,739.74609375
75,4846,742.1875
76,4798,734.86328125
77,4830,739.74609375
78,4830,739.74609375
79,4798,734.86328125
80,4814,737.3046875
81,4830,739.74609375
82,4814,737.3046875
83,4830,739.74609375
84,4846,742.1875
85,4814,737.3046875
86,4830,739.74609375
87,4846,742.1875
88,4814,737.3046875
89,4830,739.74609375
90,4830,739.74609375
91,4814,737.3046875
92,4830,739.74609375
93,4846,742.1875
94,4814,737.3046875
95,4830,739.74609375
96,4846,742.1875
97,4814,737.3046875
98,4830,739.74609375
99,4830,739.74609375
100,4814,737.3046875
101,4830,739.74609375
102,4846,742.1875
103,4798,734.86328125
104,4750,727.5390625
105,4830,739.74609375
106,4798,734.86328125
107,4814,737.3046875
108,4830,739.74609375
109,4798,734.86328125
110,4830,739.74609375
111,4830,739.74609375
112,4798,734.86328125
113,4798,734.86328125
114,4830,739.74609375
115,4782,732.421875
116,4830,739.74609375
117,4814,737.3046875
118,4798,734.86328125
119,4830,739.74609375
120,4830,739.74609375
121,4798,734.86328125
122,4830,739.74609375
123,4814,737.3046875
124,4798,734.86328125
125,4830,739.74609375
126,4830,739.74609375
127,4782,732.421875
128,4830,739.74609375
129,4830,739.74609375
130,4782,732.421875
131,4814,737.3046875
132,4814,737.3046875
133,4782,732.421875
134,4814,737.3046875
135,4814,737.3046875
136,4798,734.86328125
137,4814,737.3046875
138,4814,737.3046875
139,4782,732.421875
140,4814,737.3046875
141,4830,739.74609375
142,4798,734.86328125
143,4814,737.3046875
144,4830,739.74609375
145,4782,732.421875
146,4830,739.74609375
147,4814,737.3046875
148,4798,734.86328125
149,4830,739.74609375
150,4814,737.3046875
151,4798,734.86328125
152,4814,737.3046875
153,4830,739.74609375
154,4798,734.86328125
155,4814,737.3046875
156,4814,737.3046875
157,4798,734.86328125
158,4814,737.3046875
159,4830,739.74609375
160,4782,732.421875
161,4814,737.3046875
162,4814,737.3046875
163,4798,734.86328125
164,4814,737.3046875
165,4814,737.3046875
166,4782,732.421875
167,4814,737.3046875
168,4814,737.3046875
169,4782,732.421875
170,4814,737.3046875
171,4814,737.3046875
172,4782,732.421875
173,4814,737.3046875
174,4814,737.3046875
175,4798,734.86328125
176,4814,737.3046875
177,4814,737.3046875
178,4782,732.421875
179,4814,737.3046875
180,4814,737.3046875
181,4782,732.421875
182,4814,737.3046875
183,4798,734.86328125
184,4782,732.421875
185,4814,737.3046875
186,4798,734.86328125
187,4798,734.86328125
188,4814,737.3046875
189,4798,734.86328125
190,4798,734.86328125
191,4814,737.3046875
192,4798,734.86328125
193,4798,734.86328125
194,4814,737.3046875
195,4798,734.86328125
196,4798,734.86328125
197,4814,737.3046875
198,4798,734.86328125
199,4798,734.86328125
200,4814,737.3046875
201,4798,734.86328125
202,4814,737.3046875
203,4830,739.74609375
204,4814,737.3046875
205,4798,734.86328125
206,4830,739.74609375
207,4798,734.86328125
208,4798,734.86328125
209,4830,739.74609375
