Index,TemperatureRaw16,VGNDRaw16
0,192,1
1,196,-2
2,192,-2
3,189,-1
4,190,-2
5,187,0
6,197,-2
7,185,-2
8,188,0
9,204,-2
10,192,-2
11,192,0
12,182,-3
13,192,1
14,197,-2
15,194,-2
16,193,-2
17,198,-1
18,199,-2
19,192,-2
20,193,-2
21,194,1
22,192,-1
23,196,-1
24,198,-1
25,192,-2
26,191,-2
27,198,-2
28,189,-2
29,192,-1
30,190,-2
31,192,-2
32,196,-1
33,189,-1
34,186,-1
35,198,-1
36,202,0
37,199,-1
38,198,-2
39,193,1
40,198,-2
41,197,-1
42,199,0
43,193,-1
44,202,1
45,187,-3
46,207,-1
47,200,0
48,194,-1
49,195,-1
50,182,0
51,189,-1
52,189,-2
53,195,1
54,191,-2
55,198,-1
56,195,-2
57,189,-2
58,181,-1
59,196,-1
60,189,-2
61,203,1
62,198,-1
63,201,-1
64,192,-1
65,195,0
66,189,-1
67,192,0
68,193,-2
69,191,-1
70,189,-1
71,193,-1
72,187,-3
73,198,-2
74,187,1
75,183,-2
76,197,-2
77,182,-2
78,189,-1
79,189,-1
80,193,-1
81,193,0
82,195,-2
83,190,-1
84,188,-1
85,195,-2
86,191,0
87,185,0
88,193,0
89,186,-2
90,192,-2
91,187,-2
92,197,1
93,194,-2
94,191,-1
95,195,-2
96,193,-2
97,197,-2
98,192,0
99,202,0
100,205,-2
101,195,-1
102,197,-2
103,191,2
104,194,-2
105,186,-2
106,193,-2
107,189,0
108,194,1
109,202,0
110,187,0
111,198,-2
112,188,-3
113,194,-2
114,194,-2
115,186,-1
116,189,-2
117,190,-1
118,189,-1
119,197,-2
120,194,0
121,187,-1
122,199,-2
123,183,-2
124,195,-1
125,195,-2
126,189,-3
127,196,-2
128,198,-1
129,198,-2
130,199,-2
131,197,-1
132,189,-1
133,188,1
134,197,-2
135,193,-2
136,193,-2
137,198,-2
138,192,0
139,189,-4
140,195,-2
141,194,0
142,189,-1
143,196,-2
144,192,-2
145,189,0
146,195,-3
147,198,-2
148,188,-2
149,204,1
150,195,0
151,190,-1
152,183,-2
153,196,-1
154,201,0
155,195,-2
156,191,-1
157,195,1
158,207,-2
159,192,-2
160,195,-1
161,189,0
162,189,-2
163,196,-2
164,198,-1
165,208,-2
166,200,-2
167,193,-1
168,201,-1
169,200,-1
170,189,-1
171,202,0
172,209,-2
173,192,-1
174,209,1
175,198,-1
176,188,-2
177,197,-1
178,193,-1
179,200,-2
180,202,-1
181,203,0
182,192,-2
183,197,0
184,198,-2
185,201,0
186,192,-2
187,193,-1
188,187,-3
189,201,-1
190,192,-1
191,202,-2
192,206,-2
193,204,1
194,194,-2
195,198,0
196,206,2
197,201,-2
198,189,1
199,201,1
200,195,1
201,195,-2
202,194,0
203,192,-1
204,193,0
205,190,1
206,186,-3
207,184,-1
208,203,-2
209,189,-3
210,192,-2
211,201,-2
212,189,-2
213,193,-2
214,200,-2
215,194,0
216,191,-2
217,199,-2
218,194,0
219,194,0
220,195,0
221,198,-2
222,192,0
223,181,2
224,193,1
225,189,0
226,192,0
227,192,0
228,193,-2
229,189,-1
230,194,-1
231,192,1
232,186,-1
233,189,-1
234,202,2
235,187,-1
236,194,-2
237,186,0
238,195,1
239,195,0
240,198,1
241,198,0
242,193,-1
243,192,-1
244,193,-2
245,190,-1
246,199,-2
247,194,-1
248,196,0
249,187,0
250,187,-2
251,193,-2
252,189,-2
253,194,-3
254,195,0
255,192,1
256,197,-1
257,189,-1
258,189,-1
259,186,-1
260,194,-1
261,192,-2
262,189,1
263,189,0
264,199,-2
265,191,-3
266,192,-2
267,192,-2
268,181,0
269,183,0
270,195,1
271,188,0
272,192,-1
273,182,0
274,183,0
275,195,-2
276,198,1
277,182,-2
278,192,0
279,189,-1
280,195,-1
281,189,0
282,189,-2
283,193,-3
284,183,-1
285,178,-2
286,174,-2
287,183,-2
288,186,-1
289,180,-1
290,192,-2
291,195,-2
292,185,0
293,191,-1
294,194,-2
295,186,0
296,188,-2
297,182,0
298,194,-1
299,174,-1
300,195,0
301,188,-2
302,189,-2
303,178,-2
304,190,-2
305,186,-1
306,188,-3
307,182,-1
308,186,-2
309,182,-2
310,185,-2
311,181,-1
312,186,-2
313,182,1
314,179,-1
315,183,-1
316,187,0
317,183,-2
318,191,-2
319,180,-1
320,183,0
321,184,1
322,195,-2
323,180,0
324,186,1
325,180,1
326,174,1
327,186,-2
328,185,-1
329,183,0
330,186,-4
331,183,0
332,173,-1
333,187,-2
334,184,-2
335,180,-2
336,185,1
337,184,-1
338,184,-1
339,177,0
340,186,0
341,180,-1
342,182,0
343,185,0
344,183,-1
345,180,-1
346,178,-2
347,186,1
348,174,-1
349,181,0
350,183,-2
351,180,-2
352,178,-2
353,184,-2
354,187,1
355,184,-1
356,174,-1
357,185,1
358,186,1
359,179,0
360,183,-1
361,182,1
362,179,0
363,193,-1
364,180,-1
365,180,1
366,186,-2
367,185,0
368,183,1
369,182,1
370,192,-2
371,193,-2
372,197,-4
373,189,-2
374,187,1
375,182,-1
376,183,-1
377,188,-4
378,189,-3
379,176,-2
380,179,-1
381,178,-2
382,178,-1
383,175,0
384,175,0
385,186,-1
386,187,-1
387,183,-1
388,185,-2
389,175,-1
390,162,-1
