Index,TemperatureRaw16,VGNDRaw16
0,2674,0
1,2702,-1
2,2711,-1
3,2677,-1
4,2707,-2
5,2696,0
6,2673,1
7,2707,-1
8,2700,0
9,2682,-1
10,2704,-1
11,2698,-2
12,2681,-2
13,2700,-1
14,2703,-2
15,2685,-2
16,2704,-2
17,2707,1
18,2675,-1
19,2718,-1
20,2706,1
21,2678,-1
22,2707,-1
23,2707,-1
24,2688,1
25,2711,0
26,2704,-2
27,2673,-2
28,2712,-1
29,2704,-2
30,2681,1
31,2704,1
32,2716,-1
33,2684,-2
34,2709,-2
35,2704,-1
36,2684,-2
37,2697,-2
38,2710,-2
39,2681,-2
40,2712,-2
41,2714,-1
42,2679,-1
43,2709,-1
44,2709,1
45,2686,-2
46,2704,1
47,2689,-2
48,2711,0
49,2712,-2
50,2688,1
51,2710,-4
52,2682,-2
53,2705,-3
54,2702,1
55,2691,-2
56,2706,-2
57,2705,-1
58,2687,-2
59,2713,-1
60,2701,-2
61,2707,0
62,2712,-1
63,2692,0
64,2714,-2
65,2706,-2
66,2695,-2
67,2711,-2
68,2703,0
69,2695,-2
70,2705,0
71,2695,-2
72,2708,-1
73,2701,-2
74,2689,-1
75,2706,-1
76,2702,-1
77,2686,-2
78,2707,-1
79,2708,-2
80,2692,-2
81,2708,-2
82,2704,-2
83,2693,0
84,2709,0
85,2714,-1
86,2695,-1
87,2704,-1
88,2704,1
89,2685,-2
90,2716,-2
91,2698,-2
92,2695,-2
93,2709,-2
94,2701,-1
95,2683,-2
96,2709,-2
97,2705,0
98,2680,-2
99,2705,-1
100,2705,0
101,2686,-2
102,2711,1
103,2694,-2
104,2713,0
105,2711,1
106,2688,-1
107,2707,-2
108,2699,-1
109,2686,-2
110,2707,0
111,2699,-2
112,2686,-2
113,2716,1
114,2697,0
115,2681,0
116,2706,-2
117,2697,1
118,2693,-1
119,2698,-1
120,2696,-2
121,2710,1
122,2696,-1
123,2683,0
124,2708,-1
125,2698,-2
126,2690,-2
127,2694,-2
128,2684,-2
129,2707,0
130,2693,-2
131,2688,-2
132,2707,-1
133,2693,-2
134,2687,-1
135,2704,0
136,2691,-2
137,2684,-3
138,2710,1
139,2698,0
140,2684,-2
141,2707,-1
142,2696,-2
143,2680,1
144,2704,-2
145,2687,-2
146,2684,2
147,2698,1
148,2689,-1
149,2678,-2
150,2705,-1
151,2689,-2
152,2707,1
153,2679,-2
154,2683,0
155,2702,0
156,2674,1
157,2685,0
158,2678,-1
159,2675,-2
160,2689,0
161,2681,-2
162,2675,-1
163,2700,-2
164,2680,-2
165,2667,-2
166,2695,-1
167,2680,-1
168,2669,-2
169,2681,1
170,2667,-3
171,2705,-3
172,2679,-1
173,2668,0
174,2696,-2
175,2678,-1
176,2669,-2
177,2692,-2
178,2678,-2
179,2663,-1
180,2696,0
181,2675,0
182,2666,-4
183,2699,-4
184,2672,-2
185,2667,-2
186,2701,-1
187,2668,-1
188,2666,1
189,2672,1
190,2662,-1
191,2698,-2
192,2674,-1
193,2665,-2
194,2689,-1
195,2670,1
196,2654,0
197,2676,-1
198,2660,1
199,2692,-1
200,2671,0
201,2665,-2
202,2689,-2
203,2669,-1
204,2666,1
205,2691,1
206,2672,0
207,2663,-4
208,2682,-2
209,2672,-2
210,2653,-2
211,2686,-1
212,2674,0
213,2663,0
214,2692,0
215,2669,-2
216,2651,1
217,2688,-2
218,2662,-2
219,2657,-1
220,2689,-1
221,2655,0
222,2689,-1
223,2675,-2
224,2662,0
225,2693,1
226,2669,-1
227,2664,-2
228,2685,-2
229,2667,-2
230,2668,-3
231,2684,-1
232,2667,0
233,2657,-2
234,2671,-2
235,2656,-2
236,2682,-2
237,2674,1
238,2663,-1
239,2682,-2
240,2676,-2
241,2656,0
242,2695,-3
243,2669,-2
244,2657,-1
245,2681,-1
246,2668,1
247,2662,-2
248,2681,-1
249,2669,-3
250,2660,0
251,2684,-1
252,2669,-3
253,2663,-2
254,2697,-2
255,2661,1
256,2656,-1
257,2692,0
258,2670,1
259,2656,-2
260,2685,0
261,2671,0
262,2660,-2
263,2687,-2
264,2667,0
265,2656,-2
266,2681,-1
267,2674,-1
268,2663,-3
269,2689,1
270,2669,-2
271,2668,-1
272,2692,0
273,2669,-2
274,2660,-1
275,2686,0
276,2667,1
277,2668,0
278,2693,-2
279,2661,-1
280,2692,-2
281,2669,0
282,2671,-1
283,2682,-2
284,2675,-1
285,2661,-2
286,2698,0
287,2670,1
288,2666,0
289,2679,-1
290,2657,-1
291,2666,-1
292,2663,3
293,2686,1
294,2670,-2
295,2658,1
296,2682,-2
297,2663,-2
298,2664,1
299,2681,0
300,2672,1
301,2660,-1
302,2692,1
303,2666,0
304,2663,-1
305,2684,-2
306,2672,1
307,2660,-2
308,2687,1
309,2659,-1
310,2670,1
311,2685,-4
312,2671,-1
313,2672,1
314,2693,-2
315,2671,0
316,2675,-3
317,2693,-2
318,2673,-1
319,2666,-2
320,2669,-1
321,2672,-2
322,2689,-2
323,2667,0
324,2673,-2
325,2687,-1
326,2681,1
327,2671,0
328,2700,-2
329,2673,0
330,2665,-3
331,2685,-1
332,2675,-2
333,2666,1
334,2686,-1
335,2665,-1
336,2664,1
337,2692,-1
338,2665,-2
339,2660,-1
340,2684,-2
341,2670,3
342,2663,-1
343,2692,0
344,2656,-1
345,2693,0
346,2668,-2
347,2688,-1
348,2668,0
349,2670,-2
350,2698,-2
351,2660,0
352,2677,0
353,2698,-2
354,2668,-2
355,2673,0
356,2664,-1
357,2672,-1
358,2693,-2
359,2675,-1
360,2676,-2
361,2697,-1
362,2675,-2
363,2673,1
364,2695,1
365,2667,0
366,2676,1
367,2696,-2
368,2675,1
369,2692,0
370,2672,0
371,2676,-1
372,2694,-2
373,2677,-1
374,2675,-3
375,2695,-1
376,2660,1
377,2670,-2
378,2689,-2
379,2668,-2
380,2670,-1
381,2695,0
382,2672,-1
383,2678,-1
384,2674,1
385,2684,-2
386,2692,0
387,2669,-2
388,2670,-1
389,2692,-2
390,2667,-2
391,2693,1
392,2668,0
393,2674,-2
394,2697,-2
395,2673,-3
396,2690,-2
397,2704,-2
398,2668,-2
399,2675,-1
400,2695,-1
401,2673,-2
402,2669,-1
403,2699,1
404,2666,-1
405,2671,-2
406,2695,-3
407,2669,1
408,2678,-1
409,2686,0
410,2671,-2
411,2675,-1
412,2690,0
413,2667,-2
414,2669,0
415,2709,-1
416,2654,-1
417,2681,1
418,2683,0
419,2666,-1
420,2693,-2
421,2675,-1
422,2675,-2
423,2695,-1
424,2663,-2
