Temperature_degC,Device,Ambient_Temperature_degC,Source_File,Raw_Column,Samples,Window_Mode,Window_Start,Window_End,Window_Size,Target_Mean_Raw16,Selection_Score,Estimated_Baseline_Raw16,Measured_Mean_Raw16,Measured_Std_Raw16,Corrected_Raw16,Corrected_Visual_mV,Corrected_Thermocouple_mV,T_Table_Absolute_mV,Reference_Thermocouple_mV,Error_mV,Error_uV
5,cycle2_8chip,25,cycle2/5.csv,TemperatureRaw16,1394,target_mean_plus_stability,813,1213,400,-1572.576217,0.563014,-136.190937,-1572.0325,5.65122,-1435.841563,-219.092035,-0.796698,0.195,-0.797,0.000302,0.302
6,cycle2_8chip,25,cycle2/6.csv,TemperatureRaw16,1519,target_mean_plus_stability,975,1375,400,-1502.288857,3.858564,-136.190937,-1506.1275,5.866198,-1369.936563,-209.03573,-0.76013,0.234,-0.758,-0.00213,-2.13
7,cycle2_8chip,25,cycle2/7.csv,TemperatureRaw16,1377,target_mean_plus_stability,654,1054,400,-1432.001497,0.100696,-136.190937,-1431.92,5.653185,-1295.729063,-197.712565,-0.718955,0.273,-0.719,4.5e-05,0.045
8,cycle2_8chip,25,cycle2/8.csv,TemperatureRaw16,1263,target_mean_plus_stability,782,1182,400,-1361.714137,0.671783,-136.190937,-1361.0625,5.99445,-1224.871563,-186.900568,-0.679638,0.312,-0.68,0.000362,0.362
9,cycle2_8chip,25,cycle2/9.csv,TemperatureRaw16,1256,target_mean_plus_stability,856,1256,400,-1289.624537,2.160671,-136.190937,-1291.765,6.146888,-1155.574063,-176.326609,-0.641188,0.352,-0.64,-0.001188,-1.188
10,cycle2_8chip,25,cycle2/10.csv,TemperatureRaw16,1205,target_mean_plus_stability,513,913,400,-1219.337177,0.020605,-136.190937,-1219.3375,6.042754,-1083.146563,-165.275049,-0.601,0.391,-0.601,-0.0,-0.0
11,cycle2_8chip,25,cycle2/11.csv,TemperatureRaw16,1482,target_mean_plus_stability,901,1301,400,-1147.247577,0.022107,-136.190937,-1147.25,5.885073,-1011.059063,-154.27537,-0.561001,0.431,-0.561,-1e-06,-0.001
12,cycle2_8chip,25,cycle2/12.csv,TemperatureRaw16,1278,target_mean_plus_stability,785,1185,400,-1076.960217,3.0752,-136.190937,-1073.905,5.916798,-937.714063,-143.083811,-0.520305,0.47,-0.522,0.001695,1.695
13,cycle2_8chip,25,cycle2/13.csv,TemperatureRaw16,1162,target_mean_plus_stability,762,1162,400,-1004.870617,1.381883,-136.190937,-1006.2325,5.932658,-870.041563,-132.757807,-0.482756,0.51,-0.482,-0.000756,-0.756
14,cycle2_8chip,25,cycle2/14.csv,TemperatureRaw16,747,target_mean_plus_stability,336,736,400,-934.583257,0.305562,-136.190937,-934.87,5.741124,-798.679063,-121.868753,-0.443159,0.549,-0.443,-0.000159,-0.159
