Temperature_degC,Device,Source_File,Raw_Column,Samples,Window_Mode,Window_Start,Window_End,Window_Size,Target_Mean_Raw16,Selection_Score,Ambient_Baseline_Raw16,Measured_Mean_Raw16,Measured_Std_Raw16,Corrected_Raw16,Corrected_Visual_mV,Corrected_Thermocouple_mV,T_Table_Absolute_mV,Reference_Thermocouple_mV,Error_mV,Error_uV
5,cold_device_1,1_cleaned/5.csv,TemperatureRaw16,1122,target_mean_plus_stability,6,406,400,-1188.22594,3.449503,174.2675,-1184.795,16.880324,-1359.0625,-207.37648,-0.754096,0.195,-0.756,0.001904,1.904
6,cold_device_1,1_cleaned/6.csv,TemperatureRaw16,2066,target_mean_plus_stability,0,400,400,-1117.93858,12.004133,174.2675,-1105.955,17.111106,-1280.2225,-195.346451,-0.710351,0.234,-0.717,0.006649,6.649
7,cold_device_1,1_cleaned/7.csv,TemperatureRaw16,1203,target_mean_plus_stability,715,1115,400,-1047.65122,0.213785,174.2675,-1047.845,16.845189,-1222.1125,-186.479568,-0.678108,0.273,-0.678,-0.000108,-0.108
8,cold_device_1,1_cleaned/8.csv,TemperatureRaw16,1137,target_mean_plus_stability,731,1131,400,-977.36386,22.938378,174.2675,-1000.2825,16.748552,-1174.55,-179.222107,-0.651717,0.312,-0.639,-0.012717,-12.717
9,cold_device_1,1_cleaned/9.csv,TemperatureRaw16,1252,target_mean_plus_stability,850,1250,400,-905.27426,28.293014,174.2675,-933.5475,16.750498,-1107.815,-169.039154,-0.614688,0.352,-0.599,-0.015688,-15.688
10,cold_device_1,1_cleaned/10.csv,TemperatureRaw16,515,target_mean_plus_stability,114,514,400,-834.9869,21.935398,174.2675,-856.9025,16.635801,-1031.17,-157.344055,-0.57216,0.391,-0.56,-0.01216,-12.16
11,cold_device_1,1_cleaned/11.csv,TemperatureRaw16,2484,target_mean_plus_stability,2082,2482,400,-762.8973,0.120043,174.2675,-762.9975,17.012085,-937.265,-143.015289,-0.520056,0.431,-0.52,-5.6e-05,-0.056
12,cold_device_1,1_cleaned/12.csv,TemperatureRaw16,1217,target_mean_plus_stability,811,1211,400,-692.60994,18.279585,174.2675,-710.87,17.373765,-885.1375,-135.061264,-0.491132,0.47,-0.481,-0.010132,-10.132
13,cold_device_1,1_cleaned/13.csv,TemperatureRaw16,1194,target_mean_plus_stability,167,567,400,-620.52034,0.019612,174.2675,-620.52,5.36718,-794.7875,-121.274948,-0.441,0.51,-0.441,0.0,0.0
14,cold_device_1,1_cleaned/14.csv,TemperatureRaw16,312,target_mean_plus_stability,0,312,312,-550.23298,17.322276,174.2675,-567.535256,10.777434,-741.802756,-113.190118,-0.4116,0.549,-0.402,-0.0096,-9.6
15,cold_device_1,1_cleaned/15.csv,TemperatureRaw16,446,target_mean_plus_stability,3,403,400,-478.14338,3.995846,174.2675,-474.1675,6.393092,-648.435,-98.943329,-0.359794,0.589,-0.362,0.002206,2.206
