ADC_zero,T_std,V_NIST_mV,V_measured_mean_mV,sigma_V_mV,T_hot_mean,residual_mean_C,sigma_T_C,n_cycles
174.2675,5,0.195,0.195319,0.001731,5.008185,0.008185,0.044364,3
174.2675,6,0.234,0.235558,0.004667,6.039938,0.039938,0.119666,3
174.2675,7,0.273,0.273012,2.8e-05,7.000317,0.000317,0.000711,3
174.2675,8,0.312,0.308028,0.00744,7.898029,-0.101971,0.190636,3
174.2675,9,0.352,0.345463,0.007837,8.836574,-0.163426,0.195921,3
174.2675,10,0.391,0.387342,0.007247,9.905992,-0.094008,0.185621,3
174.2675,11,0.431,0.430543,0.00079,10.988568,-0.011432,0.019736,3
174.2675,12,0.47,0.467239,0.006306,11.928848,-0.071152,0.16132,3
174.2675,13,0.51,0.509923,0.000618,12.99819,-0.00181,0.015574,3
174.2675,14,0.549,0.546466,0.006082,13.934597,-0.065403,0.155483,3
174.2675,15,0.589,0.588773,0.002293,14.994328,-0.005672,0.057316,3
174.2675,16,0.629,0.628519,0.002248,15.987969,-0.012031,0.056194,3
174.2675,17,0.669,0.668978,0.00314,16.999456,-0.000544,0.078516,3
174.2675,18,0.709,0.711027,0.003602,18.050683,0.050683,0.090058,3
174.2675,19,0.749,0.751475,0.001433,19.060361,0.060361,0.034958,3
174.2675,20,0.79,0.78507,0.010338,19.880165,-0.119835,0.252542,3
174.2675,21,0.83,0.829151,0.002533,20.978771,-0.021229,0.063314,3
174.2675,22,0.87,0.869395,0.002911,21.984479,-0.015521,0.072243,3
174.2675,23,0.911,0.909483,0.002585,22.963053,-0.036947,0.063087,3
174.2675,24,0.951,0.949988,0.001264,23.974627,-0.025373,0.031456,3
303.88,25,0.992,0.990958,0.002279,24.974581,-0.025419,0.055579,3
303.88,26,1.033,1.034018,0.003483,26.024832,0.024832,0.084951,3
303.88,27,1.074,1.073119,0.000623,26.978501,-0.021499,0.015202,3
303.88,28,1.114,1.116322,0.003176,28.05656,0.05656,0.077544,3
303.88,29,1.155,1.154893,0.001856,28.997383,-0.002617,0.045272,3
303.88,30,1.196,1.195508,0.002261,29.987625,-0.012375,0.05454,3
303.88,31,1.238,1.23833,0.003537,31.008713,0.008713,0.085177,3
303.88,32,1.279,1.279111,0.002356,32.002714,0.002714,0.057464,3
303.88,33,1.32,1.320782,0.002787,33.018181,0.018181,0.067078,3
303.88,34,1.362,1.361605,0.002887,33.991103,-0.008897,0.069549,3
303.88,35,1.403,1.404153,0.001513,35.027347,0.027347,0.036234,3
303.88,36,1.445,1.444666,0.001131,35.992218,-0.007782,0.027253,3
303.88,37,1.486,1.482344,0.00187,36.910818,-0.089182,0.045612,3
303.88,38,1.528,1.5295,0.001417,38.035728,0.035728,0.033732,3
303.88,39,1.57,1.571099,0.002609,39.026162,0.026162,0.06212,3
303.88,40,1.612,1.612836,0.002428,40.019888,0.019888,0.057803,3
303.88,41,1.654,1.653519,0.002055,40.988546,-0.011454,0.048946,3
303.88,42,1.696,1.697088,0.002809,42.025902,0.025902,0.066891,3
303.88,43,1.738,1.736697,0.000485,42.968963,-0.031037,0.011541,3
303.88,44,1.78,1.778731,0.001404,43.969779,-0.030221,0.033434,3
303.88,45,1.823,1.823089,0.00298,45.00274,0.00274,0.069887,3
303.88,46,1.865,1.864127,0.002031,45.979102,-0.020898,0.048232,3
303.88,47,1.908,1.906859,0.001941,46.97346,-0.02654,0.045134,3
303.88,48,1.95,1.951269,0.002193,48.029506,0.029506,0.051001,3
303.88,49,1.993,1.993444,0.000391,49.010327,0.010327,0.009094,3
303.88,50,2.036,2.034991,0.001739,49.976534,-0.023466,0.04044,3
303.88,51,2.079,2.08003,0.005736,51.02396,0.02396,0.133395,3
303.88,52,2.122,2.124578,0.007881,52.059967,0.059967,0.183263,3
303.88,53,2.165,2.16404,0.002699,52.97768,-0.02232,0.062774,3
303.88,54,2.208,2.209125,0.005174,54.026167,0.026167,0.120324,3
303.88,55,2.251,2.250294,0.003126,54.983579,-0.016421,0.072686,3
303.88,56,2.294,2.292546,0.002342,55.966176,-0.033824,0.054454,3
303.88,57,2.338,2.333383,0.004918,56.895083,-0.104917,0.111785,3
303.88,58,2.381,2.379151,0.002995,57.956727,-0.043273,0.069234,3
303.88,59,2.425,2.422734,0.002364,58.948513,-0.051487,0.053727,3
303.88,60,2.468,2.469322,0.005274,60.029223,0.029223,0.121276,3
303.88,61,2.512,2.51519,0.007565,61.072503,0.072503,0.171924,3
303.88,62,2.556,2.554317,0.002802,61.961748,-0.038252,0.063676,3
303.88,63,2.6,2.598637,0.002774,62.969113,-0.030887,0.063128,3
303.88,64,2.643,2.635083,0.008656,63.815895,-0.184105,0.201311,3
303.88,65,2.687,2.67825,0.011,64.801131,-0.198869,0.249993,3
303.88,66,2.732,2.728398,0.004414,65.920183,-0.079817,0.098489,3
303.88,67,2.776,2.772566,0.00572,66.921951,-0.078049,0.129998,3
303.88,68,2.82,2.817105,0.002892,67.934207,-0.065793,0.065726,3
303.88,69,2.864,2.860344,0.003675,68.916812,-0.083188,0.083377,3
303.88,70,2.909,2.906805,0.003313,69.951237,-0.048763,0.07364,3
303.88,71,2.953,2.951064,0.003584,70.955948,-0.044052,0.081401,3
303.88,72,2.998,2.992161,0.006493,71.870243,-0.129757,0.144285,3
303.88,73,3.043,3.041197,0.004393,72.960281,-0.039719,0.098082,3
303.88,74,3.087,3.092578,0.010426,74.123364,0.123364,0.232472,3
303.88,75,3.132,3.134276,0.009098,75.05059,0.05059,0.202167,3
303.88,76,3.177,3.175365,0.005345,75.963664,-0.036336,0.118783,3
303.88,77,3.222,3.208545,0.011597,76.700987,-0.299013,0.257695,3
303.88,78,3.267,3.258481,0.008937,77.810687,-0.189313,0.198606,3
303.88,79,3.312,3.309757,0.005111,78.949827,-0.050173,0.113147,3
303.88,80,3.358,3.356929,0.007716,79.977921,-0.022079,0.169758,3
303.88,81,3.403,3.403323,0.003058,81.007185,0.007185,0.067962,3
303.88,82,3.448,3.43826,0.013028,81.783546,-0.216454,0.289522,3
303.88,83,3.494,3.483526,0.015397,82.772311,-0.227689,0.334716,3
303.88,84,3.539,3.535801,0.004874,83.928624,-0.071376,0.107897,3
303.88,85,3.585,3.583483,0.002728,84.967018,-0.032982,0.059301,3
303.88,86,3.631,3.639566,0.017936,86.186208,0.186208,0.389927,3
303.88,87,3.677,3.692212,0.028777,87.338184,0.338184,0.637905,3
303.88,88,3.722,3.749694,0.051771,88.601343,0.601343,1.126093,3
