File,Temperature_degC,Source_Column,Source_Mean_Raw16,New_Mean_Raw16,Ambient_Before_degC,Ambient_After_degC,Table_Delta_mV,Table_Delta_Raw16,Applied_Shift_Raw16,Status,Samples
cycle1/5.csv,5,TemperatureRaw16,-1184.665,-1258.665,24,25,0.041,73.89184,-73.89184,applied,1122
cycle1/6.csv,6,TemperatureRaw16,-1093.3975,-1167.3975,24,25,0.041,73.89184,-73.89184,applied,2066
cycle1/7.csv,7,TemperatureRaw16,-1057.54,-1131.54,24,25,0.041,73.89184,-73.89184,applied,1203
cycle1/8.csv,8,TemperatureRaw16,-1011.655,-1085.655,24,25,0.041,73.89184,-73.89184,applied,1137
cycle1/9.csv,9,TemperatureRaw16,-942.665,-942.665,24,25,0.041,73.89184,0.0,already_compensated,1252
cycle1/10.csv,10,TemperatureRaw16,-856.945,-930.945,24,25,0.041,73.89184,-73.89184,applied,515
cycle1/11.csv,11,TemperatureRaw16,-779.5175,-853.5175,24,25,0.041,73.89184,-73.89184,applied,2484
cycle1/12.csv,12,TemperatureRaw16,-710.87,-784.87,24,25,0.041,73.89184,-73.89184,applied,1217
cycle1/13.csv,13,TemperatureRaw16,-620.3525,-694.3525,24,25,0.041,73.89184,-73.89184,applied,1194
cycle1/14.csv,14,TemperatureRaw16,-567.535256,-641.535256,24,25,0.041,73.89184,-73.89184,applied,312
cycle1/15.csv,15,TemperatureRaw16,-473.6525,-547.6525,24,25,0.041,73.89184,-73.89184,applied,446
cycle1/16.csv,16,TemperatureRaw16,-462.871429,-462.871429,24,25,0.041,73.89184,0.0,already_compensated,210
cycle1/17.csv,17,TemperatureRaw16,-385.3083,-385.3083,24,25,0.041,73.89184,0.0,already_compensated,253
cycle1/18.csv,18,TemperatureRaw16,-265.938202,-339.938202,24,25,0.041,73.89184,-73.89184,applied,178
cycle1/19.csv,19,TemperatureRaw16,-188.48,-262.48,24,25,0.041,73.89184,-73.89184,applied,400
cycle1/20.csv,20,TemperatureRaw16,-146.478405,-220.478405,24,25,0.041,73.89184,-73.89184,applied,301
cycle1/21.csv,21,TemperatureRaw16,-41.82,-115.82,24,25,0.041,73.89184,-73.89184,applied,400
cycle1/22.csv,22,TemperatureRaw16,27.955,-46.045,24,25,0.041,73.89184,-73.89184,applied,400
cycle1/23.csv,23,TemperatureRaw16,101.37,27.37,24,25,0.041,73.89184,-73.89184,applied,400
cycle1/24.csv,24,TemperatureRaw16,174.7325,100.7325,24,25,0.041,73.89184,-73.89184,applied,400
