cycle_id,output_file,T_std,Baseline_Raw16,Theory_Raw16,Mean_Before_Raw16,Mean_After_Raw16,Full_Error_Raw16,Applied_Shift_Raw16,Correction_Fraction,Remaining_Error_Raw16,Samples,Target_Source,Status
cycle1,1_cleaned/5.csv,5,247.88,-1188.50528,-1184.665,-1186.665,-3.84028,-2.112154,0.55,-1.84028,1122,band,offset_applied
cycle1,1_cleaned/6.csv,6,247.88,-1118.21792,-1093.3975,-1107.3975,-24.82042,-13.651231,0.55,-10.82042,2066,band,offset_applied
cycle1,1_cleaned/7.csv,7,247.88,-1047.93056,-1057.54,-1052.54,9.60944,5.285192,0.55,4.60944,1203,band,offset_applied
cycle1,1_cleaned/8.csv,8,247.88,-977.6432,-998.116,-987.116,20.4728,11.26004,0.55,9.4728,250,band,offset_applied
cycle1,1_cleaned/9.csv,9,247.88,-905.5536,-933.5475,-918.5475,27.9939,15.396645,0.55,12.9939,400,band,offset_applied
cycle1,1_cleaned/10.csv,10,247.88,-835.26624,-856.9025,-844.9025,21.63626,11.899943,0.55,9.63626,400,band,offset_applied
cycle1,1_cleaned/11.csv,11,247.88,-763.17664,-779.5175,-770.5175,16.34086,8.987473,0.55,7.34086,2484,band,offset_applied
cycle1,1_cleaned/12.csv,12,247.88,-692.88928,-710.87,-700.87,17.98072,9.889396,0.55,7.98072,1217,band,offset_applied
cycle1,1_cleaned/13.csv,13,247.88,-620.79968,-620.3525,-620.3525,-0.44718,-0.245949,0.55,-0.44718,1194,band,offset_applied
cycle1,1_cleaned/14.csv,14,247.88,-550.51232,-567.535256,-558.535256,17.022936,9.362615,0.55,8.022936,312,band,offset_applied
cycle1,1_cleaned/15.csv,15,247.88,-478.42272,-473.6525,-476.6525,-4.77022,-2.623621,0.55,-1.77022,446,band,offset_applied
cycle1,1_cleaned/16.csv,16,247.88,-406.33312,-462.871429,-431.871429,56.538309,31.09607,0.55,25.538309,210,band,offset_applied
cycle1,1_cleaned/17.csv,17,247.88,-334.24352,-385.3083,-357.3083,51.06478,28.085629,0.55,23.06478,253,band,offset_applied
cycle1,1_cleaned/18.csv,18,247.88,-262.15392,-265.938202,-263.938202,3.784282,2.081355,0.55,1.784282,178,band,offset_applied
cycle1,1_cleaned/19.csv,19,247.88,-190.06432,-188.48,-189.48,-1.58432,-0.871376,0.55,-0.58432,400,band,offset_applied
cycle1,1_cleaned/20.csv,20,247.88,-116.17248,-146.443333,-123.443333,30.270853,22.70314,0.75,7.270853,300,band,offset_applied
cycle1,1_cleaned/21.csv,21,247.88,-44.08288,-41.82,-43.82,-2.26288,-1.69716,0.75,-0.26288,400,band,offset_applied
cycle1,1_cleaned/22.csv,22,247.88,28.00672,27.955,27.955,0.05172,0.03879,0.75,0.05172,400,band,offset_applied
cycle1,1_cleaned/23.csv,23,247.88,101.89856,101.37,101.37,0.52856,0.39642,0.75,0.52856,400,band,offset_applied
cycle1,1_cleaned/24.csv,24,247.88,173.98816,174.7325,173.7325,-0.74434,-0.558255,0.75,0.25566,400,band,offset_applied
cycle1,1_cleaned/25.csv,25,247.88,247.88,250.36,248.36,-2.48,-1.86,0.75,-0.48,400,band,offset_applied
cycle1,1_cleaned/26.csv,26,247.88,321.77184,316.4,320.4,5.37184,4.02888,0.75,1.37184,400,band,offset_applied
cycle1,1_cleaned/27.csv,27,247.88,395.66368,392.96,394.96,2.70368,2.02776,0.75,0.70368,400,band,offset_applied
cycle1,1_cleaned/28.csv,28,247.88,467.75328,467.16,467.16,0.59328,0.44496,0.75,0.59328,400,band,offset_applied
cycle1,1_cleaned/29.csv,29,247.88,541.64512,542.04,542.04,-0.39488,-0.29616,0.75,-0.39488,400,band,offset_applied
cycle1,1_cleaned/30.csv,30,247.88,615.53696,619.0,616.0,-3.46304,-2.59728,0.75,-0.46304,400,band,offset_applied
cycle1,1_cleaned/31.csv,31,247.88,691.23104,684.96,689.96,6.27104,4.70328,0.75,1.27104,400,band,offset_applied
cycle1,1_cleaned/32.csv,32,247.88,765.12288,760.6,763.6,4.52288,3.39216,0.75,1.52288,400,band,offset_applied
cycle1,1_cleaned/33.csv,33,247.88,839.01472,834.92,836.92,4.09472,1.637888,0.4,2.09472,400,band,offset_applied
cycle1,1_cleaned/34.csv,34,247.88,914.7088,913.44,914.44,1.2688,0.50752,0.4,0.2688,400,band,offset_applied
cycle1,1_cleaned/35.csv,35,247.88,988.60064,991.92,990.92,-3.31936,-1.327744,0.4,-2.31936,400,band,offset_applied
cycle1,1_cleaned/36.csv,36,247.88,1064.29472,1062.16,1063.16,2.13472,0.853888,0.4,1.13472,400,band,offset_applied
cycle1,1_cleaned/37.csv,37,247.88,1138.18656,1134.48,1135.48,3.70656,1.482624,0.4,2.70656,400,band,offset_applied
cycle1,1_cleaned/38.csv,38,247.88,1213.88064,1216.84,1215.84,-2.95936,-1.183744,0.4,-1.95936,400,band,offset_applied
cycle1,1_cleaned/39.csv,39,247.88,1289.57472,1287.8,1288.8,1.77472,0.709888,0.4,0.77472,400,band,offset_applied
cycle1,1_cleaned/40.csv,40,247.88,1365.2688,1366.84,1365.84,-1.5712,-0.62848,0.4,-0.5712,400,band,offset_applied
cycle1,1_cleaned/41.csv,41,247.88,1440.96288,1444.24,1443.24,-3.27712,-1.310848,0.4,-2.27712,400,band,offset_applied
cycle1,1_cleaned/42.csv,42,247.88,1516.65696,1516.0,1516.0,0.65696,0.262784,0.4,0.65696,400,band,offset_applied
cycle1,1_cleaned/43.csv,43,247.88,1592.35104,1589.04,1590.04,3.31104,1.324416,0.4,2.31104,400,band,offset_applied
cycle1,1_cleaned/44.csv,44,247.88,1668.04512,1666.28,1667.28,1.76512,0.706048,0.4,0.76512,505,band,offset_applied
cycle1,1_cleaned/45.csv,45,247.88,1745.54144,1682.534161,1707.534161,63.007279,25.202911,0.4,38.007279,322,band,offset_applied
cycle1,1_cleaned/46.csv,46,247.88,1821.23552,1754.56,1781.56,66.67552,26.670208,0.4,39.67552,1043,band,offset_applied
cycle1,1_cleaned/47.csv,47,247.88,1898.73184,1900.56,1899.56,-1.82816,-0.731264,0.4,-0.82816,1108,band,offset_applied
cycle1,1_cleaned/48.csv,48,247.88,1974.42592,1965.64,1969.64,8.78592,3.514368,0.4,4.78592,1314,band,offset_applied
cycle1,1_cleaned/49.csv,49,247.88,2051.92224,2081.96,2061.96,-30.03776,-19.524544,0.65,-10.03776,1004,band,offset_applied
cycle1,1_cleaned/50.csv,50,247.88,2129.41856,2130.56,2129.56,-1.14144,-0.741936,0.65,-0.14144,975,band,offset_applied
cycle1,1_cleaned/51.csv,51,247.88,2206.91488,2137.92,2182.92,68.99488,44.846672,0.65,23.99488,888,band,offset_applied
