cycle_id,source_dir,output_dir,T_ambient,T_std,Baseline_Raw16,Column,Original_Count,Kept_Count,Kept_Start,Kept_End,Theory_Raw16,Mean_Before_Raw16,Mean_After_Raw16,Error_Before_Raw16,Error_After_Raw16,Std_After_Raw16,Drift_After_Raw16,Status
cycle1,cycle1_25,1_cleaned,25,8,247.88,TemperatureRaw16,1137,250,886,1136,-977.6432,-1011.655,-998.116,34.0118,20.4728,16.411089,1.56,trimmed
cycle1,cycle1_25,1_cleaned,25,9,247.88,TemperatureRaw16,1252,400,850,1250,-905.5536,-942.665,-933.5475,37.1114,27.9939,16.750498,0.175,trimmed
cycle1,cycle1_25,1_cleaned,25,10,247.88,TemperatureRaw16,515,400,114,514,-835.26624,-856.945,-856.9025,21.67876,21.63626,16.635801,1.8125,trimmed
cycle1,cycle1_25,1_cleaned,25,20,247.88,TemperatureRaw16,301,300,1,301,-116.17248,-146.478405,-146.443333,30.305925,30.270853,17.156767,5.433333,trimmed
cycle1,cycle1_25,1_cleaned,25,37,247.88,Raw16,400,400,0,400,1138.18656,1134.48,1134.48,3.70656,3.70656,7.945276,0.6,trimmed
cycle1,cycle1_25,1_cleaned,25,57,247.88,Raw16,824,300,1,301,2673.69504,2590.12,2596.266667,83.57504,77.428373,12.810252,5.6,trimmed
cycle1,cycle1_25,1_cleaned,25,64,247.88,Raw16,464,350,1,351,3223.37824,3127.96,3129.097143,95.41824,94.281097,11.691681,4.114286,trimmed
cycle1,cycle1_25,1_cleaned,25,65,247.88,Raw16,412,200,5,205,3302.6768,3204.76,3207.52,97.9168,95.1568,14.605348,0.8,trimmed
cycle1,cycle1_25,1_cleaned,25,66,247.88,Raw16,618,250,0,250,3383.7776,3288.4,3292.48,95.3776,91.2976,11.928569,5.44,trimmed
cycle1,cycle1_25,1_cleaned,25,67,247.88,Raw16,400,200,0,200,3463.07616,3350.24,3353.92,112.83616,109.15616,12.787934,4.0,trimmed
