cycle_id,T_ambient,T_target,T_std,ADC_mean,V_TC_mV,V_cold_mV,V_total_mV,T_hot,residual_C
cycle1,25,5,5,-1184.795,-0.794941,0.992,0.197059,5.052787,0.052787
cycle1,25,6,6,-1105.955,-0.751196,0.992,0.240804,6.174468,0.174468
cycle1,25,7,7,-1047.93,-0.719,0.992,0.273,7.000008,8e-06
cycle1,25,8,8,-1000.2825,-0.692562,0.992,0.299438,7.677904,-0.322096
cycle1,25,9,9,-933.5475,-0.655533,0.992,0.336467,8.611679,-0.388321
cycle1,25,10,10,-856.9025,-0.613005,0.992,0.378995,9.692174,-0.307826
cycle1,25,11,11,-763.1775,-0.561,0.992,0.431,10.999988,-1.2e-05
cycle1,25,12,12,-710.87,-0.531977,0.992,0.460023,11.744183,-0.255817
cycle1,25,13,13,-620.6625,-0.481924,0.992,0.510076,13.001952,0.001952
cycle1,25,14,14,-567.535256,-0.452445,0.992,0.539555,13.757809,-0.242191
cycle1,25,15,15,-474.1675,-0.400639,0.992,0.591361,15.059027,0.059027
cycle1,25,16,16,-411.871429,-0.366073,0.992,0.625927,15.923175,-0.076825
cycle1,25,17,17,-339.3083,-0.32581,0.992,0.66619,16.929743,-0.070257
cycle1,25,18,18,-265.938202,-0.2851,0.992,0.7069,17.947506,-0.052494
cycle1,25,19,19,-188.48,-0.242121,0.992,0.749879,19.021441,0.021441
cycle1,25,20,20,-146.478405,-0.218816,0.992,0.773184,19.589861,-0.410139
cycle1,25,21,21,-41.82,-0.160744,0.992,0.831256,21.03139,0.03139
cycle1,25,22,22,27.955,-0.122029,0.992,0.869971,21.999283,-0.000717
cycle1,25,23,23,101.37,-0.081293,0.992,0.910707,22.992847,-0.007153
cycle1,25,24,24,174.7325,-0.040587,0.992,0.951413,24.010073,0.010073
cycle1,25,25,25,250.36,0.001376,0.992,0.993376,25.033563,0.033563
cycle1,25,26,26,316.4,0.038019,0.992,1.030019,25.927301,-0.072699
cycle1,25,27,27,392.96,0.0805,0.992,1.0725,26.96341,-0.03659
cycle1,25,28,28,467.16,0.121671,0.992,1.113671,27.99177,-0.00823
cycle1,25,29,29,542.04,0.163219,0.992,1.155219,29.005344,0.005344
cycle1,25,30,30,619.0,0.205922,0.992,1.197922,30.04575,0.04575
cycle1,25,31,31,684.96,0.24252,0.992,1.23452,30.917153,-0.082847
cycle1,25,32,32,760.6,0.28449,0.992,1.27649,31.938791,-0.061209
cycle1,25,33,33,834.92,0.325728,0.992,1.317728,32.944585,-0.055415
cycle1,25,34,34,913.44,0.369296,0.992,1.361296,33.983238,-0.016762
cycle1,25,35,35,991.92,0.412842,0.992,1.404842,35.043852,0.043852
cycle1,25,36,36,1062.16,0.451816,0.992,1.443816,35.971798,-0.028202
cycle1,25,37,37,1134.48,0.491943,0.992,1.483943,36.949838,-0.050162
cycle1,25,38,38,1216.84,0.537642,0.992,1.529642,38.039096,0.039096
cycle1,25,39,39,1287.8,0.577015,0.992,1.569015,38.976554,-0.023446
cycle1,25,40,40,1366.84,0.620872,0.992,1.612872,40.020757,0.020757
cycle1,25,41,41,1444.24,0.663818,0.992,1.655818,41.043294,0.043294
cycle1,25,42,42,1516.0,0.703635,0.992,1.695635,41.991321,-0.008679
cycle1,25,43,43,1589.04,0.744163,0.992,1.736163,42.956258,-0.043742
cycle1,25,44,44,1666.28,0.787021,0.992,1.779021,43.976681,-0.023319
cycle1,25,45,45,1739.534161,0.827667,0.992,1.819667,44.922483,-0.077517
cycle1,25,46,46,1815.48,0.869806,0.992,1.861806,45.923963,-0.076037
cycle1,25,47,47,1898.72,0.915993,0.992,1.907993,46.999847,-0.000153
cycle1,25,48,48,1974.44,0.958008,0.992,1.950008,48.000182,0.000182
cycle1,25,49,49,2053.0,1.001598,0.992,1.993598,49.013907,0.013907
cycle1,25,50,50,2129.4,1.04399,0.992,2.03599,49.999761,-0.000239
cycle1,25,51,51,2201.76,1.08414,0.992,2.07614,50.933482,-0.066518
cycle1,25,52,52,2277.76,1.126309,0.992,2.118309,51.914174,-0.085826
cycle1,25,53,53,2354.68,1.16899,0.992,2.16099,52.906737,-0.093263
cycle1,25,54,54,2432.24,1.212025,0.992,2.204025,53.907559,-0.092441
cycle1,25,55,55,2509.32,1.254794,0.992,2.246794,54.902187,-0.097813
cycle1,25,56,56,2586.922509,1.297853,0.992,2.289853,55.903557,-0.096443
cycle1,25,57,57,2666.266667,1.341878,0.992,2.333878,56.906324,-0.093676
