Index,TemperatureRaw16,VGNDRaw16
0,19,-2
1,28,0
2,27,-2
3,32,1
4,25,-1
5,27,1
6,29,-1
7,21,1
8,15,1
9,30,2
10,25,0
11,24,-2
12,20,2
13,26,0
14,23,-1
15,15,0
16,28,2
17,22,1
18,25,0
19,15,2
20,30,0
21,29,-1
22,20,-1
23,25,0
24,33,0
25,24,-3
26,37,1
27,22,1
28,20,0
29,34,1
30,33,-1
31,23,0
32,28,0
33,29,0
34,30,2
35,31,0
36,28,1
37,43,2
38,28,-1
39,24,-2
40,25,1
41,29,0
42,37,-1
43,23,0
44,27,1
45,33,1
46,27,-2
47,24,-1
48,16,0
49,18,0
50,14,-1
51,37,0
52,25,2
53,24,-2
54,33,1
55,27,-1
56,23,-1
57,31,0
58,27,0
59,23,-2
60,38,0
61,30,0
62,30,-1
63,27,1
64,14,2
65,27,0
66,20,-1
67,14,-1
68,23,0
69,28,-1
70,27,1
71,30,1
72,17,1
73,13,0
74,20,0
75,29,-1
76,17,2
77,27,-2
78,23,1
79,26,-1
80,30,3
81,34,1
82,26,0
83,20,0
84,15,2
85,33,1
86,20,1
87,26,2
88,31,2
89,35,0
90,15,2
91,30,-1
92,25,0
93,22,2
94,23,0
95,31,0
96,32,-1
97,36,-1
98,32,2
99,19,3
100,28,0
101,21,2
102,28,1
103,21,1
104,29,1
105,31,2
106,33,-2
107,26,-1
108,37,-1
109,21,2
110,33,0
111,29,2
112,30,0
113,29,-1
114,22,0
115,26,1
116,35,1
117,17,-3
118,36,-1
119,36,1
120,30,0
121,26,1
122,29,0
123,31,1
124,32,1
125,30,0
126,31,3
127,33,2
128,28,1
129,28,1
130,35,0
131,21,-1
132,23,3
133,35,1
134,27,1
135,38,-2
136,37,1
137,21,3
138,30,0
139,33,1
140,33,-1
141,35,1
142,36,0
143,29,0
144,41,3
145,25,1
146,32,1
147,32,0
148,33,0
149,30,-1
150,22,2
151,31,-2
152,29,1
153,23,2
154,29,0
155,29,2
156,21,0
157,23,-3
158,37,2
159,37,0
160,34,1
161,31,1
162,31,2
163,41,-1
164,26,0
165,31,0
166,32,1
167,42,-1
168,30,2
169,37,1
170,19,1
171,28,1
172,42,-2
173,21,0
174,22,0
175,35,2
176,26,1
177,25,0
178,37,-2
179,32,-1
180,20,-2
181,38,0
182,20,0
183,28,1
184,32,0
185,37,-1
186,28,0
187,37,-1
188,34,1
189,23,-2
190,41,2
191,27,0
192,30,2
193,26,1
194,27,0
195,30,0
196,23,2
197,33,0
198,24,-1
199,33,0
200,27,0
201,28,0
202,25,0
203,32,1
204,26,-2
205,30,2
206,23,3
207,28,1
208,30,1
209,25,0
210,33,0
211,26,0
212,29,2
213,33,2
214,34,1
215,26,1
216,28,1
217,27,-2
218,23,0
219,23,0
220,18,2
221,24,0
222,19,1
223,32,-1
224,35,-1
225,25,-2
226,31,1
227,34,0
228,26,-2
229,38,1
230,29,2
231,35,-2
232,25,0
233,23,0
234,40,0
235,38,0
236,37,2
237,26,0
238,30,-1
239,23,-2
240,35,1
241,26,0
242,26,-1
243,28,0
244,36,-2
245,29,1
246,23,1
247,24,1
248,36,2
249,25,1
250,31,0
251,34,0
252,41,-2
253,33,0
254,25,2
255,29,0
256,25,-2
257,28,-1
258,29,0
259,29,1
260,27,-1
261,28,-2
262,23,0
263,34,0
264,42,2
265,32,-2
266,32,1
267,33,-1
268,24,2
269,33,0
270,22,0
271,27,0
272,20,-1
273,31,-2
274,36,0
275,25,-1
276,34,-1
277,33,1
278,34,1
279,22,-1
280,31,0
281,28,0
282,26,0
283,20,-1
284,30,0
285,29,1
286,17,1
287,32,-1
288,22,1
289,36,0
290,25,-2
291,38,-1
292,33,0
293,27,-1
294,23,-1
295,24,1
296,41,0
297,26,0
298,24,0
299,30,0
300,33,-1
301,21,1
302,36,1
303,31,1
304,36,-3
305,25,1
306,32,-3
307,25,0
308,24,-1
309,28,-1
310,24,0
311,27,1
312,18,0
313,28,1
314,35,-2
315,20,-1
316,26,-1
317,22,-1
318,23,0
319,35,-1
320,31,-3
321,34,1
322,22,-2
323,20,-1
324,31,1
325,27,0
326,31,-1
327,18,1
328,16,1
329,28,-1
330,38,-1
331,27,1
332,26,-2
333,31,1
334,20,-3
335,19,0
336,32,1
337,26,0
338,34,0
339,34,0
340,37,-1
341,23,-1
342,36,-2
343,35,-3
344,24,-2
345,32,-1
346,29,0
347,22,0
348,20,-2
349,35,2
350,17,-1
351,24,-1
352,33,-1
353,26,0
354,29,1
355,36,0
356,28,-1
357,30,-2
358,32,-1
359,26,0
360,27,0
361,28,-2
362,25,2
363,30,-1
364,23,0
365,25,0
366,19,1
367,31,0
368,22,-1
369,29,1
370,27,1
371,31,-1
372,41,-1
373,35,0
374,34,0
375,26,-2
376,24,-1
377,22,0
378,27,0
379,22,0
380,27,-2
381,22,-2
382,20,-1
383,15,-1
384,31,-1
385,31,0
386,30,0
387,27,1
388,29,-3
389,31,-1
390,15,-1
391,29,0
392,10,-1
393,30,1
394,25,-1
395,21,0
396,28,1
397,36,-1
398,22,-2
399,26,2
