Index,Raw16,Visual_mV
0,1688,266.11328125
1,1656,261.23046875
2,1688,266.11328125
3,1688,266.11328125
4,1656,261.23046875
5,1688,266.11328125
6,1704,268.5546875
7,1672,263.671875
8,1688,266.11328125
9,1688,266.11328125
10,1672,263.671875
11,1688,266.11328125
12,1688,266.11328125
13,1672,263.671875
14,1688,266.11328125
15,1688,266.11328125
16,1672,263.671875
17,1688,266.11328125
18,1688,266.11328125
19,1656,261.23046875
20,1688,266.11328125
21,1688,266.11328125
22,1656,261.23046875
23,1688,266.11328125
24,1704,268.5546875
25,1656,261.23046875
26,1688,266.11328125
27,1688,266.11328125
28,1672,263.671875
29,1688,266.11328125
30,1688,266.11328125
31,1672,263.671875
32,1688,266.11328125
33,1688,266.11328125
34,1672,263.671875
35,1688,266.11328125
36,1688,266.11328125
37,1672,263.671875
38,1688,266.11328125
39,1688,266.11328125
40,1672,263.671875
41,1688,266.11328125
42,1704,268.5546875
43,1656,261.23046875
44,1688,266.11328125
45,1688,266.11328125
46,1656,261.23046875
47,1688,266.11328125
48,1688,266.11328125
49,1672,263.671875
50,1688,266.11328125
51,1688,266.11328125
52,1672,263.671875
53,1672,263.671875
54,1704,268.5546875
55,1656,261.23046875
56,1688,266.11328125
57,1688,266.11328125
58,1672,263.671875
59,1688,266.11328125
60,1688,266.11328125
61,1672,263.671875
62,1688,266.11328125
63,1688,266.11328125
64,1672,263.671875
65,1688,266.11328125
66,1688,266.11328125
67,1672,263.671875
68,1688,266.11328125
69,1688,266.11328125
70,1672,263.671875
71,1688,266.11328125
72,1688,266.11328125
73,1672,263.671875
74,1688,266.11328125
75,1688,266.11328125
76,1672,263.671875
77,1688,266.11328125
78,1704,268.5546875
79,1672,263.671875
80,1688,266.11328125
81,1704,268.5546875
82,1672,263.671875
83,1688,266.11328125
84,1704,268.5546875
85,1672,263.671875
86,1688,266.11328125
87,1688,266.11328125
88,1656,261.23046875
89,1688,266.11328125
90,1688,266.11328125
91,1672,263.671875
92,1688,266.11328125
93,1704,268.5546875
94,1656,261.23046875
95,1688,266.11328125
96,1688,266.11328125
97,1672,263.671875
98,1688,266.11328125
99,1688,266.11328125
100,1672,263.671875
101,1688,266.11328125
102,1704,268.5546875
103,1656,261.23046875
104,1688,266.11328125
105,1704,268.5546875
106,1672,263.671875
107,1688,266.11328125
108,1688,266.11328125
109,1672,263.671875
110,1688,266.11328125
111,1688,266.11328125
112,1672,263.671875
113,1688,266.11328125
114,1688,266.11328125
115,1672,263.671875
116,1688,266.11328125
117,1704,268.5546875
118,1672,263.671875
119,1688,266.11328125
120,1688,266.11328125
121,1672,263.671875
122,1688,266.11328125
123,1704,268.5546875
124,1672,263.671875
125,1688,266.11328125
126,1688,266.11328125
127,1672,263.671875
128,1688,266.11328125
129,1688,266.11328125
130,1672,263.671875
131,1688,266.11328125
132,1704,268.5546875
133,1672,263.671875
134,1688,266.11328125
135,1688,266.11328125
136,1656,261.23046875
137,1688,266.11328125
138,1688,266.11328125
139,1656,261.23046875
140,1672,263.671875
141,1688,266.11328125
142,1656,261.23046875
143,1688,266.11328125
144,1688,266.11328125
145,1656,261.23046875
146,1688,266.11328125
147,1688,266.11328125
148,1672,263.671875
149,1688,266.11328125
150,1688,266.11328125
151,1672,263.671875
152,1688,266.11328125
153,1688,266.11328125
154,1672,263.671875
155,1672,263.671875
156,1688,266.11328125
157,1672,263.671875
158,1688,266.11328125
159,1688,266.11328125
160,1672,263.671875
161,1688,266.11328125
162,1704,268.5546875
163,1656,261.23046875
164,1688,266.11328125
165,1688,266.11328125
166,1672,263.671875
167,1688,266.11328125
168,1688,266.11328125
169,1656,261.23046875
170,1688,266.11328125
171,1688,266.11328125
172,1672,263.671875
173,1688,266.11328125
174,1704,268.5546875
175,1672,263.671875
176,1688,266.11328125
177,1704,268.5546875
178,1656,261.23046875
179,1688,266.11328125
180,1688,266.11328125
181,1656,261.23046875
182,1688,266.11328125
183,1688,266.11328125
184,1672,263.671875
185,1688,266.11328125
186,1688,266.11328125
187,1672,263.671875
188,1688,266.11328125
189,1688,266.11328125
190,1672,263.671875
191,1688,266.11328125
192,1688,266.11328125
193,1672,263.671875
194,1688,266.11328125
195,1688,266.11328125
196,1672,263.671875
197,1688,266.11328125
198,1688,266.11328125
199,1672,263.671875
200,1688,266.11328125
201,1688,266.11328125
202,1656,261.23046875
203,1688,266.11328125
204,1688,266.11328125
205,1672,263.671875
206,1688,266.11328125
207,1688,266.11328125
208,1656,261.23046875
209,1704,268.5546875
210,1688,266.11328125
211,1672,263.671875
212,1688,266.11328125
213,1704,268.5546875
214,1672,263.671875
215,1688,266.11328125
216,1688,266.11328125
217,1672,263.671875
218,1688,266.11328125
219,1688,266.11328125
220,1672,263.671875
221,1688,266.11328125
222,1688,266.11328125
223,1656,261.23046875
224,1688,266.11328125
225,1688,266.11328125
226,1672,263.671875
227,1688,266.11328125
228,1688,266.11328125
229,1672,263.671875
230,1688,266.11328125
231,1688,266.11328125
232,1672,263.671875
233,1688,266.11328125
234,1688,266.11328125
235,1672,263.671875
236,1688,266.11328125
237,1688,266.11328125
238,1672,263.671875
239,1688,266.11328125
240,1688,266.11328125
241,1672,263.671875
242,1688,266.11328125
243,1688,266.11328125
244,1672,263.671875
245,1688,266.11328125
246,1688,266.11328125
247,1672,263.671875
248,1688,266.11328125
249,1688,266.11328125
250,1672,263.671875
251,1688,266.11328125
252,1672,263.671875
253,1672,263.671875
254,1688,266.11328125
255,1688,266.11328125
256,1672,263.671875
257,1704,268.5546875
258,1688,266.11328125
259,1672,263.671875
260,1688,266.11328125
261,1688,266.11328125
262,1672,263.671875
263,1688,266.11328125
264,1688,266.11328125
265,1672,263.671875
266,1688,266.11328125
267,1688,266.11328125
268,1672,263.671875
269,1688,266.11328125
270,1688,266.11328125
271,1672,263.671875
272,1688,266.11328125
273,1688,266.11328125
274,1672,263.671875
275,1688,266.11328125
276,1704,268.5546875
277,1672,263.671875
278,1688,266.11328125
279,1688,266.11328125
280,1672,263.671875
281,1688,266.11328125
282,1688,266.11328125
283,1656,261.23046875
284,1704,268.5546875
285,1688,266.11328125
