Index,TemperatureRaw16,VGNDRaw16
0,2136,2
1,2136,0
2,2136,0
3,2136,1
4,2136,1
5,2136,2
6,2120,1
7,2136,0
8,2136,0
9,2136,-3
10,2136,0
11,2136,-1
12,2136,-1
13,2120,-1
14,2136,-1
15,2136,-1
16,2136,0
17,2136,0
18,2120,2
19,2136,0
20,2120,-1
21,2136,0
22,2120,-1
23,2120,1
24,2120,0
25,2136,2
26,2120,-1
27,2136,-1
28,2136,1
29,2136,3
30,2136,1
31,2136,1
32,2120,1
33,2120,0
34,2136,0
35,2120,-1
36,2120,2
37,2120,-1
38,2136,0
39,2136,0
40,2136,1
41,2136,3
42,2136,2
43,2136,2
44,2136,0
45,2136,2
46,2120,2
47,2136,0
48,2136,1
49,2136,1
50,2120,1
51,2120,0
52,2120,-1
53,2120,2
54,2136,2
55,2136,-1
56,2136,1
57,2136,-1
58,2120,-3
59,2136,1
60,2120,0
61,2120,0
62,2136,2
63,2136,1
64,2120,-1
65,2120,1
66,2120,1
67,2136,2
68,2120,0
69,2120,0
70,2120,1
71,2120,1
72,2120,-1
73,2120,-1
74,2136,0
75,2136,0
76,2120,3
77,2136,0
78,2136,-2
79,2136,2
80,2120,1
81,2136,0
82,2136,-1
83,2136,0
84,2136,1
85,2136,0
86,2136,0
87,2120,0
88,2120,1
89,2120,2
90,2136,1
91,2136,0
92,2120,0
93,2136,0
94,2136,2
95,2136,-1
96,2120,0
97,2136,1
98,2120,-1
99,2136,0
100,2120,0
101,2120,-2
102,2136,0
103,2120,-1
104,2136,-1
105,2120,-1
106,2120,0
107,2120,-1
108,2120,1
109,2136,1
110,2136,0
111,2136,0
112,2136,-1
113,2120,-2
114,2136,-2
115,2136,-2
116,2136,0
117,2120,-3
118,2120,-3
119,2136,2
120,2136,1
121,2120,1
122,2120,0
123,2136,1
124,2136,0
125,2136,-1
126,2136,-1
127,2136,-1
128,2136,0
129,2120,-2
130,2120,-2
131,2136,-1
132,2120,0
133,2120,1
134,2136,1
135,2120,0
136,2136,3
137,2120,1
138,2136,-1
139,2136,1
140,2120,0
141,2136,1
142,2120,-2
143,2120,0
144,2136,0
145,2136,0
146,2136,2
147,2120,-2
148,2136,-1
149,2120,3
150,2136,-2
151,2120,-1
152,2120,1
153,2120,-1
154,2120,0
155,2120,1
156,2136,0
157,2136,0
158,2120,0
159,2136,1
160,2120,-1
161,2120,0
162,2136,-1
163,2120,-2
164,2136,-2
165,2120,0
166,2120,0
167,2120,0
168,2120,1
169,2120,-1
170,2120,-1
171,2120,0
172,2136,2
173,2120,-1
174,2120,2
175,2136,1
176,2120,0
177,2120,1
178,2120,2
179,2120,1
180,2120,0
181,2120,0
182,2120,1
183,2120,2
184,2120,1
185,2120,-1
186,2136,1
187,2120,1
188,2136,0
189,2120,0
190,2120,-3
191,2120,0
192,2120,0
193,2136,0
194,2120,1
195,2120,-1
196,2120,1
197,2120,0
198,2120,0
199,2136,0
200,2120,1
201,2120,0
202,2136,0
203,2120,1
204,2120,1
205,2120,1
206,2120,0
207,2136,1
208,2136,-2
209,2136,-1
210,2136,-1
211,2120,0
212,2120,-1
213,2136,0
214,2120,2
215,2136,1
216,2120,1
217,2120,1
