Index,TemperatureRaw16,VGNDRaw16
0,264,-2
1,264,0
2,264,-1
3,264,-2
4,264,-1
5,264,0
6,264,-1
7,264,1
8,264,0
9,264,0
10,264,0
11,264,-1
12,264,0
13,264,-1
14,264,-1
15,264,1
16,264,-1
17,264,2
18,264,0
19,264,0
20,264,-1
21,264,2
22,264,0
23,264,-1
24,264,-1
25,264,-1
26,264,-3
27,264,-3
28,264,0
29,264,1
30,264,-3
31,264,-1
32,264,-2
33,264,-1
34,264,0
35,264,0
36,264,-1
37,264,2
38,264,-2
39,264,-1
40,264,-2
41,264,1
42,264,2
43,264,0
44,264,2
45,264,1
46,264,-1
47,264,1
48,264,-1
49,264,-1
50,264,0
51,264,0
52,264,1
53,264,3
54,264,-2
55,264,-1
56,264,1
57,264,-1
58,264,-2
59,264,1
60,264,-1
61,264,0
62,264,0
63,264,-1
64,264,1
65,264,1
66,264,-1
67,264,-1
68,264,3
69,264,1
70,264,0
71,264,2
72,264,0
73,264,2
74,264,2
75,264,0
76,264,2
77,264,0
78,264,2
79,264,-1
80,264,1
81,264,-1
82,264,2
83,264,0
84,264,2
85,264,0
86,264,0
87,264,1
88,264,0
89,264,2
90,264,0
91,264,2
92,264,1
93,264,-1
94,264,0
95,264,2
96,264,-1
97,264,0
98,264,-1
99,264,-1
100,264,1
101,264,1
102,264,-3
103,264,0
104,264,0
105,264,-2
106,264,1
107,264,2
108,264,-3
109,248,2
110,264,0
111,264,1
112,264,0
113,264,-2
114,264,2
115,264,0
116,264,3
117,264,1
118,264,1
119,264,-1
120,264,-1
121,264,0
122,264,0
123,264,0
124,264,0
125,264,-1
126,264,-2
127,264,-3
128,264,-1
129,264,0
130,264,1
131,264,0
132,264,-1
133,264,-3
134,264,-2
135,264,-1
136,264,1
137,264,0
138,264,0
139,264,-1
140,264,-1
141,264,-1
142,264,-1
143,264,1
144,264,1
145,264,0
146,264,0
147,264,0
148,264,0
149,264,0
150,264,1
151,264,-2
152,264,-1
153,264,-3
154,248,-1
155,264,0
156,264,0
157,264,-1
158,264,-1
159,264,-1
160,248,-1
161,248,1
162,264,1
163,264,-2
164,264,-1
165,264,1
166,264,0
167,264,1
168,264,1
169,248,2
170,248,1
171,264,-1
172,248,-2
173,264,0
174,264,0
175,248,0
176,248,-4
177,264,-1
178,264,3
179,248,-2
180,264,0
181,248,-1
182,248,1
183,264,1
184,264,1
185,264,0
186,264,0
187,264,1
188,264,1
189,264,-1
190,264,1
191,248,0
192,264,1
193,264,0
194,264,1
195,264,2
196,264,0
197,264,-1
198,264,0
199,264,0
200,248,2
201,264,-1
202,248,-1
203,264,0
204,264,-1
205,264,2
206,264,2
207,264,-2
208,264,-1
209,264,0
210,264,-3
211,264,-1
212,248,1
213,264,-1
214,264,1
215,264,1
216,264,1
217,264,0
218,264,2
219,264,0
220,264,0
221,264,0
222,264,0
223,264,2
224,264,-1
225,264,0
226,264,-1
227,264,1
228,264,-2
229,264,-1
230,248,-1
231,264,2
232,264,-3
233,248,2
234,264,-2
235,264,-2
236,248,0
237,264,1
238,264,1
239,264,1
240,264,-1
241,248,2
242,264,-1
243,264,0
244,264,0
245,264,2
246,264,-3
247,264,1
248,248,1
249,264,1
250,264,2
251,264,0
252,264,-2
253,264,0
254,248,-2
255,264,0
256,264,0
257,248,2
258,264,1
259,264,0
260,248,1
261,264,-2
262,264,-1
263,248,1
264,248,1
265,248,-1
266,248,1
267,264,1
268,264,1
269,248,2
270,264,0
271,264,0
272,248,1
273,248,-1
274,264,1
275,248,2
276,248,-1
277,264,1
278,248,1
279,264,1
280,264,0
281,264,0
282,248,0
283,264,0
284,248,0
285,264,1
286,264,0
287,248,0
288,248,2
289,248,1
290,248,0
291,264,-1
292,248,-1
293,248,0
294,264,2
295,264,1
296,264,1
297,264,1
298,264,2
299,264,0
300,264,0
301,264,-2
302,264,1
303,264,1
304,264,0
305,248,0
306,264,1
307,264,1
308,248,-1
309,264,1
310,264,-1
311,264,0
312,264,0
313,264,1
314,264,0
315,264,0
316,264,-2
317,264,-1
318,264,2
319,264,1
320,264,-1
321,264,0
322,264,-3
323,264,1
324,264,-1
325,264,0
326,264,-1
327,264,-1
328,264,0
329,264,-1
330,264,2
331,264,-1
332,264,0
333,264,2
334,264,0
335,264,0
336,264,1
337,264,0
338,264,1
339,264,3
340,264,0
341,264,1
342,264,-1
343,264,1
344,264,0
345,264,1
346,264,1
347,264,0
348,264,-1
349,264,1
350,264,1
351,264,1
352,264,0
353,248,1
354,264,2
355,264,2
356,264,0
357,264,0
358,264,0
359,248,0
360,264,2
361,264,0
362,264,1
363,264,-1
364,264,0
365,264,1
366,264,0
367,264,2
368,264,2
369,264,-2
370,264,0
371,264,-2
372,264,-1
373,264,0
374,264,1
375,264,0
376,264,0
377,264,-1
378,264,-1
379,264,0
380,264,1
381,264,1
382,264,-1
383,264,0
384,264,-1
385,264,2
386,264,2
387,264,1
388,264,-1
389,264,2
390,264,3
391,264,-1
392,264,-1
393,264,-1
394,264,1
395,264,-1
396,264,0
397,264,0
398,264,-1
399,264,1
400,264,0
401,264,0
402,264,-3
403,264,0
404,264,0
405,264,0
406,264,-1
407,264,1
408,264,0
409,264,-2
410,248,-1
411,264,0
412,264,1
413,264,0
414,264,0
415,264,2
416,264,0
417,264,1
418,264,-1
419,264,0
420,264,0
421,264,1
422,264,-1
423,264,0
424,264,0
425,264,-1
426,264,-1
427,264,3
428,264,-1
429,264,-2
430,264,-1
431,264,1
432,264,2
433,264,1
434,264,1
435,264,1
436,264,0
437,264,0
438,264,0
439,264,0
440,264,0
441,264,2
442,264,0
443,264,-1
444,264,2
445,264,0
446,264,0
447,264,0
448,264,-1
449,264,1
450,264,0
451,264,1
452,264,0
453,264,0
454,264,0
455,264,0
456,264,1
