Index,TemperatureRaw16,VGNDRaw16
0,105,1
1,104,-2
2,103,-1
3,102,-1
4,99,-1
5,94,-1
6,95,0
7,106,-1
8,102,-2
9,104,-1
10,98,0
11,104,0
12,96,0
13,99,0
14,103,-1
15,99,-2
16,105,1
17,105,2
18,99,0
19,107,0
20,103,1
21,94,2
22,101,-1
23,109,0
24,106,-1
25,102,1
26,98,1
27,93,0
28,106,-1
29,100,-1
30,103,-2
31,99,-1
32,101,0
33,102,-3
34,109,0
35,104,0
36,101,-2
37,98,2
38,106,-3
39,102,-1
40,106,1
41,102,1
42,105,-1
43,110,0
44,98,1
45,92,0
46,101,-1
47,108,-1
48,108,-1
49,113,-1
50,107,-1
51,89,1
52,103,0
53,98,2
54,95,-1
55,102,0
56,99,3
57,110,-1
58,94,0
59,104,-2
60,94,1
61,104,0
62,101,-1
63,104,-1
64,109,0
65,100,0
66,103,0
67,102,-1
68,111,1
69,106,0
70,107,2
71,104,-1
72,99,0
73,97,-1
74,106,-1
75,108,-2
76,106,1
77,104,0
78,109,1
79,99,0
80,110,1
81,110,0
82,98,-1
83,112,-2
84,96,1
85,102,-1
86,102,1
87,105,1
88,110,-1
89,109,1
90,99,1
91,102,1
92,107,1
93,97,3
94,93,0
95,97,1
96,98,0
97,111,2
98,106,-2
99,96,0
100,104,-1
101,98,-2
102,103,-2
103,103,0
104,106,-2
105,106,1
106,99,2
107,118,-1
108,97,0
109,99,0
110,114,1
111,95,0
112,104,2
113,108,1
114,96,-1
115,113,4
116,113,-2
117,105,0
118,93,1
119,99,1
120,114,-1
121,95,-1
122,104,-1
123,95,-1
124,100,1
125,108,0
126,105,-1
127,111,0
128,103,3
129,110,-2
130,102,0
131,98,-2
132,106,3
133,93,-1
134,103,-1
135,103,-1
136,108,1
137,108,0
138,104,-2
139,103,0
140,106,1
141,107,1
142,100,0
143,108,2
144,102,-1
145,108,0
146,102,0
147,105,1
148,105,1
149,102,1
150,109,1
151,102,0
152,93,0
153,104,0
154,113,-1
155,105,1
156,112,1
157,97,1
158,103,0
159,104,0
160,98,2
161,99,-1
162,101,0
163,106,0
164,110,0
165,102,2
166,116,0
167,99,-2
168,96,0
169,102,1
170,102,0
171,96,0
172,102,-1
173,104,2
174,99,0
175,97,1
176,105,0
177,107,0
178,100,-1
179,110,1
180,104,1
181,103,-2
182,102,0
183,110,-1
184,102,2
185,101,1
186,107,-1
187,104,-2
188,103,1
189,104,2
190,108,0
191,103,1
192,96,0
193,100,1
194,103,0
195,97,2
196,94,-1
197,98,0
198,103,0
199,94,-1
200,97,1
201,112,1
202,105,0
203,104,1
204,99,0
205,93,0
206,94,0
207,100,1
208,117,-1
209,101,-2
210,93,-2
211,99,1
212,102,0
213,95,-2
214,99,0
215,101,0
216,100,2
217,101,0
218,95,1
219,104,1
220,102,2
221,101,-1
222,101,0
223,104,0
224,100,0
225,108,-1
226,97,-1
227,103,1
228,100,0
229,98,-1
230,106,2
231,88,-1
232,96,-1
233,91,0
234,94,1
235,114,1
236,108,0
237,102,-1
238,99,1
239,98,1
240,109,-1
241,102,0
242,94,-2
243,100,-1
244,103,-1
245,93,-1
246,100,2
247,98,-1
248,94,-1
249,100,-1
250,91,4
251,101,-1
252,98,0
253,101,-1
254,99,2
255,90,-1
256,91,-2
257,96,0
258,104,0
259,114,1
260,97,-2
261,89,1
262,94,1
263,97,-1
264,94,-1
265,99,-2
266,103,-2
267,83,-1
268,89,1
269,91,1
270,106,-2
271,97,-2
272,101,-1
273,91,0
274,105,1
275,99,-2
276,104,0
277,94,1
278,108,-1
279,97,0
280,101,-1
281,94,-1
282,94,-2
283,97,1
284,104,-1
285,101,-1
286,98,0
287,105,0
288,96,-1
289,94,1
290,93,0
291,101,-1
292,95,2
293,96,1
294,105,-1
295,106,-1
296,99,1
297,115,0
298,102,1
299,104,1
300,100,1
301,94,-1
302,96,0
303,101,-2
304,95,2
305,101,0
306,101,-1
307,95,4
308,100,1
309,91,-1
310,97,1
311,100,1
312,91,1
313,95,1
314,96,0
315,99,-1
316,91,-1
317,99,0
318,111,1
319,96,-1
320,99,2
321,101,0
322,116,-1
323,111,0
324,96,-1
325,112,1
326,94,2
327,98,1
328,104,2
329,102,0
330,106,0
331,102,1
332,89,0
333,97,0
334,99,1
335,101,0
336,101,-1
337,91,-1
338,105,-1
339,99,0
340,102,1
341,94,1
342,108,1
343,96,0
344,99,-1
345,98,0
346,102,2
347,102,0
348,105,2
349,95,-2
350,103,0
351,102,0
352,99,0
353,109,-1
354,100,2
355,96,-1
356,105,1
357,105,1
358,100,2
359,104,-3
360,97,0
361,93,1
362,109,1
363,92,2
364,100,-1
365,100,0
366,103,-2
367,96,1
368,106,1
369,94,0
370,96,2
371,108,0
372,99,-2
373,96,-2
374,109,1
375,99,3
376,106,0
377,101,-1
378,104,0
379,91,1
380,98,1
381,100,-1
382,109,-2
383,106,-1
384,103,1
385,111,3
386,109,1
387,102,1
388,91,1
389,108,-1
390,100,1
391,97,2
392,106,0
393,99,-3
394,106,0
395,96,1
396,113,-1
397,100,-1
398,98,0
399,101,0
