Index,Raw16,Visual_mV
0,4048,617.67578125
1,4064,620.1171875
2,4064,620.1171875
3,4048,617.67578125
4,4064,620.1171875
5,4064,620.1171875
6,4048,617.67578125
7,4064,620.1171875
8,4064,620.1171875
9,4048,617.67578125
10,4064,620.1171875
11,4064,620.1171875
12,4032,615.234375
13,4064,620.1171875
14,4048,617.67578125
15,4032,615.234375
16,4064,620.1171875
17,4048,617.67578125
18,4048,617.67578125
19,4064,620.1171875
20,4048,617.67578125
21,4048,617.67578125
22,4064,620.1171875
23,4048,617.67578125
24,4048,617.67578125
25,4064,620.1171875
26,4048,617.67578125
27,4048,617.67578125
28,4064,620.1171875
29,4048,617.67578125
30,4032,615.234375
31,4064,620.1171875
32,4048,617.67578125
33,4032,615.234375
34,4064,620.1171875
35,4048,617.67578125
36,4032,615.234375
37,4064,620.1171875
38,4048,617.67578125
39,4032,615.234375
40,4064,620.1171875
41,4048,617.67578125
42,4048,617.67578125
43,4064,620.1171875
44,4048,617.67578125
45,4048,617.67578125
46,4080,622.55859375
47,4048,617.67578125
48,4048,617.67578125
49,4080,622.55859375
50,4048,617.67578125
51,4048,617.67578125
52,4064,620.1171875
53,4048,617.67578125
54,4032,615.234375
55,4064,620.1171875
56,4048,617.67578125
57,4048,617.67578125
58,4064,620.1171875
59,4048,617.67578125
60,4032,615.234375
61,4064,620.1171875
62,4048,617.67578125
63,4048,617.67578125
64,4064,620.1171875
65,4048,617.67578125
66,4032,615.234375
67,4064,620.1171875
68,4032,615.234375
69,4032,615.234375
70,4064,620.1171875
71,4048,617.67578125
72,4048,617.67578125
73,4064,620.1171875
74,4048,617.67578125
75,4048,617.67578125
76,4064,620.1171875
77,4048,617.67578125
78,4048,617.67578125
79,4064,620.1171875
80,4048,617.67578125
81,4032,615.234375
82,4064,620.1171875
83,4048,617.67578125
84,4048,617.67578125
85,4064,620.1171875
86,4048,617.67578125
87,4032,615.234375
88,4064,620.1171875
89,4048,617.67578125
90,4048,617.67578125
91,4064,620.1171875
92,4048,617.67578125
93,4048,617.67578125
94,4064,620.1171875
95,4048,617.67578125
96,4048,617.67578125
97,4064,620.1171875
98,4048,617.67578125
99,4048,617.67578125
100,4064,620.1171875
101,4032,615.234375
102,4032,615.234375
103,4064,620.1171875
104,4048,617.67578125
105,4032,615.234375
106,4064,620.1171875
107,4032,615.234375
108,4048,617.67578125
109,4064,620.1171875
110,4032,615.234375
111,4048,617.67578125
112,4064,620.1171875
113,4032,615.234375
114,4048,617.67578125
115,4064,620.1171875
116,4048,617.67578125
117,4048,617.67578125
118,4064,620.1171875
119,4032,615.234375
120,4048,617.67578125
121,4064,620.1171875
122,4032,615.234375
123,4032,615.234375
124,4064,620.1171875
125,4048,617.67578125
126,4048,617.67578125
127,4064,620.1171875
128,4032,615.234375
129,4032,615.234375
130,4048,617.67578125
131,4032,615.234375
132,4048,617.67578125
133,4064,620.1171875
134,4032,615.234375
135,4048,617.67578125
136,4064,620.1171875
137,4048,617.67578125
138,4048,617.67578125
139,4064,620.1171875
140,4032,615.234375
141,4048,617.67578125
142,4064,620.1171875
143,4032,615.234375
144,4032,615.234375
145,4048,617.67578125
146,4032,615.234375
147,4032,615.234375
148,4048,617.67578125
149,4032,615.234375
150,4032,615.234375
151,4064,620.1171875
152,4032,615.234375
153,4032,615.234375
154,4064,620.1171875
155,4032,615.234375
156,4032,615.234375
157,4048,617.67578125
158,4032,615.234375
159,4032,615.234375
160,4048,617.67578125
161,4032,615.234375
162,4032,615.234375
163,4064,620.1171875
164,4032,615.234375
165,4032,615.234375
166,4048,617.67578125
167,4032,615.234375
168,4048,617.67578125
169,4048,617.67578125
170,4032,615.234375
171,4048,617.67578125
172,4048,617.67578125
173,4032,615.234375
174,4032,615.234375
175,4048,617.67578125
176,4016,612.79296875
177,4032,615.234375
178,4064,620.1171875
179,4016,612.79296875
180,4032,615.234375
181,4064,620.1171875
182,4016,612.79296875
183,4048,617.67578125
184,4048,617.67578125
185,4016,612.79296875
186,4048,617.67578125
187,4048,617.67578125
188,4016,612.79296875
189,4032,615.234375
190,4048,617.67578125
191,4016,612.79296875
192,4048,617.67578125
193,4048,617.67578125
194,4016,612.79296875
195,4048,617.67578125
196,4048,617.67578125
197,4016,612.79296875
198,4032,615.234375
199,4048,617.67578125
200,4016,612.79296875
201,4048,617.67578125
202,4048,617.67578125
203,4016,612.79296875
204,4048,617.67578125
205,4048,617.67578125
206,4016,612.79296875
207,4048,617.67578125
208,4048,617.67578125
209,4016,612.79296875
210,4032,615.234375
211,4064,620.1171875
212,4016,612.79296875
213,4032,615.234375
214,4048,617.67578125
215,4016,612.79296875
216,4032,615.234375
217,4048,617.67578125
218,4032,615.234375
219,4048,617.67578125
220,4048,617.67578125
221,4016,612.79296875
222,4048,617.67578125
223,4048,617.67578125
224,4016,612.79296875
225,4032,615.234375
226,4048,617.67578125
227,4016,612.79296875
228,4048,617.67578125
229,4048,617.67578125
230,4016,612.79296875
231,4048,617.67578125
232,4048,617.67578125
233,4016,612.79296875
234,4048,617.67578125
235,4048,617.67578125
236,4016,612.79296875
237,4032,615.234375
238,4048,617.67578125
239,4016,612.79296875
240,4032,615.234375
241,4048,617.67578125
242,4016,612.79296875
243,4048,617.67578125
244,4048,617.67578125
245,4016,612.79296875
246,4048,617.67578125
247,4048,617.67578125
248,4016,612.79296875
249,4032,615.234375
250,4048,617.67578125
251,4016,612.79296875
252,4048,617.67578125
253,4048,617.67578125
254,4016,612.79296875
255,4048,617.67578125
256,4048,617.67578125
257,4016,612.79296875
258,4048,617.67578125
259,4048,617.67578125
260,4016,612.79296875
261,4048,617.67578125
262,4048,617.67578125
263,4016,612.79296875
264,4032,615.234375
265,4048,617.67578125
266,4016,612.79296875
267,4048,617.67578125
268,4048,617.67578125
269,4032,615.234375
270,4048,617.67578125
271,4048,617.67578125
272,4016,612.79296875
273,4048,617.67578125
274,4048,617.67578125
275,4016,612.79296875
276,4048,617.67578125
277,4048,617.67578125
278,4016,612.79296875
279,4048,617.67578125
280,4032,615.234375
281,4016,612.79296875
282,4048,617.67578125
283,4048,617.67578125
284,4016,612.79296875
285,4032,615.234375
286,4048,617.67578125
287,4016,612.79296875
288,4048,617.67578125
289,4048,617.67578125
290,4016,612.79296875
291,4048,617.67578125
292,4048,617.67578125
293,4032,615.234375
294,4048,617.67578125
295,4032,615.234375
296,4016,612.79296875
297,4048,617.67578125
298,4032,615.234375
299,4016,612.79296875
300,4048,617.67578125
301,4032,615.234375
302,4032,615.234375
303,4032,615.234375
304,4032,615.234375
305,4016,612.79296875
306,4048,617.67578125
307,4032,615.234375
308,4032,615.234375
309,4048,617.67578125
310,4032,615.234375
311,4032,615.234375
312,4048,617.67578125
313,4032,615.234375
314,4016,612.79296875
315,4048,617.67578125
316,4032,615.234375
317,4016,612.79296875
318,4064,620.1171875
319,4032,615.234375
320,4016,612.79296875
321,4048,617.67578125
322,4032,615.234375
323,4016,612.79296875
324,4048,617.67578125
325,4032,615.234375
326,4032,615.234375
327,4048,617.67578125
328,4032,615.234375
329,4016,612.79296875
330,4048,617.67578125
331,4032,615.234375
332,4016,612.79296875
333,4048,617.67578125
334,4032,615.234375
335,4032,615.234375
336,4048,617.67578125
337,4032,615.234375
338,4032,615.234375
339,4048,617.67578125
340,4032,615.234375
341,4032,615.234375
342,4048,617.67578125
343,4032,615.234375
344,4016,612.79296875
345,4048,617.67578125
346,4016,612.79296875
347,4032,615.234375
348,4048,617.67578125
349,4032,615.234375
350,4016,612.79296875
351,4048,617.67578125
352,4016,612.79296875
353,4016,612.79296875
354,4048,617.67578125
355,4016,612.79296875
356,4016,612.79296875
357,4048,617.67578125
358,4032,615.234375
359,4032,615.234375
360,4048,617.67578125
361,4032,615.234375
362,4032,615.234375
363,4048,617.67578125
364,4016,612.79296875
365,4032,615.234375
366,4048,617.67578125
367,4032,615.234375
368,4032,615.234375
369,4048,617.67578125
370,4032,615.234375
371,4032,615.234375
372,4048,617.67578125
373,4016,612.79296875
374,4032,615.234375
375,4048,617.67578125
376,4016,612.79296875
377,4032,615.234375
378,4048,617.67578125
379,4032,615.234375
380,4016,612.79296875
381,4048,617.67578125
382,4016,612.79296875
383,4032,615.234375
384,4048,617.67578125
385,4032,615.234375
386,4032,615.234375
387,4048,617.67578125
388,4032,615.234375
389,4016,612.79296875
390,4048,617.67578125
391,4032,615.234375
392,4032,615.234375
393,4048,617.67578125
394,4016,612.79296875
395,4016,612.79296875
396,4048,617.67578125
397,4016,612.79296875
398,4032,615.234375
399,4048,617.67578125
400,4016,612.79296875
401,4032,615.234375
402,4048,617.67578125
403,4016,612.79296875
404,4016,612.79296875
405,4048,617.67578125
406,4032,615.234375
407,4032,615.234375
408,4048,617.67578125
409,4016,612.79296875
410,4032,615.234375
411,4048,617.67578125
412,4016,612.79296875
413,4032,615.234375
414,4032,615.234375
415,4016,612.79296875
416,4032,615.234375
417,4048,617.67578125
418,4016,612.79296875
419,4016,612.79296875
420,4048,617.67578125
421,4016,612.79296875
422,4016,612.79296875
423,4032,615.234375
424,4016,612.79296875
425,4016,612.79296875
426,4048,617.67578125
427,4016,612.79296875
428,4016,612.79296875
429,4032,615.234375
430,4016,612.79296875
431,4032,615.234375
432,4048,617.67578125
433,4016,612.79296875
434,4032,615.234375
435,4048,617.67578125
436,4016,612.79296875
437,4016,612.79296875
438,4048,617.67578125
439,4016,612.79296875
440,4016,612.79296875
441,4032,615.234375
442,4016,612.79296875
443,4032,615.234375
444,4048,617.67578125
445,4000,610.3515625
446,4032,615.234375
447,4048,617.67578125
448,4016,612.79296875
449,4032,615.234375
450,4032,615.234375
451,4016,612.79296875
452,4032,615.234375
453,4032,615.234375
454,4000,610.3515625
455,4032,615.234375
456,4032,615.234375
457,4000,610.3515625
458,4016,612.79296875
459,4032,615.234375
460,4000,610.3515625
461,4016,612.79296875
462,4048,617.67578125
463,4000,610.3515625
464,4032,615.234375
465,4048,617.67578125
466,4000,610.3515625
467,4016,612.79296875
468,4048,617.67578125
469,4000,610.3515625
470,4032,615.234375
471,4032,615.234375
472,4000,610.3515625
473,4016,612.79296875
474,4048,617.67578125
475,4000,610.3515625
476,4032,615.234375
477,4032,615.234375
478,4000,610.3515625
479,4016,612.79296875
480,4032,615.234375
481,4000,610.3515625
482,4016,612.79296875
483,4032,615.234375
484,4016,612.79296875
485,4032,615.234375
486,4032,615.234375
487,4016,612.79296875
488,4016,612.79296875
489,4032,615.234375
490,4000,610.3515625
491,4032,615.234375
492,4032,615.234375
493,4000,610.3515625
494,4032,615.234375
495,4048,617.67578125
496,4000,610.3515625
497,4032,615.234375
498,4032,615.234375
499,4000,610.3515625
500,4032,615.234375
501,4032,615.234375
502,4000,610.3515625
503,4032,615.234375
504,4048,617.67578125
505,4000,610.3515625
506,4032,615.234375
507,4048,617.67578125
508,4016,612.79296875
509,4032,615.234375
510,4048,617.67578125
511,4000,610.3515625
512,4032,615.234375
513,4032,615.234375
514,4000,610.3515625
515,4032,615.234375
516,4032,615.234375
517,4000,610.3515625
518,4032,615.234375
519,4032,615.234375
520,4000,610.3515625
521,4032,615.234375
522,4048,617.67578125
523,4000,610.3515625
524,4032,615.234375
525,4032,615.234375
526,4000,610.3515625
527,4032,615.234375
528,4032,615.234375
529,4000,610.3515625
530,4032,615.234375
531,4032,615.234375
532,4000,610.3515625
533,4032,615.234375
534,4032,615.234375
535,4000,610.3515625
536,4032,615.234375
537,4032,615.234375
538,4000,610.3515625
