Index,TemperatureRaw16,VGNDRaw16
0,48,0
1,38,1
2,43,-2
3,34,0
4,41,-2
5,27,-1
6,36,-2
7,42,-3
8,33,-2
9,32,-3
10,38,-2
11,31,-2
12,41,-1
13,35,-2
14,35,0
15,31,0
16,39,-2
17,30,-2
18,40,0
19,34,0
20,35,-2
21,29,-2
22,33,0
23,38,0
24,41,1
25,35,-3
26,32,-1
27,33,-2
28,41,-2
29,30,-1
30,37,-2
31,33,0
32,44,-2
33,35,-1
34,26,1
35,29,-1
36,39,-2
37,41,-1
38,31,-2
39,41,-2
40,38,0
41,32,-2
42,35,0
43,34,0
44,26,-2
45,35,-1
46,35,-2
47,29,-1
48,29,-2
49,41,0
50,35,0
51,43,-2
52,32,-1
53,37,1
54,41,-2
55,39,-1
56,38,-2
57,41,-2
58,29,-1
59,32,-2
60,36,-1
61,40,-1
62,32,0
63,34,-2
64,38,1
65,35,-1
66,29,-2
67,35,-1
68,30,-1
69,38,1
70,35,-2
71,35,-2
72,32,-1
73,32,-3
74,34,0
75,35,0
76,32,0
77,26,-2
78,32,0
79,33,-2
80,35,-3
81,30,-2
82,47,-2
83,30,1
84,34,0
85,38,-1
86,40,0
87,34,-1
88,35,0
89,32,-3
90,29,0
91,38,-2
92,32,-1
93,37,-1
94,35,-4
95,32,0
96,38,-2
97,39,-1
98,34,0
99,39,-2
100,35,0
101,35,-4
102,30,1
103,41,-1
104,35,-2
105,42,1
106,37,-1
107,43,-2
108,29,-2
109,38,-1
110,35,-1
111,26,-2
112,38,-2
113,38,-4
114,35,-1
115,36,-1
116,32,-1
117,41,-1
118,41,1
119,29,-1
120,41,0
121,31,1
122,37,1
123,35,0
124,40,1
125,35,-2
126,47,-2
127,44,-1
128,37,-1
129,48,-2
130,39,1
131,35,1
132,50,1
133,39,-2
134,38,-3
135,26,-2
136,37,-2
137,32,-1
138,39,-2
139,35,-2
140,35,-1
141,44,-2
142,38,0
143,29,-1
144,35,-1
145,43,1
146,47,-3
147,41,-2
148,43,-2
149,35,-3
150,42,0
151,37,0
152,30,1
153,46,1
154,35,-2
155,35,-1
156,46,0
157,32,-1
158,38,-1
159,35,-2
160,32,0
161,37,-2
162,38,-2
163,36,-2
164,32,-1
165,31,0
166,38,1
167,27,-2
168,40,0
169,42,0
170,27,-3
171,38,0
172,41,-2
173,26,0
174,37,-2
175,32,-2
176,35,-1
177,35,-2
178,38,1
179,41,0
180,42,-2
181,42,-2
182,31,-2
183,29,-1
184,36,-1
185,32,-3
186,37,-2
187,31,-2
188,30,-2
189,38,-2
190,30,-1
191,35,0
192,32,1
193,32,-2
194,39,-2
195,31,-1
196,33,-1
197,39,-1
198,37,0
199,31,-1
200,34,-2
201,26,-2
202,37,0
203,46,0
204,36,-2
205,40,-2
206,47,-1
207,43,-2
208,33,-1
209,35,0
210,36,-2
211,36,-1
212,32,-1
213,40,-2
214,29,0
215,41,-3
216,35,0
217,35,1
218,35,-1
219,39,-2
220,38,-1
221,38,0
222,35,-1
223,30,-1
224,44,-2
225,32,-2
226,32,0
227,39,0
228,27,-1
229,32,0
230,41,-2
231,28,-2
232,37,-1
233,30,-2
234,35,0
235,32,-2
236,29,-1
237,26,-1
238,30,0
239,30,-2
240,34,-1
241,27,-1
242,29,-3
243,24,-2
244,30,-2
245,41,-2
246,34,-2
247,28,-1
248,28,-1
249,29,-1
250,35,-2
251,39,-1
252,35,-2
253,29,-2
254,38,1
255,34,-2
256,35,-2
257,21,0
258,35,1
259,30,-2
260,24,-1
261,30,-1
262,36,-2
263,33,-2
264,21,-2
265,41,-2
266,33,-2
267,32,0
268,31,-3
269,24,-2
270,35,-4
271,27,-4
272,29,-1
273,21,-2
274,33,0
275,31,0
276,29,-2
277,35,-1
278,36,-1
279,25,0
280,29,-1
281,32,0
282,26,0
283,26,-2
284,32,-2
285,38,-2
286,33,-2
287,33,-3
288,35,-2
289,25,-1
290,38,-2
291,32,-2
292,34,-2
293,29,-1
294,42,-2
295,27,-1
296,35,-1
297,33,1
298,26,-2
299,40,1
300,31,-1
301,35,-1
302,37,-2
303,33,0
304,38,0
305,30,-2
306,47,-1
307,32,-1
308,38,-2
309,35,0
310,32,1
311,31,0
312,38,1
313,38,0
314,33,-1
315,32,-2
316,32,-1
317,22,-1
318,35,-2
319,35,-1
320,32,0
321,36,0
322,41,-2
323,32,-1
324,34,-3
325,37,0
326,29,-1
327,35,-2
328,35,-2
329,45,-2
330,34,0
331,39,-2
332,33,-2
333,41,-3
334,37,-1
335,38,-1
336,38,-2
337,27,0
338,32,-2
339,27,-2
340,42,-1
341,26,-2
342,27,-2
343,38,-1
344,34,-1
345,32,1
346,29,-2
347,26,-2
348,37,-2
349,29,-1
350,32,0
351,39,1
352,28,0
353,28,0
354,29,1
355,26,-1
356,32,0
357,33,1
358,26,-2
359,23,-1
360,37,-2
361,35,-3
362,24,1
363,31,-2
364,35,-1
365,35,0
366,33,-2
367,32,-2
368,43,-1
369,29,-1
370,21,0
371,33,-2
372,32,0
373,31,0
374,33,-2
375,32,-2
376,24,-1
377,32,-1
378,34,-2
379,37,-2
380,31,-2
381,32,-2
382,36,1
383,32,-1
384,22,0
385,44,-2
386,31,-2
387,32,-1
388,29,-1
389,27,0
390,33,-2
391,37,-2
392,28,-1
393,28,0
394,32,-3
395,41,-1
396,38,-2
397,42,-1
398,32,-1
399,35,1
400,35,-2
401,30,-2
402,28,2
403,31,-1
404,32,-3
405,32,0
406,30,-1
407,22,-2
408,36,-2
409,27,-1
410,24,0
411,29,0
412,35,-1
413,26,-1
414,26,1
415,35,-2
416,32,-2
417,36,-1
418,32,-2
419,30,-2
420,29,-1
421,29,-2
422,30,0
423,31,0
424,24,-1
425,34,0
426,24,0
427,26,0
428,39,-2
429,30,-1
430,37,0
431,35,-2
432,41,-4
433,32,-2
434,33,-3
435,35,-1
436,40,0
437,41,2
438,33,-1
439,29,-2
440,32,1
441,33,0
442,34,0
443,33,0
444,39,-1
445,39,-1
446,38,-1
447,37,-2
448,31,-1
449,35,1
450,34,-1
451,37,-1
452,34,-1
453,35,-1
454,28,-1
455,34,-1
456,32,-2
457,27,0
458,34,1
459,32,-2
460,39,-2
461,23,-2
462,33,1
463,27,0
