Index,TemperatureRaw16,VGNDRaw16,TemperatureBaselineRaw16,TemperatureRaw16_Filtered,TemperatureNoiseRaw16,VGNDBaselineRaw16,VGNDRaw16_Filtered,VGNDNoiseRaw16
0,48,0,48,55.048870,0.088172,0,-1.001595,0.139011
1,38,1,48,45.048870,-9.911828,0,-0.001595,1.139011
2,43,-2,48,50.048870,-4.911828,0,-3.001595,-1.860989
3,34,0,47,42.048870,-12.911828,0,-1.001595,0.139011
4,41,-2,47,49.048870,-5.911828,0,-3.001595,-1.860989
5,27,-1,47,35.048870,-19.911828,0,-2.001595,-0.860989
6,36,-2,47,44.048870,-10.911828,0,-3.001595,-1.860989
7,42,-3,46,51.048870,-3.911828,0,-4.001595,-2.860989
8,33,-2,46,42.048870,-12.911828,0,-3.001595,-1.860989
9,32,-3,46,41.048870,-13.911828,0,-4.001595,-2.860989
10,38,-2,44,49.048870,-5.911828,0,-3.001595,-1.860989
11,31,-2,44,42.048870,-12.911828,0,-3.001595,-1.860989
12,41,-1,44,52.048870,-2.911828,0,-2.001595,-0.860989
13,35,-2,43,47.048870,-7.911828,0,-3.001595,-1.860989
14,35,0,43,47.048870,-7.911828,0,-1.001595,0.139011
15,31,0,43,43.048870,-11.911828,0,-1.001595,0.139011
16,39,-2,43,51.048870,-3.911828,0,-3.001595,-1.860989
17,30,-2,43,42.048870,-12.911828,0,-3.001595,-1.860989
18,40,0,43,52.048870,-2.911828,0,-1.001595,0.139011
19,34,0,42,47.048870,-7.911828,0,-1.001595,0.139011
20,35,-2,42,48.048870,-6.911828,0,-3.001595,-1.860989
21,29,-2,42,42.048870,-12.911828,0,-3.001595,-1.860989
22,33,0,42,46.048870,-8.911828,0,-1.001595,0.139011
23,38,0,42,51.048870,-3.911828,0,-1.001595,0.139011
24,41,1,42,54.048870,-0.911828,0,-0.001595,1.139011
25,35,-3,42,48.048870,-6.911828,0,-4.001595,-2.860989
26,32,-1,41,46.048870,-8.911828,0,-2.001595,-0.860989
27,33,-2,41,47.048870,-7.911828,0,-3.001595,-1.860989
28,41,-2,41,55.048870,0.088172,0,-3.001595,-1.860989
29,30,-1,41,44.048870,-10.911828,0,-2.001595,-0.860989
30,37,-2,41,51.048870,-3.911828,0,-3.001595,-1.860989
31,33,0,41,47.048870,-7.911828,0,-1.001595,0.139011
32,44,-2,41,58.048870,3.088172,0,-3.001595,-1.860989
33,35,-1,41,49.048870,-5.911828,0,-2.001595,-0.860989
34,26,1,41,40.048870,-14.911828,0,-0.001595,1.139011
