Index,AD1_TactileRaw(16bit),AD1_VGNDRaw(16bit),AD2_TactileRaw(16bit),AD2_VGNDRaw(16bit),AD3_TactileRaw(16bit),AD3_VGNDRaw(16bit),AD4_TactileRaw(16bit),AD4_VGNDRaw(16bit),AD5_TactileRaw(16bit),AD5_VGNDRaw(16bit),AD6_TactileRaw(16bit),AD6_VGNDRaw(16bit),AD7_TactileRaw(16bit),AD7_VGNDRaw(16bit),AD8_TactileRaw(16bit),AD8_VGNDRaw(16bit)
0,20691,12026,20711,12029,20955,12024,20788,12011,20699,12009,20710,12017,20715,11928,20725,12031
1,28734,12025,28761,12030,29023,12026,28841,12016,28745,12009,28753,12016,28764,11926,28775,12030
2,32767,12026,32767,12032,32767,12029,32767,12017,32767,12008,32767,12015,32767,11928,32767,12032
3,32767,12026,32767,12034,32767,12031,32767,12017,32767,12011,32767,12017,32767,11931,32767,12034
4,32767,12031,32767,12037,32767,12034,32767,12022,32767,12014,32767,12021,32767,11934,32767,12037
5,32767,12029,32767,12035,32767,12033,32767,12020,32767,12012,32767,12020,32767,11934,32767,12036
6,24883,12029,24882,12036,24652,12034,24815,12022,24903,12012,24864,12021,24873,11934,24891,12039
7,17467,12031,17468,12039,17330,12034,17429,12023,17483,12016,17453,12024,17462,11937,17475,12039
8,14779,12031,14795,12034,14897,12034,14826,12020,14789,12015,14788,12022,14794,11934,14804,12038
9,19660,12026,19682,12031,19914,12025,19751,12014,19667,12010,19676,12018,19686,11928,19693,12032
10,27768,12027,27793,12031,28059,12025,27875,12014,27779,12008,27788,12017,27797,11926,27808,12030
11,32767,12024,32767,12029,32767,12022,32767,12012,32767,12005,32767,12011,32767,11924,32767,12030
12,32767,12025,32767,12031,32767,12027,32767,12017,32767,12012,32767,12016,32767,11926,32767,12033
13,32767,12025,32767,12032,32767,12028,32767,12017,32767,12009,32767,12018,32767,11929,32767,12036
14,32767,12025,32767,12034,32767,12032,32767,12020,32767,12010,32767,12020,32767,11933,32767,12039
15,25729,12027,25728,12032,25493,12032,25666,12019,25751,12011,25710,12019,25719,11931,25736,12036
