Index,AD1_TactileRaw(16bit),AD1_VGNDRaw(16bit),AD2_TactileRaw(16bit),AD2_VGNDRaw(16bit),AD3_TactileRaw(16bit),AD3_VGNDRaw(16bit),AD4_TactileRaw(16bit),AD4_VGNDRaw(16bit),AD5_TactileRaw(16bit),AD5_VGNDRaw(16bit),AD6_TactileRaw(16bit),AD6_VGNDRaw(16bit),AD7_TactileRaw(16bit),AD7_VGNDRaw(16bit),AD8_TactileRaw(16bit),AD8_VGNDRaw(16bit)
0,28913,12023,28931,12028,28996,12023,28953,12013,28930,12004,28918,12012,28928,11924,28942,12030
1,28996,12026,29008,12030,28992,12028,29004,12017,29014,12008,28994,12018,29006,11927,29021,12033
2,29178,12028,29193,12032,29233,12029,29209,12020,29196,12010,29181,12017,29190,11927,29206,12033
3,29226,12026,29235,12033,29195,12029,29228,12019,29244,12012,29222,12018,29232,11930,29248,12035
4,28725,12023,28742,12028,28822,12027,28768,12016,28738,12008,28730,12015,28739,11926,28753,12032
5,29414,12029,29423,12035,29371,12031,29412,12020,29436,12014,29410,12023,29418,11934,29438,12039
6,28517,12023,28535,12028,28628,12025,28569,12016,28530,12011,28522,12013,28533,11926,28546,12029
7,29611,12027,29622,12032,29555,12031,29603,12017,29633,12010,29607,12019,29616,11932,29635,12035
8,28971,12025,28984,12034,29044,12028,29008,12019,28986,12010,28971,12016,28985,11928,28999,12035
9,29133,12028,29145,12034,29117,12028,29139,12017,29152,12011,29133,12019,29140,11932,29156,12036
10,28883,12025,28898,12027,28967,12023,28923,12014,28897,12006,28888,12012,28898,11924,28911,12028
11,29510,12029,29520,12037,29463,12031,29505,12022,29529,12012,29504,12022,29513,11934,29530,12038
12,29674,12026,29685,12033,29610,12029,29663,12017,29695,12009,29668,12019,29678,11933,29696,12034
13,28599,12027,28609,12030,28700,12027,28645,12016,28610,12009,28603,12014,28612,11926,28623,12031
14,29512,12029,29521,12037,29461,12032,29504,12021,29533,12014,29506,12022,29516,11933,29535,12037
15,29031,12027,29046,12031,29103,12028,29068,12017,29046,12008,29034,12016,29044,11928,29059,12031
16,29152,12027,29164,12033,29135,12028,29158,12018,29172,12010,29152,12019,29158,11932,29179,12033
17,28874,12028,28892,12032,28959,12025,28916,12016,28890,12008,28877,12016,28888,11927,28904,12033
18,29429,12027,29436,12034,29386,12028,29425,12018,29448,12008,29425,12020,29433,11930,29454,12035
19,28728,12028,28743,12035,28823,12029,28771,12020,28740,12009,28731,12018,28741,11930,28756,12036
20,29382,12025,29390,12033,29341,12028,29378,12016,29401,12008,29377,12019,29385,11932,29404,12033
21,28781,12023,28799,12028,28871,12023,28824,12014,28797,12006,28788,12014,28798,11924,28812,12028
22,29198,12029,29210,12035,29174,12031,29200,12020,29218,12013,29198,12022,29204,11935,29222,12036
23,29158,12026,29173,12033,29214,12029,29189,12014,29176,12009,29162,12016,29170,11929,29186,12033
24,29429,12026,29439,12032,29387,12029,29426,12017,29448,12009,29424,12019,29433,11932,29452,12036
25,28858,12027,28875,12031,28943,12028,28899,12014,28875,12008,28862,12015,28873,11927,28887,12030
26,29303,12023,29313,12029,29270,12026,29301,12015,29326,12006,29302,12019,29309,11930,29325,12032
27,28877,12028,28894,12031,28958,12027,28917,12016,28894,12010,28880,12014,28891,11926,28904,12033
28,29563,12029,29572,12035,29510,12031,29556,12020,29584,12014,29558,12022,29568,11934,29585,12036
29,28624,12023,28639,12025,28726,12023,28670,12014,28636,12003,28627,12010,28639,11921,28652,12029
30,29737,12028,29746,12032,29667,12028,29724,12017,29756,12012,29731,12019,29741,11932,29760,12035
31,28418,12026,28434,12028,28542,12026,28468,12015,28431,12009,28425,12015,28435,11927,28448,12030
32,30008,12031,30019,12037,29928,12035,29994,12023,30032,12013,30002,12025,30015,11935,30031,12041
33,28145,12026,28159,12028,28276,12025,28199,12014,28156,12008,28151,12014,28160,11926,28173,12030
