Index,R0_C0,R0_C1,R0_C2,R0_C3,R0_C4,R0_C5,R1_C0,R1_C1,R1_C2,R1_C3,R1_C4,R1_C5,R2_C0,R2_C1,R2_C2,R2_C3,R2_C4,R2_C5,R3_C0,R3_C1,R3_C2,R3_C3,R3_C4,R3_C5,R4_C0,R4_C1,R4_C2,R4_C3,R4_C4,R4_C5,R5_C0,R5_C1,R5_C2,R5_C3,R5_C4,R5_C5,VGND
0,-6,2,1,1,-9,5,-6,-1,2,-3,-7,2,-5,3,2,-2,-9,6,-7,-38,1,1,-5,4,-7,1,3,-2,-6,5,-6,2,2,1,-6,2,-1
1,-6,3,0,0,-7,4,-7,3,3,1,-5,4,-8,3,3,-2,-6,3,-6,-35,1,-2,-7,3,-5,4,2,1,-8,3,-6,5,0,-2,-6,4,1
2,-7,6,3,-2,-6,2,-8,3,2,-1,-6,1,-6,3,0,-2,-9,3,-6,-36,2,0,-7,4,-7,3,2,-2,-9,4,-6,5,0,0,-6,1,-1
3,-6,5,2,-1,-6,5,-5,3,2,-2,-4,3,-8,4,1,-1,-9,2,-5,-35,2,-1,-9,4,-7,3,0,0,-7,5,-5,4,1,-2,-7,4,-2
4,-7,4,1,-2,-7,3,-6,4,1,-2,-6,4,-6,3,1,0,-6,4,-5,-35,0,0,-5,3,-7,4,2,-2,-9,5,-6,3,3,-2,-5,4,0
5,-5,3,1,1,-8,2,-6,3,3,1,-8,3,-7,6,3,0,-6,1,-7,-35,3,0,-6,3,-6,1,1,-1,-7,2,-4,3,3,-2,-6,4,-1
6,-7,3,-1,0,-8,1,-7,3,3,-1,-9,4,-7,5,3,0,-6,3,-6,-35,-1,1,-8,3,-5,5,1,1,-6,3,-7,3,2,-2,-6,4,0
7,-7,4,1,1,-8,7,-5,2,1,1,-6,3,-7,3,1,-2,-7,2,-8,-34,0,-3,-7,2,-6,3,3,-2,-6,1,-5,4,3,0,-4,3,-3
8,-7,3,1,-3,-7,1,-10,3,1,-1,-5,3,-5,3,3,0,-6,2,-6,-37,2,-1,-7,3,-8,3,2,0,-8,3,-8,3,0,-1,-8,1,-2
9,-6,3,4,1,-6,5,-5,3,1,0,-9,1,-7,2,1,-1,-9,3,-5,-36,3,0,-5,4,-5,3,0,-2,-5,3,-7,2,0,-1,-7,2,0
10,-8,3,1,-1,-8,4,-7,3,3,0,-6,1,-5,3,0,-2,-6,2,-5,-36,3,-2,-7,4,-7,0,2,-1,-7,4,-5,1,3,1,-6,4,-1
11,-7,6,3,-1,-9,4,-7,2,2,-1,-7,4,-7,0,1,1,-6,4,-7,-35,1,1,-5,3,-6,3,2,1,-7,4,-7,3,2,-2,-9,3,-2
12,-4,3,0,0,-7,2,-6,3,3,-1,-9,4,-6,3,3,-2,-5,4,-8,-35,1,-2,-7,4,-7,3,0,0,-7,4,-5,1,3,-2,-8,4,-2
13,-8,3,0,-2,-7,3,-7,3,1,-2,-8,4,-8,4,1,-1,-8,4,-6,-34,3,0,-7,4,-7,3,0,1,-6,0,-9,3,1,1,-8,4,-1
14,-7,3,1,-2,-7,4,-7,3,0,0,-6,3,-7,3,1,-2,-8,2,-9,-35,3,-2,-6,5,-5,4,1,1,-6,3,-5,3,2,-1,-7,4,-1
15,-8,3,1,-2,-8,3,-5,2,3,-2,-5,4,-4,3,1,0,-6,4,-8,-34,0,-2,-6,3,-6,3,0,1,-8,2,-6,4,0,0,-9,5,-2
16,-7,5,1,-1,-7,4,-6,3,2,-1,-8,5,-7,3,1,-2,-6,4,-7,-34,2,-1,-9,4,-7,3,0,-1,-6,4,-5,4,0,-1,-6,2,0
17,-5,2,3,-2,-7,1,-5,3,2,-1,-6,1,-7,3,1,-2,-6,2,-6,-38,3,-1,-6,2,-5,5,0,-1,-8,6,-5,2,2,1,-6,6,0
18,-6,3,2,0,-6,4,-7,1,2,0,-5,3,-5,4,1,-1,-6,3,-5,-35,1,1,-6,4,-7,3,3,-1,-6,1,-5,3,0,-2,-6,2,-2
19,-7,3,2,-2,-7,4,-8,2,0,0,-7,4,-9,3,0,1,-9,4,-8,-34,0,-2,-6,4,-8,4,1,1,-7,4,-6,3,0,1,-6,4,-2
20,-6,3,3,-2,-8,5,-6,4,1,-2,-6,4,-6,1,1,-2,-6,5,-7,-35,0,-1,-6,4,-5,2,3,-1,-6,2,-9,3,3,0,-4,3,0
21,-7,5,3,-2,-6,4,-7,4,0,0,-7,2,-6,4,3,1,-6,2,-7,-34,1,-1,-8,4,-9,3,1,1,-6,3,-5,3,3,0,-6,3,-2
22,-7,3,3,0,-6,7,-8,4,-1,-1,-6,4,-7,1,2,-3,-5,3,-6,-35,4,-2,-6,4,-7,3,0,0,-6,6,-7,1,1,-2,-5,1,0
23,-8,1,3,1,-7,4,-5,3,2,-1,-5,4,-7,0,2,-3,-6,4,-8,-38,2,-1,-6,4,-5,3,0,-1,-7,5,-7,5,2,-4,-6,3,-1
24,-5,5,2,-2,-8,2,-5,0,1,1,-9,3,-7,0,-1,-2,-7,1,-7,-37,1,-1,-8,5,-8,2,3,-1,-9,4,-5,4,1,-1,-7,2,-1
25,-7,5,2,-1,-6,1,-8,4,3,-2,-4,3,-5,3,2,1,-6,4,-6,-36,0,0,-6,4,-6,4,5,-2,-8,4,-7,4,2,-3,-6,2,-1
26,-6,2,3,-3,-7,4,-5,3,1,0,-6,4,-6,1,3,-1,-6,4,-7,-34,3,1,-6,1,-7,6,1,-2,-5,1,-5,5,1,0,-6,4,-1
27,-7,3,3,0,-6,1,-5,2,2,1,-6,4,-7,3,3,-1,-5,2,-6,-36,2,-2,-7,1,-6,3,0,1,-6,1,-8,3,0,-2,-8,4,-2
28,-6,3,1,-1,-8,3,-7,0,3,-3,-3,6,-3,3,2,-1,-3,6,-7,-37,2,-2,-6,4,-7,3,3,-2,-6,2,-7,3,3,0,-6,5,0
29,-6,6,0,-2,-6,4,-5,3,1,-2,-7,1,-7,1,2,-1,-9,3,-8,-35,0,1,-6,4,-7,3,0,0,-6,3,-7,5,3,-1,-6,1,-2
30,-8,2,0,1,-6,4,-7,3,3,0,-7,3,-7,5,3,-2,-6,3,-7,-35,1,-1,-8,1,-6,3,3,-2,-5,3,-8,5,0,-2,-7,1,2
31,-7,3,2,0,-9,3,-6,2,2,0,-5,4,-7,3,2,0,-6,2,-6,-35,0,-1,-6,5,-5,3,2,-5,-6,5,-7,1,3,0,-6,4,-3
32,-7,3,3,1,-6,4,-7,3,3,-2,-6,3,-7,0,3,-2,-5,3,-5,-36,2,0,-6,4,-7,3,1,-2,-7,3,-6,2,2,-1,-8,2,-1
33,-7,2,2,0,-7,1,-6,5,1,1,-4,3,-8,3,0,-1,-6,6,-7,-35,2,1,-6,4,-4,5,3,0,-6,3,-6,3,1,-3,-8,4,-3
34,-5,1,4,0,-4,2,-6,3,1,-2,-9,3,-5,4,3,0,-7,3,-7,-36,0,-3,-9,4,-7,0,1,1,-6,3,-5,3,2,0,-6,4,-2
35,-6,3,1,0,-8,2,-9,4,2,-1,-7,4,-6,3,0,-2,-6,4,-6,-34,1,1,-5,4,-7,3,1,-1,-8,3,-7,3,0,-2,-6,4,-2
36,-6,3,0,-1,-6,1,-6,3,0,-1,-6,4,-7,3,2,-1,-5,4,-7,-36,0,0,-7,5,-7,2,-2,0,-6,4,-6,3,2,-1,-9,3,-1
