Index,TemperatureRaw16,VGNDRaw16
0,948,1
1,947,0
2,947,-1
3,946,1
4,951,0
5,947,-1
6,944,-2
7,942,0
8,931,-1
9,936,0
10,928,0
11,932,-2
12,940,-1
13,944,-1
14,949,-2
15,951,-1
16,946,0
17,956,-1
18,952,-1
19,957,1
20,949,-1
21,945,-2
22,953,2
23,932,-1
24,935,1
25,939,1
26,925,-2
27,936,-2
28,947,-1
29,951,0
30,957,0
31,956,0
32,955,0
33,955,1
34,949,0
35,940,0
36,939,0
37,935,-2
38,946,-2
39,937,-1
40,930,0
41,933,1
42,942,1
43,945,-3
44,953,0
45,958,0
46,969,1
47,961,-1
48,957,-1
49,943,-1
50,937,1
51,940,-2
52,940,-1
53,938,1
54,948,0
55,940,-2
56,953,-1
57,940,-2
58,944,0
59,955,1
60,952,-2
61,951,0
62,955,1
63,946,-2
64,942,0
65,937,-2
66,929,-2
67,938,-1
68,938,-2
69,949,-1
70,957,-2
71,946,0
72,936,-1
73,940,-1
74,943,-2
75,948,0
76,943,1
77,950,1
78,960,1
79,946,-1
80,942,0
81,943,1
82,940,-1
83,934,1
84,934,0
85,939,0
86,945,0
87,940,-2
88,937,-1
89,943,0
90,935,-1
91,950,0
92,962,2
93,955,1
94,961,0
95,940,0
96,938,-1
97,937,1
98,934,-2
99,938,0
100,934,1
101,933,-2
102,955,-2
103,949,0
104,942,-1
105,953,0
106,955,1
107,958,-1
108,963,-2
109,949,0
110,966,-2
111,948,0
112,934,0
113,928,0
114,928,0
115,929,-1
116,938,1
117,946,-1
118,963,2
119,960,-2
120,966,-1
121,950,-2
122,955,0
123,946,1
124,940,-1
125,938,-1
126,940,-2
127,934,0
128,922,1
129,932,0
130,940,-2
131,953,-2
132,956,-2
133,955,-1
134,967,-3
135,960,0
136,956,0
137,946,-2
138,940,1
139,935,-2
140,933,-2
141,933,1
142,938,1
143,943,0
144,936,-2
145,943,-1
146,952,1
147,956,-1
148,952,-2
149,952,1
150,966,-2
151,951,-2
152,952,-2
153,939,1
154,934,-2
155,934,-1
156,934,-1
157,946,-1
158,943,-1
159,943,0
160,945,-2
161,940,0
162,955,0
163,958,0
164,953,-2
165,952,-1
166,960,-1
167,947,0
168,946,-1
169,932,-2
170,931,0
171,935,-1
172,934,0
173,939,-1
174,952,0
175,949,0
176,947,0
177,946,-2
178,953,-2
179,947,-1
180,951,-2
181,957,-2
182,957,1
183,945,1
184,929,-1
185,931,-1
186,923,0
187,933,-2
188,929,1
189,943,1
190,960,0
191,955,1
192,955,-2
193,958,0
194,959,1
195,966,0
196,956,-1
197,949,-1
198,951,1
199,937,-1
200,929,0
201,920,-1
202,930,1
203,937,0
204,936,-2
205,949,-2
206,954,0
207,959,-1
208,960,-4
209,950,0
210,949,0
211,949,-1
212,935,-2
213,933,-1
214,935,-1
215,933,0
216,925,0
217,928,-1
218,948,0
219,958,0
220,955,0
221,960,0
222,980,1
223,962,1
224,951,-1
225,952,-1
226,934,-1
227,928,1
228,931,1
229,925,0
230,942,1
