Index,TemperatureRaw16,VGNDRaw16
0,782,-2
1,780,-2
2,793,1
3,783,0
4,786,1
5,791,2
6,800,0
7,803,2
8,795,-1
9,802,-2
10,804,-1
11,786,1
12,772,-2
13,775,-1
14,782,1
15,782,1
16,789,-2
17,791,-2
18,794,-2
19,799,1
20,790,1
21,796,1
22,807,1
23,801,-2
24,788,-2
25,789,-2
26,792,-1
27,789,-2
28,780,0
29,785,-1
30,791,-2
31,787,-1
32,792,-1
33,790,-1
34,798,0
35,802,-1
36,789,-1
37,800,1
38,795,0
39,798,-1
40,800,0
41,795,-2
42,798,-2
43,795,-1
44,790,-2
45,788,1
46,795,1
47,784,1
48,789,-2
49,800,0
50,800,-2
51,791,-1
52,792,0
53,798,-2
54,805,0
55,800,-2
56,800,0
57,805,-1
58,794,1
59,793,-2
60,780,-1
61,778,-2
62,789,1
63,783,-1
64,801,-1
65,792,0
66,799,-1
67,801,1
68,799,-1
69,798,0
70,815,0
71,794,1
72,792,0
73,785,1
74,786,-2
75,780,1
76,773,-1
77,783,-2
78,795,-1
79,795,-1
80,796,-1
81,801,-1
82,810,-2
83,798,0
84,801,0
85,792,1
86,792,-4
87,784,0
88,781,1
89,784,-2
90,794,-2
91,788,-2
92,777,-2
93,792,-1
94,798,0
95,802,0
96,800,-2
97,800,0
98,811,-2
99,804,0
100,788,1
101,780,-3
102,786,1
103,787,0
104,785,1
105,789,-2
106,785,-2
107,795,-1
108,789,0
109,796,-2
110,793,1
111,800,0
112,795,-2
113,800,1
114,810,0
115,798,1
116,777,1
117,786,-1
118,795,1
119,780,-2
120,783,-1
121,785,1
122,794,0
123,791,-2
124,784,-1
125,792,-2
126,807,0
127,805,1
128,798,-1
129,796,-2
130,801,0
131,783,1
132,779,-1
133,778,1
134,786,0
135,771,1
136,786,-1
137,780,-2
138,813,0
139,807,-2
140,804,1
141,801,1
142,809,0
143,795,1
144,803,1
145,791,0
146,795,0
147,777,1
148,768,2
149,777,-1
150,789,-1
151,792,1
152,790,-1
153,808,1
154,819,-1
155,801,-1
156,809,1
157,801,-2
158,806,-2
159,791,-1
160,791,1
161,788,0
162,785,-1
163,780,-1
164,779,-2
165,792,-1
166,803,-1
167,804,-2
168,804,-2
169,814,-1
170,819,1
171,810,0
172,798,-1
173,790,1
174,780,1
175,783,2
176,777,1
177,782,1
178,790,-1
179,794,-1
180,786,0
181,805,0
182,813,0
183,813,1
184,808,1
185,813,1
186,804,1
187,792,0
188,786,-2
189,784,0
190,786,0
191,774,-1
192,791,1
193,794,-2
194,802,-2
195,804,0
196,806,0
197,798,-2
198,805,1
199,810,0
200,802,-1
201,798,-2
202,790,-1
203,793,-3
204,778,-1
205,789,-1
206,786,0
207,792,1
208,791,-1
209,803,-2
210,814,0
211,805,0
212,794,0
213,804,0
214,800,1
215,798,0
216,800,0
217,800,1
218,794,1
219,786,1
220,784,0
221,788,-1
222,793,-1
223,788,-1
224,793,0
225,800,-1
226,812,1
227,798,-2
228,798,-2
229,796,2
230,802,0
231,795,-2
232,792,-1
233,784,1
234,795,-1
235,786,0
236,774,1
237,787,-1
238,801,-2
239,795,0
240,796,-2
241,803,0
242,809,1
243,808,1
244,793,0
245,789,1
246,786,-2
247,780,0
248,787,-1
249,784,-2
250,788,0
251,789,-2
252,790,-1
253,798,-1
254,807,-1
255,813,-2
256,804,0
257,807,1
258,810,0
259,804,-1
260,789,-1
261,783,-2
262,786,0
263,774,0
264,783,0
265,798,-1
266,800,1
267,801,1
268,795,-1
269,798,1
270,809,-1
271,801,1
272,796,-2
273,797,0
274,801,-2
275,787,0
276,780,-1
277,785,0
278,792,-1
279,794,-1
280,796,-1
281,799,0
282,806,-1
283,801,1
284,799,0
285,791,1
286,800,1
287,789,1
288,798,1
289,795,-2
290,792,0
291,810,-1
292,790,-1
293,785,0
294,797,0
295,789,-2
296,792,-2
297,788,0
298,805,0
299,788,-2
300,789,-1
301,791,0
302,791,0
303,798,0
304,789,2
305,792,0
306,801,-1
307,794,0
308,786,0
309,793,-1
310,803,0
311,792,1
312,795,1
313,794,0
314,801,-1
315,801,-1
316,792,-2
317,798,-1
318,801,1
319,802,1
320,798,0
321,804,0
322,803,-1
323,788,-2
324,784,-1
325,786,-2
326,789,-2
327,791,1
328,793,1
329,800,2
330,802,0
331,805,-1
332,799,0
333,800,1
334,805,-2
335,796,-2
336,795,2
337,795,-2
338,789,-2
339,789,1
340,781,-2
341,789,-1
342,803,-1
343,804,-2
344,797,-2
345,808,-1
346,820,-2
347,804,1
348,801,-2
349,796,0
350,793,-1
351,788,1
352,784,-2
353,783,-1
354,789,0
355,789,-2
356,783,0
357,803,1
358,807,0
359,804,-2
360,808,2
361,805,-2
362,808,-2
363,798,-1
364,788,-1
365,786,-1
366,786,3
367,789,0
368,789,-1
369,788,1
370,803,0
371,795,-2
372,792,0
373,801,-1
374,804,-2
375,795,-2
376,797,-2
377,804,-2
378,803,-1
379,794,0
380,780,0
381,794,-1
382,787,-2
383,783,0
384,786,2
385,792,0
386,801,0
387,804,-1
388,804,0
389,799,0
390,807,0
391,804,0
392,800,0
393,797,0
394,800,0
395,785,0
396,772,-2
397,779,0
398,780,-2
399,786,0
400,784,1
401,797,0
402,808,0
403,804,-2
404,803,0
405,813,-1
406,808,0
407,795,0
408,795,0
409,801,1
410,796,-1
411,789,-2
412,777,0
413,782,0
414,787,0
415,789,0
416,805,-2
417,809,-1
418,824,-1
419,818,0
420,810,0
421,798,1
422,805,1
423,775,0
424,786,0
425,772,0
426,789,0
427,784,-1
428,775,0
429,798,-2
430,802,1
431,814,0
432,815,-1
433,818,0
434,816,0
435,809,0
436,795,0
437,777,1
438,773,-2
439,768,0
440,772,0
441,781,0
442,789,-1
443,808,1
444,792,-1
445,801,-2
446,813,2
447,818,-1
448,813,-2
449,807,1
450,802,0
451,789,-1
452,777,-1
453,774,0
454,783,0
455,785,-2
456,787,0
457,798,1
458,806,0
459,801,-1
460,810,-1
461,799,-1
462,806,0
463,808,-2
464,796,-2
465,782,0
466,788,0
467,776,-2
468,777,1
469,787,-2
470,786,1
471,794,-2
472,798,1
473,799,2
474,813,0
475,804,-2
476,790,1
477,798,0
478,798,1
479,782,0
480,796,-1
481,790,1
482,795,-1
483,792,-1
484,786,-2
485,790,-1
486,789,-3
487,794,-2
488,810,1
489,800,-1
490,813,-1
491,805,2
492,798,1
493,789,0
494,796,2
495,789,-1
496,791,0
497,790,-2
498,802,-1
499,791,0
500,788,-1
501,789,1
502,803,-2
503,801,0
504,809,1
505,813,1
506,815,-1
507,803,0
508,796,-1
509,793,0
510,795,1
511,786,0
512,790,1
513,788,0
514,806,-1
515,816,-1
516,816,0
517,831,1
518,838,-1
519,848,0
520,851,1
521,849,1
522,862,-1
523,851,-1
524,842,0
525,845,-1
526,853,0
527,843,1
528,854,0
529,854,0
530,866,1
531,875,-1
532,869,-1
533,867,1
534,875,-1
535,877,-2
536,873,-1
537,873,-1
538,875,0
539,860,0
540,853,-2
541,860,0
542,866,-1
543,880,-1
544,871,-1
545,868,0
546,892,-2
547,878,-2
548,869,-2
549,873,-4
550,874,0
551,870,1
552,875,-1
553,865,0
554,870,1
555,866,1
556,864,-1
