Index,TemperatureRaw16,VGNDRaw16
0,618,0
1,615,-1
2,612,-2
3,611,-1
4,608,-1
5,589,-1
6,591,-1
7,587,-2
8,577,-1
9,571,0
10,576,0
11,585,-1
12,607,-1
13,608,-1
14,615,-1
15,612,0
16,610,-2
17,610,-2
18,607,1
19,600,-2
20,595,0
21,589,-1
22,579,-1
23,584,1
24,580,-1
25,590,0
26,597,-1
27,604,-2
28,613,0
29,612,1
30,617,1
31,605,-1
32,612,1
33,588,-1
34,598,-2
35,599,1
36,594,-3
37,591,-1
38,586,-3
39,587,1
40,586,0
41,588,-1
42,603,-1
43,602,0
44,620,1
45,610,0
46,609,0
47,609,-2
48,607,-1
49,604,1
50,599,-2
51,588,0
52,589,-1
53,582,-2
54,571,-2
55,579,-1
56,588,0
57,605,-1
58,600,-2
59,610,-2
60,611,-1
61,623,0
62,616,-1
63,606,2
64,591,0
65,578,0
66,584,1
67,572,-2
68,572,0
69,576,2
70,583,-2
71,591,0
72,606,-4
73,612,-2
74,619,-2
75,621,-2
76,615,0
77,611,2
78,600,1
79,574,1
80,576,-2
81,569,1
82,561,-2
83,567,1
84,580,-2
85,609,0
86,609,0
87,616,-2
88,616,1
89,623,-1
90,628,-1
91,615,-2
92,594,-2
93,593,2
94,581,-1
95,577,1
96,569,0
97,579,-2
98,580,-1
99,597,0
100,615,-1
101,615,0
102,620,3
103,610,0
104,603,-2
105,606,-1
106,588,1
107,588,-1
108,587,1
109,574,-1
110,583,-1
111,576,-1
112,586,1
113,585,-1
114,599,0
115,618,-2
116,621,1
117,610,-1
118,606,1
119,600,-2
120,596,-2
121,585,0
122,585,-1
123,591,0
124,594,1
125,585,2
126,584,1
127,594,-2
128,603,-3
129,606,1
130,608,-2
131,609,-2
132,600,-1
133,606,1
134,597,-2
135,594,-1
136,597,-2
137,600,-1
138,591,0
139,595,-1
140,597,0
141,594,-3
142,594,-2
143,588,-2
144,578,-2
145,597,-2
146,606,0
147,602,-1
148,610,-1
149,613,-1
150,603,-1
151,601,1
152,595,-1
153,595,-2
154,596,-1
155,586,-1
156,579,1
157,582,1
158,585,1
159,594,0
160,591,0
161,602,-2
162,612,-2
163,611,0
164,619,-1
165,611,-1
166,599,-1
167,591,-1
168,575,1
169,578,1
170,581,-1
171,579,0
172,584,-2
173,596,-2
174,605,-1
175,607,-2
176,603,-1
177,617,-3
178,615,-2
179,608,2
180,597,-1
181,587,-1
182,581,-2
183,579,0
184,576,0
185,570,0
186,570,-2
187,601,0
188,609,-2
189,608,0
190,604,0
191,621,-2
192,613,-2
193,609,1
194,601,1
195,597,1
196,589,-2
197,573,-1
198,565,0
199,576,0
200,573,-2
201,582,-1
202,600,-2
203,606,1
204,615,-1
205,619,1
206,607,1
207,611,1
208,593,1
209,590,0
210,579,0
211,590,-1
212,591,0
213,579,-1
214,576,1
215,581,0
216,586,0
217,600,1
218,598,0
219,615,-1
220,615,-2
221,609,-1
222,610,-1
223,591,0
224,585,0
225,593,-1
226,597,-2
227,586,-3
228,591,-2
229,588,-2
230,582,0
231,583,-2
232,591,-2
233,597,-1
234,597,1
235,610,-1
236,609,-2
237,610,1
238,603,-3
239,596,-2
240,594,1
241,590,0
242,585,0
243,584,-2
244,576,-2
245,574,0
246,585,1
247,591,-1
248,602,-2
249,612,-2
250,614,0
251,619,-1
252,626,-1
253,606,0
254,594,1
255,588,1
256,576,-1
257,571,-2
258,570,-2
259,576,-1
260,582,-1
261,603,-2
262,597,-2
263,617,1
264,622,0
265,618,-2
266,621,-3
267,619,-2
268,604,-2
269,576,0
270,570,-1
271,570,-2
272,564,0
273,567,0
274,581,-1
275,598,-4
276,609,-1
277,622,1
278,623,-2
279,624,0
280,624,-1
281,603,0
282,595,-1
283,586,1
284,570,1
285,576,1
286,561,-1
287,567,-2
288,582,1
289,594,-2
290,609,-2
291,627,0
292,630,1
293,623,1
294,626,-2
295,613,-1
296,600,-2
297,585,-2
298,579,0
299,568,-2
300,572,1
301,585,-2
302,588,0
303,594,1
304,608,1
305,617,-1
306,621,-2
307,623,0
308,617,0
309,612,0
310,601,2
311,592,-1
312,582,0
313,581,-2
314,580,-1
315,583,0
316,595,1
317,594,0
318,602,1
319,609,0
320,611,-3
321,618,0
322,610,1
323,609,-2
324,606,0
325,602,-1
326,591,0
327,576,1
328,591,1
329,581,0
330,584,-1
331,599,-1
332,590,0
333,602,-1
334,606,-1
335,603,-2
336,603,0
337,601,0
338,608,-2
339,615,0
340,613,-2
341,594,-2
342,585,-1
343,583,-2
344,590,-1
345,586,0
346,581,0
347,597,-1
348,598,-2
349,599,0
350,609,-1
351,607,-2
352,612,-2
353,607,0
354,609,-2
355,611,-2
356,592,0
357,583,-1
358,579,-2
359,578,-1
360,573,1
361,579,0
362,589,1
363,605,-2
364,619,0
365,616,1
366,626,-2
367,618,0
368,609,-2
369,603,-2
370,595,-2
371,583,0
372,585,-2
373,578,0
374,578,0
375,580,0
376,592,-2
377,600,0
378,609,1
379,616,1
380,621,1
381,614,1
382,606,-1
383,593,-1
384,584,0
385,582,0
386,576,-1
387,579,-2
388,582,1
389,588,1
390,592,-1
391,601,-2
392,606,0
393,616,2
394,612,2
395,611,-2
396,603,0
397,595,-2
398,592,0
399,585,-2
400,585,-1
401,581,0
402,589,-1
403,598,-2
404,607,-1
405,600,-2
406,600,-1
407,606,0
408,596,1
409,596,1
410,595,0
411,597,-1
412,603,1
413,588,-1
414,591,0
415,583,0
416,592,-2
417,591,-1
418,589,2
419,598,-1
420,597,-1
421,596,-1
422,585,-2
423,588,-1
424,604,-1
425,591,1
426,600,1
427,597,1
428,608,1
429,605,1
430,594,-1
431,591,1
432,588,1
433,588,-1
434,578,-1
435,589,-2
436,589,-2
437,594,-3
438,595,-1
439,603,0
440,608,-1
441,605,1
442,616,-2
443,603,-2
444,600,-2
445,597,-1
446,588,-2
447,585,-1
448,573,0
449,573,-1
450,587,1
451,593,1
452,606,1
453,603,1
454,609,-1
455,608,-1
456,612,-1
457,608,-1
458,605,-1
459,596,-1
460,585,-1
461,596,-1
462,577,-1
463,575,-2
464,576,1
465,588,-2
466,610,-2
467,614,0
468,618,-2
469,624,1
470,619,1
471,609,-2
472,594,-1
473,577,1
474,581,0
475,587,-2
476,576,0
477,576,0
478,585,-1
479,594,-2
480,609,-1
481,616,-1
482,612,1
483,607,1
484,612,-2
485,607,-2
486,591,0
487,595,-2
488,575,0
489,576,0
490,582,-1
491,580,-2
492,585,1
493,591,0
494,594,-3
495,605,-2
496,601,1
497,605,-2
