Index,TemperatureRaw16,VGNDRaw16
0,800,0
1,811,0
2,819,0
3,822,-2
4,836,1
5,828,1
6,827,-1
7,822,1
8,820,-1
9,827,1
10,810,-2
11,817,-2
12,808,-1
13,804,-1
14,810,1
15,813,1
16,816,-2
17,821,0
18,833,1
19,837,-2
20,828,0
21,823,1
22,819,0
23,815,-2
24,826,-1
25,804,1
26,811,0
27,824,0
28,807,0
29,812,-1
30,810,-2
31,813,-1
32,822,1
33,824,0
34,820,1
35,840,2
36,827,-2
37,818,1
38,814,1
39,813,-1
40,816,-1
41,813,1
42,808,0
43,819,0
44,817,-3
45,807,-2
46,815,-2
47,810,-2
48,824,-2
49,830,-2
50,828,1
51,840,1
52,830,-2
53,823,-2
54,808,1
55,806,-2
56,810,1
57,804,1
58,802,-2
59,816,0
60,816,-2
61,814,-2
62,820,0
63,814,0
64,827,-1
65,834,-2
66,836,-1
67,823,1
68,813,-1
69,813,-2
70,802,0
71,796,-1
72,798,0
73,801,-2
74,804,0
75,824,-2
76,824,-1
77,827,1
78,830,-2
79,842,1
80,838,0
81,828,-2
82,816,1
83,816,0
84,804,0
85,792,-1
86,796,1
87,806,0
88,816,-2
89,824,-2
90,823,-1
91,842,0
92,839,0
93,843,0
94,827,1
95,817,0
96,822,-1
97,803,0
98,807,-3
99,810,0
100,802,0
101,800,-2
102,812,0
103,813,-2
104,830,-2
105,839,-2
106,835,1
107,834,-2
108,835,1
109,822,0
110,814,0
111,808,-2
112,804,1
113,807,-2
114,803,2
115,813,-1
116,814,0
117,814,1
118,820,1
119,823,0
120,830,-2
121,836,-2
122,825,-1
123,833,0
124,822,-2
125,814,0
126,804,-1
127,802,-2
128,807,-2
129,810,0
130,804,-1
131,823,0
132,820,-2
133,828,-1
134,816,-1
135,820,-1
136,822,-2
137,818,-2
138,821,0
139,832,-2
140,822,1
141,813,1
142,810,0
143,806,-1
144,818,0
145,812,1
146,819,-2
147,831,-1
148,827,-1
149,822,1
150,821,-3
151,822,-2
152,822,-2
153,822,0
154,816,1
155,819,-2
156,811,-2
157,808,-1
158,803,-1
159,798,-1
160,804,1
161,811,-2
162,815,-1
163,839,-1
164,832,0
165,826,-1
166,824,0
167,821,0
168,823,0
169,819,1
170,796,1
171,804,-2
172,804,-1
173,813,-1
174,807,0
175,807,0
176,813,1
177,824,2
178,824,-1
179,843,1
180,829,-1
181,833,0
182,821,-1
183,812,0
184,806,0
185,804,-1
186,810,-1
187,815,-1
188,809,1
189,813,-2
190,810,-2
191,816,-1
192,835,-2
193,833,-2
194,832,-1
195,835,1
196,825,-1
197,823,0
198,811,-1
199,807,-2
200,813,0
201,809,0
202,819,1
203,819,-1
204,822,2
205,820,-1
206,817,1
207,826,0
208,820,-1
209,819,-2
210,820,0
211,823,0
212,819,-1
213,813,0
214,810,-2
215,814,-2
216,809,0
217,811,-2
218,813,0
219,818,-2
220,819,0
221,823,-1
222,818,0
223,813,0
224,821,0
225,813,-1
226,824,0
227,839,-2
228,825,0
229,816,1
230,806,0
231,815,-1
232,815,-1
233,808,-1
234,816,0
235,827,-1
236,815,1
237,822,1
238,819,-2
239,824,-2
240,829,-1
241,828,-1
242,823,2
243,824,-2
244,823,1
245,811,-2
246,806,1
247,802,0
248,804,0
249,807,-2
250,819,-2
251,825,-2
252,830,-1
253,828,0
254,829,-1
255,821,-2
256,827,-2
257,820,1
258,812,-2
259,812,0
260,807,-2
261,811,-1
262,798,-2
263,812,1
264,813,0
265,826,0
