time_s,temperature_c,temperature_fit_c,temperature_normalized,raw_signal_adc,offset_raw16,contact_index,contact_time_s,contact_rise_frames,corrected_raw16,thermocouple_mV,total_mV_after_cold_junction
0.0,25.0,24.537859,-0.0,125.005076,125.005076,197,0.494123,2,0.0,0.0,0.992
0.000877,24.932265,24.519015,0.001519672,120.0,125.005076,197,0.494123,2,-5.005076,-0.002777142,0.989222858
0.003377,24.972865,24.499759,0.003072573,123.0,125.005076,197,0.494123,2,-2.005076,-0.001112547,0.990887453
0.005877,25.067598,24.479284,0.004723802,130.0,125.005076,197,0.494123,2,4.994924,0.002771509,0.994771509
0.008377,25.054064,24.460165,0.006265626,129.0,125.005076,197,0.494123,2,3.994924,0.002216644,0.994216644
0.010877,24.851065,24.439824,0.007906049,114.0,125.005076,197,0.494123,2,-11.005076,-0.006106332,0.985893668
0.013377,24.837532,24.418813,0.009600501,113.0,125.005076,197,0.494123,2,-12.005076,-0.006661197,0.985338803
0.015877,24.864598,24.39673,0.011381401,115.0,125.005076,197,0.494123,2,-10.005076,-0.005551467,0.986448533
0.018377,24.769865,24.375317,0.013108272,108.0,125.005076,197,0.494123,2,-17.005076,-0.009435523,0.982564477
0.020877,24.905198,24.352966,0.014910783,118.0,125.005076,197,0.494123,2,-7.005076,-0.003886872,0.988113128
0.023377,24.783399,24.329543,0.016799743,109.0,125.005076,197,0.494123,2,-16.005076,-0.008880657,0.983119343
0.025877,24.742799,24.306924,0.018623867,106.0,125.005076,197,0.494123,2,-19.005076,-0.010545253,0.981454747
0.028377,24.620999,24.283233,0.020534438,97.0,125.005076,197,0.494123,2,-28.005076,-0.015539038,0.976460962
0.030877,24.404466,24.26048,0.022369368,81.0,125.005076,197,0.494123,2,-44.005076,-0.024416879,0.967583121
0.033377,24.485666,24.235851,0.024355581,87.0,125.005076,197,0.494123,2,-38.005076,-0.021087689,0.970912311
0.035877,24.580399,24.212428,0.02624454,94.0,125.005076,197,0.494123,2,-31.005076,-0.017203633,0.974796367
0.038377,24.418,24.189273,0.028111888,82.0,125.005076,197,0.494123,2,-43.005076,-0.023862014,0.968137986
0.040877,24.3774,24.163304,0.03020616,79.0,125.005076,197,0.494123,2,-46.005076,-0.025526609,0.966473391
0.043377,24.120267,24.136934,0.032332851,60.0,125.005076,197,0.494123,2,-65.005076,-0.036069045,0.955930955
0.045877,24.269133,24.111769,0.034362288,71.0,125.005076,197,0.494123,2,-54.005076,-0.02996553,0.96203447
0.048377,24.363866,24.08446,0.03656462,78.0,125.005076,197,0.494123,2,-47.005076,-0.026081474,0.965918526
0.050877,24.2556,24.059027,0.038615669,70.0,125.005076,197,0.494123,2,-55.005076,-0.030520395,0.961479605
0.053377,24.242067,24.03346,0.040677523,69.0,125.005076,197,0.494123,2,-56.005076,-0.03107526,0.96092474
0.055877,24.012001,24.00709,0.042804214,52.0,125.005076,197,0.494123,2,-73.005076,-0.040507966,0.951492034
0.058377,24.079667,23.980719,0.044930904,57.0,125.005076,197,0.494123,2,-68.005076,-0.03773364,0.95426636
0.060877,23.984558,23.954214,0.047068401,50.0,125.005076,197,0.494123,2,-75.005076,-0.041617696,0.950382304
0.063377,24.1744,23.928245,0.049162673,64.0,125.005076,197,0.494123,2,-61.005076,-0.033849585,0.958150415
0.065877,24.106734,23.901338,0.051332587,59.0,125.005076,197,0.494123,2,-66.005076,-0.03662391,0.95537609
0.068377,23.83197,23.873226,0.053599755,39.0,125.005076,197,0.494123,2,-86.005076,-0.047721211,0.944278789
0.070877,23.859713,23.845381,0.055845311,41.0,125.005076,197,0.494123,2,-84.005076,-0.046611481,0.945388519
0.073377,23.887456,23.816866,0.058144897,43.0,125.005076,197,0.494123,2,-82.005076,-0.045501751,0.946498249
0.075877,23.887456,23.788217,0.060455288,43.0,125.005076,197,0.494123,2,-82.005076,-0.045501751,0.946498249
0.078377,23.790355,23.759837,0.062744068,36.0,125.005076,197,0.494123,2,-89.005076,-0.049385807,0.942614193
0.080877,23.66551,23.729978,0.065152019,27.0,125.005076,197,0.494123,2,-98.005076,-0.054379592,0.937620408
0.083377,23.66551,23.701866,0.067419187,27.0,125.005076,197,0.494123,2,-98.005076,-0.054379592,0.937620408
0.085877,23.720997,23.671458,0.069871442,31.0,125.005076,197,0.494123,2,-94.005076,-0.052160132,0.939839868
0.088377,23.526794,23.640226,0.072390154,17.0,125.005076,197,0.494123,2,-108.005076,-0.059928243,0.932071757
0.090877,23.66551,23.610639,0.074776187,27.0,125.005076,197,0.494123,2,-98.005076,-0.054379592,0.937620408
0.093377,23.679382,23.579957,0.077250595,28.0,125.005076,197,0.494123,2,-97.005076,-0.053824727,0.938175273
0.095877,23.554537,23.549274,0.079725002,19.0,125.005076,197,0.494123,2,-106.005076,-0.058818513,0.933181487
0.098377,23.526794,23.518455,0.082210486,17.0,125.005076,197,0.494123,2,-108.005076,-0.059928243,0.932071757
0.100877,23.471307,23.486399,0.084795655,13.0,125.005076,197,0.494123,2,-112.005076,-0.062147703,0.929852297
0.103377,23.277105,23.455442,0.087292214,-1.0,125.005076,197,0.494123,2,-126.005076,-0.069915814,0.922084186
0.105877,23.554537,23.424484,0.089788774,19.0,125.005076,197,0.494123,2,-106.005076,-0.058818513,0.933181487
0.108377,23.290976,23.392291,0.092385019,0.0,125.005076,197,0.494123,2,-125.005076,-0.069360949,0.922639051
0.110877,23.415821,23.360235,0.094970187,9.0,125.005076,197,0.494123,2,-116.005076,-0.064367163,0.927632837
0.113377,23.193875,23.327355,0.097621813,-7.0,125.005076,197,0.494123,2,-132.005076,-0.073245004,0.918754996
