point,file,target_temperature_c,T_liquid_c,T_jaw0_c,T_env_c,diff_model,c1,c2,c3
P2,TempFit_Tenv24C_Tliquid2C_Tgripper13p8C_Temp_AD2_20260510_140942.csv,2.0,2.0,13.8,24.0,x(1-x)(c1+c2*x+c3*x^2),0.027989982660481437,-0.04147481493177743,-0.14705891090858836
P2,TempFit_Tenv22C_Tliquid2p6C_Tgripper21C_Temp_AD2_20260510_224818.csv,2.6,2.6,21.0,22.0,x(1-x)(c1+c2*x+c3*x^2),0.21963621743898354,-2.006918502577416,2.6111358880785973
P2,TempFit_Tenv22C_Tliquid3p3C_Tgripper23p6C_Temp_AD2_20260511_182440.csv,3.3,3.3,23.6,22.0,x(1-x)(c1+c2*x+c3*x^2),0.09359404805956971,-1.1413808810261787,1.5647358242770308
P2,TempFit_Tenv22C_Tliquid6p4C_Tgripper21p1C_Temp_AD2_20260511_183152.csv,6.4,6.4,21.1,22.0,x(1-x)(c1+c2*x+c3*x^2),0.34082625958978674,-1.8267591705375894,2.120701310106655
P2,TempFit_Tenv22C_Tliquid8p3C_Tgripper20p8C_Temp_AD2_20260511_184135.csv,8.3,8.3,20.8,22.0,x(1-x)(c1+c2*x+c3*x^2),0.40813291257553674,-2.7810674484720335,3.511492726546779
P2,TempFit_Tenv22C_Tliquid55p1C_Tgripper28p3C_Temp_AD2_20260511_181621.csv,55.1,55.1,28.3,22.0,x(1-x)(c1+c2*x+c3*x^2),-0.004778501762973931,-0.3961211158440802,0.5667135782756499
P2,TempFit_Tenv22p8C_Tliquid58p4C_Tgripper30p1C_Temp_AD2_20260510_234118.csv,58.4,58.4,30.1,22.8,x(1-x)(c1+c2*x+c3*x^2),0.27055193735715444,-1.342895099203161,1.4655643283233535
P2,TempFit_Tenv22C_Tliquid66p2C_Tgripper29p2C_Temp_AD2_20260511_181009.csv,66.2,66.2,29.2,22.0,x(1-x)(c1+c2*x+c3*x^2),0.01432938409131615,-0.2866977505567467,0.39636817725074863
P2,TempFit_Tenv22C_Tliquid77C_Tgripper23p7C_Temp_AD2_20260511_180246.csv,77.0,77.0,23.7,22.0,x(1-x)(c1+c2*x+c3*x^2),0.07460541969289736,-0.6329123227931934,0.8257640998801962
P2,TempFit_Tenv24C_Tliquid77p5C_Tgripper40p9C_Temp_AD2_20260510_114039.csv,77.5,77.5,40.9,24.0,x(1-x)(c1+c2*x+c3*x^2),-0.017754831088095457,-0.5216745112145723,0.9084393245819203
P2,TempFit_Tenv24C_Tliquid78C_Tgripper30p8C_Temp_AD2_20260510_111058.csv,78.0,78.0,30.8,24.0,x(1-x)(c1+c2*x+c3*x^2),0.43841467929232464,-2.7100462766235895,2.997548513133607
P2,TempFit_Tenv24C_Tliquid82p9C_Tgripper44p2C_Temp_AD2_20260510_113802.csv,82.9,82.9,44.2,24.0,x(1-x)(c1+c2*x+c3*x^2),0.26619638881438945,-1.803407798252986,2.2953618054492395
