Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
200ml,VET6_8chips_raw_stream_20260525_235425.bin,1,-761.946065,-1701.362269,-2856.397016,-2625.364017,-1748.096399,-1063.376235,0.442131,-0.151668,-0.580741,-1.344446,0.003098,-2.170046,0.108649,0.163889,0.040278,0.929167,0.937500,1.110417,0.697222,-753.783102,-779.258565,-746.183359,-681.782690,-915.302726,-1064.067284,-1.068709,-0.009609,-0.782561,-0.301540,-0.973375,0.518552,-0.653723,-0.315278,-0.382639,-0.686806,0.215972,0.709028,0.532639,1019,155.487061,1661,253.448486,1919,292.816162,2194,334.777832,-28151,-4295.501709,173,26.397705,-27857,-4250.640869,995,151.824951
200ml,VET6_8chips_raw_stream_20260525_235425.bin,2,-762.026312,-1706.282022,-2856.773560,-2626.870190,-1748.090226,-1064.079938,0.615047,0.603683,0.072400,0.424315,-0.465690,0.194035,-0.003264,-0.002778,0.706944,-0.070833,0.770833,0.777083,0.197222,-755.597917,-777.443750,-743.078421,-680.381456,-914.203961,-1059.857407,0.916565,0.440930,-0.320083,0.351602,0.701303,0.790390,0.642306,0.184722,-0.382639,-0.353472,-0.617361,0.042361,0.365972,1022,155.944824,1671,254.974365,1925,293.731689,2185,333.404541,-28158,-4296.569824,177,27.008057,-27862,-4251.403809,990,151.062012
200ml,VET6_8chips_raw_stream_20260525_235425.bin,3,-766.334954,-1708.473380,-2854.977263,-2621.561548,-1744.898868,-1059.172531,-0.629602,0.603683,-0.311980,-0.075685,0.089556,-1.116562,0.404678,-0.002778,-0.293056,0.262500,1.104167,0.943750,0.197222,-754.289275,-778.252392,-744.078421,-684.560468,-923.524949,-1068.851235,0.605969,0.473904,-0.166941,0.735982,-0.370430,0.876848,-0.061665,0.018056,0.284028,-0.186806,0.215972,0.209028,-0.134028,1027,156.707764,1659,253.143311,1913,291.900635,2192,334.472656,-28149,-4295.196533,166,25.329590,-27859,-4250.946045,992,151.367188
200ml,VET6_8chips_raw_stream_20260525_235425.bin,4,-762.334954,-1704.473380,-2853.267387,-2628.271425,-1749.188992,-1063.475000,-0.456686,-0.515749,0.572400,-0.960066,-0.241552,-0.892423,-0.483409,0.497222,0.706944,0.762500,0.437500,0.610417,-0.136111,-760.400386,-781.641281,-746.775952,-685.869110,-922.716307,-1063.740123,0.188403,0.646820,-0.435702,0.120362,0.548897,-0.433749,0.826421,-0.148611,-0.049306,-0.020139,-0.617361,-0.457639,-0.300694,1022,155.944824,1669,254.669189,1928,294.189453,2200,335.693359,-28157,-4296.417236,181,27.618408,-27864,-4251.708984,994,151.672363
200ml,VET6_8chips_raw_stream_20260525_235425.bin,5,-761.446065,-1700.862269,-2851.378498,-2626.357845,-1750.602572,-1063.567593,0.561563,0.087196,-0.311980,-0.344446,-0.704554,0.385200,-0.207235,-0.669444,-0.126389,0.095833,-0.562500,0.110417,-0.802778,-759.999151,-781.542515,-750.683359,-686.264172,-924.321245,-1068.147531,0.035997,0.076849,-0.588843,0.389123,0.668329,-0.314317,0.438335,0.518056,0.784028,0.979861,-0.284028,-0.290972,-0.300694,1018,155.334473,1664,253.906250,1918,292.663574,2189,334.014893,-28149,-4295.196533,171,26.092529,-27855,-4250.335693,993,151.519775
200ml,VET6_8chips_raw_stream_20260525_235425.bin,6,-759.736188,-1701.572145,-2856.304424,-2622.555376,-1747.405041,-1062.172531,0.337424,0.278361,0.572400,0.193076,0.017823,-0.931182,0.200707,-0.336111,-0.459722,-0.237500,-0.729167,-0.222917,0.363889,-758.795448,-781.246219,-745.473483,-683.257999,-922.827418,-1065.542593,0.241888,0.698042,-0.051322,-0.917159,-0.800459,-0.792045,-0.153723,0.351389,0.450694,1.313194,1.715972,0.709028,0.699306,1024,156.250000,1666,254.211426,1923,293.426514,2194,334.777832,-28151,-4295.501709,183,27.923584,-27856,-4250.488281,988,150.756836
200ml,VET6_8chips_raw_stream_20260525_235425.bin,7,-760.946065,-1700.362269,-2858.008128,-2624.561548,-1747.898868,-1060.166358,-0.438437,0.087196,-0.965121,0.039934,-0.029876,-0.289478,0.200707,-0.169444,-0.126389,-0.070833,0.104167,-0.056250,-0.802778,-759.104090,-779.437577,-746.979655,-687.572814,-923.512603,-1060.227778,0.964265,-0.750235,0.870581,0.004743,-0.059833,-0.400775,-0.469607,-0.815278,-0.382639,-0.520139,-1.117361,-0.957639,-0.467361,1027,156.707764,1663,253.753662,1920,292.968750,2186,333.557129,-28159,-4296.722412,175,26.702881,-27864,-4251.708984,991,151.214600
200ml,VET6_8chips_raw_stream_20260525_235425.bin,8,-762.439892,-1703.368441,-2852.403189,-2617.438092,-1746.522325,-1060.265123,0.648021,0.451277,0.188020,-0.960066,0.208988,-0.892423,0.496736,0.163889,0.540278,-0.404167,0.437500,0.110417,-0.136111,-758.492978,-781.548688,-747.572248,-686.350592,-927.734825,-1064.221605,-0.447516,0.784500,-1.088843,1.351602,0.151842,1.393335,0.550248,1.018056,0.784028,-0.186806,0.382639,0.542361,1.032639,1027,156.707764,1665,254.058838,1919,292.816162,2193,334.625244,-28152,-4295.654297,186,28.381348,-27855,-4250.335693,989,150.909424
200ml,VET6_8chips_raw_stream_20260525_235425.bin,9,-761.051003,-1699.257330,-2854.409362,-2622.154141,-1747.306276,-1061.771296,-0.146089,0.158929,0.072400,-0.228827,-0.188067,0.451147,0.108649,0.330556,0.373611,-0.070833,-0.395833,-0.056250,-1.636111,-759.900386,-781.141281,-747.473483,-686.548122,-928.537294,-1065.622840,0.241888,-0.194989,-0.051322,-0.301540,0.614845,-0.573692,0.346277,0.684722,0.617361,-1.520139,-1.117361,0.042361,0.532639,1021,155.792236,1664,253.906250,1932,294.799805,2190,334.167480,-28154,-4295.959473,184,28.076172,-27858,-4250.793457,1004,153.198242
200ml,VET6_8chips_raw_stream_20260525_235425.bin,10,-759.248534,-1698.059799,-2849.687140,-2625.666487,-1747.793930,-1058.462654,0.734479,1.206628,0.803639,0.193076,0.811933,-0.633049,0.996736,-0.002778,-0.293056,-0.404167,0.104167,-0.556250,-0.136111,-758.492978,-781.548688,-748.677186,-687.054295,-927.531121,-1065.326543,-1.140442,-0.162015,0.486200,-0.417159,-0.059833,0.187444,-0.153723,-0.148611,-0.549306,0.479861,-0.950694,-1.124306,-0.300694,1019,155.487061,1661,253.448486,1919,292.816162,2189,334.014893,-28152,-4295.654297,176,26.855469,-27858,-4250.793457,990,151.062012
200ml,VET6_8chips_raw_stream_20260525_235425.bin,11,-758.544830,-1698.263503,-2843.156276,-2627.666487,-1749.793930,-1064.073765,-0.113115,1.072471,0.072400,-0.381968,-0.393957,-0.098313,0.424534,0.997222,0.206944,0.262500,0.270833,-0.222917,-0.302778,-757.104090,-777.437577,-749.498174,-685.961703,-924.623714,-1066.641358,-0.519249,-1.266722,-0.513800,-0.148398,-0.385155,0.703931,-0.765636,-0.648611,-0.049306,1.146528,0.715972,0.709028,0.032639,1021,155.792236,1676,255.737305,1926,293.884277,2199,335.540771,-28155,-4296.112061,180,27.465820,-27861,-4251.251221,1005,153.350830
200ml,VET6_8chips_raw_stream_20260525_235425.bin,12,-762.662114,-1698.146219,-2846.668621,-2627.870190,-1749.090226,-1061.067593,0.648021,0.000738,0.303639,-0.228827,-0.274525,0.385200,-0.187380,-0.002778,-0.293056,-0.570833,-0.729167,-0.222917,-0.969444,-755.999151,-777.542515,-747.393236,-684.054295,-924.531121,-1069.548765,1.346594,0.440930,-0.320083,-0.917159,0.184816,-0.759071,0.438335,0.184722,0.117361,0.146528,-0.450694,-0.624306,-0.134028,1022,155.944824,1667,254.364014,1922,293.273926,2183,333.099365,-28155,-4296.112061,171,26.092529,-27860,-4251.098633,986,150.451660
200ml,VET6_8chips_raw_stream_20260525_235425.bin,13,-760.452238,-1698.356096,-2850.205658,-2620.555376,-1745.405041,-1061.376235,-1.026657,1.881306,-0.311980,0.655554,0.970124,-0.203020,1.608649,0.663889,-0.459722,0.429167,0.604167,1.943750,1.363889,-755.289275,-779.252392,-750.782124,-689.659234,-928.926183,-1069.937654,-0.346332,0.235040,0.717439,-0.148398,0.423680,-0.090178,0.346277,1.184722,1.617361,-0.353472,-0.784028,-0.790972,-0.467361,1019,155.487061,1661,253.448486,1922,293.273926,2196,335.083008,-28151,-4295.501709,182,27.770996,-27856,-4250.488281,988,150.756836
