Volume,SourceFile,Index,L_P1_P2_C1,L_P1_P2_C2,L_P1_P2_C3,L_P1_P2_C4,L_P1_P2_C5,L_P1_P2_C6,L_P2_P3a_1,L_P2_P3b_1,L_P2_P3a_2,L_P2_P3b_2,L_P2_P3a_3,L_P2_P3b_3,L_P2_P3_center,L_P3a_P3b_R1,L_P3a_P3b_R2,L_P3a_P3b_R3,L_P3a_P3b_R4,L_P3a_P3b_R5,L_P3a_P3b_R6,R_P1_P2_C1,R_P1_P2_C2,R_P1_P2_C3,R_P1_P2_C4,R_P1_P2_C5,R_P1_P2_C6,R_P2_P3a_1,R_P2_P3b_1,R_P2_P3a_2,R_P2_P3b_2,R_P2_P3a_3,R_P2_P3b_3,R_P2_P3_center,R_P3a_P3b_R1,R_P3a_P3b_R2,R_P3a_P3b_R3,R_P3a_P3b_R4,R_P3a_P3b_R5,R_P3a_P3b_R6,AD1_TemperatureRaw16,AD1_Temperature_mV,AD2_TemperatureRaw16,AD2_Temperature_mV,AD3_TemperatureRaw16,AD3_Temperature_mV,AD4_TemperatureRaw16,AD4_Temperature_mV,AD5_TemperatureRaw16,AD5_Temperature_mV,AD6_TemperatureRaw16,AD6_Temperature_mV,AD7_TemperatureRaw16,AD7_Temperature_mV,AD8_TemperatureRaw16,AD8_Temperature_mV
50ml,VET6_8chips_raw_stream_20260525_234940.bin,1,-27.697917,31.889583,-0.791667,4.681250,12.358333,-0.841667,-49.735417,-1152.377083,-281.831250,-52.475000,-510.350000,-1209.872917,-831.363542,-1521.212500,-10.583333,-0.554167,-9.235417,-20.216667,-106.595833,0.035417,0.922917,-0.518750,0.468750,0.945833,0.083333,-480.139583,-478.558333,-1027.689583,-264.147917,-720.122917,-163.110417,-599.340625,-1196.747917,-195.950000,-0.431250,-1.277083,-0.797917,-1.302083,1019,155.487061,1676,255.737305,1915,292.205811,2195,334.930420,-28140,-4293.823242,173,26.397705,-27828,-4246.215820,990,151.062012
50ml,VET6_8chips_raw_stream_20260525_234940.bin,2,-26.197917,31.389583,0.208333,5.681250,12.858333,-1.341667,-48.235417,-1152.377083,-280.831250,-51.975000,-509.350000,-1209.872917,-830.863542,-1520.212500,-11.583333,0.445833,-8.235417,-21.716667,-106.095833,-0.464583,-1.077083,-0.018750,-0.031250,0.445833,0.083333,-482.639583,-478.058333,-1027.689583,-264.647917,-719.122917,-161.110417,-598.590625,-1197.247917,-193.950000,0.568750,0.222917,0.702083,0.697917,1026,156.555176,1676,255.737305,1922,293.273926,2195,334.930420,-28146,-4294.738770,184,28.076172,-27831,-4246.673584,1003,153.045654
50ml,VET6_8chips_raw_stream_20260525_234940.bin,3,-25.697917,31.889583,-0.291667,5.181250,11.358333,-2.341667,-48.735417,-1150.877083,-282.831250,-52.475000,-512.350000,-1209.372917,-831.613542,-1521.212500,-12.583333,0.445833,-9.235417,-22.716667,-109.595833,0.535417,-1.077083,-1.518750,-0.031250,0.945833,-0.416667,-478.139583,-475.558333,-1024.189583,-265.647917,-721.622917,-163.110417,-598.590625,-1196.247917,-194.950000,0.068750,0.222917,-0.797917,0.697917,1021,155.792236,1674,255.432129,1912,291.748047,2189,334.014893,-28147,-4294.891357,179,27.313232,-27832,-4246.826172,990,151.062012
50ml,VET6_8chips_raw_stream_20260525_234940.bin,4,-25.697917,32.389583,0.708333,5.181250,11.858333,-0.841667,-51.735417,-1151.377083,-282.831250,-52.475000,-513.850000,-1212.372917,-832.613542,-1524.712500,-11.083333,1.945833,-8.235417,-19.716667,-107.595833,0.035417,-1.077083,-1.018750,-0.031250,-0.554167,0.083333,-484.139583,-473.058333,-1029.689583,-265.647917,-723.622917,-164.610417,-598.340625,-1197.747917,-196.450000,0.068750,0.722917,0.202083,-0.802083,1015,154.876709,1670,254.821777,1911,291.595459,2190,334.167480,-28147,-4294.891357,170,25.939941,-27831,-4246.673584,990,151.062012
50ml,VET6_8chips_raw_stream_20260525_234940.bin,5,-26.197917,31.889583,0.708333,4.681250,11.858333,-0.341667,-50.235417,-1149.377083,-283.831250,-52.475000,-513.350000,-1210.372917,-831.363542,-1522.212500,-12.083333,-0.554167,-9.235417,-21.216667,-107.595833,-0.464583,-0.577083,0.981250,0.968750,-0.054167,-0.916667,-478.639583,-476.558333,-1025.689583,-267.647917,-722.622917,-160.610417,-599.590625,-1201.247917,-195.950000,-0.431250,-1.777083,0.702083,-0.302083,1022,155.944824,1684,256.958008,1915,292.205811,2191,334.320068,-28146,-4294.738770,187,28.533936,-27832,-4246.826172,1001,152.740479
50ml,VET6_8chips_raw_stream_20260525_234940.bin,6,-26.197917,30.889583,2.208333,4.681250,11.858333,-2.841667,-48.735417,-1149.877083,-281.831250,-51.975000,-513.350000,-1213.872917,-831.613542,-1522.212500,-11.583333,0.945833,-8.735417,-21.716667,-106.095833,-0.964583,-1.077083,-1.518750,1.468750,-0.554167,-0.916667,-481.139583,-474.058333,-1030.689583,-264.647917,-735.622917,-161.110417,-604.840625,-1209.247917,-196.950000,-0.931250,0.722917,0.702083,0.697917,1021,155.792236,1671,254.974365,1913,291.900635,2194,334.777832,-28144,-4294.433594,174,26.550293,-27830,-4246.520996,990,151.062012
50ml,VET6_8chips_raw_stream_20260525_234940.bin,7,-26.697917,30.889583,-1.291667,4.681250,11.858333,0.658333,-50.735417,-1158.377083,-282.331250,-52.975000,-511.850000,-1209.372917,-835.113542,-1526.712500,-10.583333,0.945833,-9.735417,-20.716667,-106.095833,-0.464583,-0.577083,-0.518750,-1.531250,-0.054167,0.083333,-479.139583,-479.558333,-1028.189583,-264.647917,-732.622917,-162.610417,-606.090625,-1213.247917,-197.950000,-0.431250,-0.777083,0.202083,-1.302083,1016,155.029297,1682,256.652832,1915,292.205811,2203,336.151123,-28146,-4294.738770,182,27.770996,-27830,-4246.520996,1000,152.587891
50ml,VET6_8chips_raw_stream_20260525_234940.bin,8,-26.197917,31.389583,-0.291667,5.681250,11.858333,0.158333,-50.235417,-1153.377083,-281.331250,-51.475000,-513.850000,-1210.872917,-833.613542,-1524.712500,-12.083333,1.445833,-9.735417,-22.216667,-106.095833,-0.964583,-1.077083,-0.018750,-1.031250,0.445833,0.083333,-480.139583,-475.058333,-1034.689583,-264.647917,-727.122917,-164.110417,-601.090625,-1203.247917,-197.450000,1.068750,1.222917,-0.297917,0.197917,1014,154.724121,1682,256.652832,1923,293.426514,2190,334.167480,-28147,-4294.891357,182,27.770996,-27831,-4246.673584,994,151.672363
50ml,VET6_8chips_raw_stream_20260525_234940.bin,9,-25.197917,30.889583,-0.291667,4.681250,12.358333,0.658333,-51.235417,-1152.877083,-281.331250,-51.475000,-510.350000,-1214.872917,-831.613542,-1522.212500,-11.583333,0.445833,-8.735417,-20.216667,-106.595833,0.535417,-0.577083,-0.518750,-1.031250,-0.554167,-0.416667,-481.139583,-474.558333,-1032.189583,-263.147917,-730.622917,-165.110417,-602.590625,-1204.747917,-199.950000,0.068750,0.722917,1.702083,0.197917,1018,155.334473,1690,257.873535,1922,293.273926,2192,334.472656,-28146,-4294.738770,186,28.381348,-27831,-4246.673584,999,152.435303
50ml,VET6_8chips_raw_stream_20260525_234940.bin,10,-26.197917,31.889583,-0.291667,4.181250,12.358333,-1.341667,-50.235417,-1152.877083,-280.331250,-51.975000,-507.850000,-1211.872917,-830.363542,-1516.712500,-12.083333,1.945833,-9.735417,-21.716667,-106.595833,0.035417,-0.577083,-0.518750,-0.531250,-0.054167,0.083333,-481.639583,-472.058333,-1035.189583,-261.647917,-732.622917,-162.610417,-602.340625,-1205.747917,-196.950000,0.568750,0.222917,1.702083,-1.302083,1020,155.639648,1674,255.432129,1925,293.731689,2192,334.472656,-28148,-4295.043945,184,28.076172,-27836,-4247.436523,989,150.909424
